marque(s),domaine_marque,url_morte_du_referentiel,deja_teste_par_nous,ce_qu_il_faut_trouver,ATS_si_tu_le_vois,URL_du_board,offres_visibles
ABC-Mart,abc-mart.net,https://careers.abc-mart.net,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Agnès b.,agnesb.com,https://careers.agnesb.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Alo Yoga,aloyoga.com,https://careers.aloyoga.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
André | Spartoo,spartoo.com,https://carrieres.spartoo.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Aéropostale,aeropostale.com,https://careers.aeropostale.com,page carrière trouvée mais aucun ATS lisible,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Bape (A Bathing Ape),bape.com,https://careers.bape.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Beams,beams.co.jp,https://careers.beams.co.jp,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Besson Chaussures,besson-chaussures.com,https://recrutement.besson-chaussures.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
"Bestseller (Vero Moda, Only, Jack & Jones)",bestseller.com,https://careers.bestseller.com,page carrière trouvée mais aucun ATS lisible,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Beymen,beymen.com,https://careers.beymen.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Bimba y Lola,bimbaylola.com,https://careers.bimbaylola.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Bizzbee,bizzbee.com,https://recrutement.bizzbee.com,page carrière trouvée mais aucun ATS lisible,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Bogner,bogner.com,https://careers.bogner.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
Boohoo,boohoogroup.com,https://careers.boohoogroup.com,homepage + 8 URLs carrière devinées : rien,l'URL du board d'offres (ex. boggimilano1.recruitee.com/l/fr),,,
