marque,groupe,constat_verifie_en_base,URL_du_board_a_trouver,ATS_si_visible
Zara,Inditex,"Inditex = 7 enseignes, ~3000 boutiques Europe. Piste Loic: inditexpeople.com (403 sur fetch)",,
Bershka,Inditex,idem Inditex,,
Pull&Bear,Inditex,idem Inditex,,
Massimo Dutti,Inditex,idem Inditex,,
Stradivarius,Inditex,idem Inditex,,
Oysho,Inditex,idem Inditex,,
Zara Home,Inditex,idem Inditex,,
H&M,H&M Group,career.hm.com repond 403 (bot-wall) - navigateur requis,,
COS,H&M Group,idem H&M,,
& Other Stories,H&M Group,idem H&M,,
Arket,H&M Group,idem H&M,,
Weekday,H&M Group,idem H&M,,
Monki,H&M Group,idem H&M,,
Uniqlo,Fast Retailing,catalogue: 'Fast Retailing / bot-wall',,
Theory,Fast Retailing,idem,,
Comptoir des Cotonniers,Fast Retailing,0 offre en base,,
Princesse Tam Tam,Fast Retailing,1 offre seulement,,
Primark,AB Foods,aucune variante,,
Mango,Mango,aucune variante,,
Gap,Gap Inc.,aucune variante,,
Banana Republic,Gap Inc.,aucune variante,,
Old Navy,Gap Inc.,aucune variante,,
Levi's,Levi Strauss,aucune variante,,
Puma,Puma,aucune variante,,
Adidas,Adidas,0 offre en base,,
Gucci,Kering,Kering=2512 offres mais Gucci non attribuee (risque A-01),,
Balenciaga,Kering,idem - verifier attribution par marque,,
Saint Laurent,Kering,idem,,
Bottega Veneta,Kering,idem,,
Alexander McQueen,Kering,idem,,
Prada,Prada Group,Prada Beauty=0 seulement,,
Miu Miu,Prada Group,source existe (miu-miu) mais verifier volume,,
Armani,Armani,aucune variante,,
Versace,Capri Holdings,capriholdings.com = bot-wall mesure,,
Michael Kors,Capri Holdings,idem,,
Jimmy Choo,Capri Holdings,idem,,
Burberry,Burberry,aucune variante,,
Ralph Lauren,Ralph Lauren,1 offre seulement,,
Tommy Hilfiger,PVH,aucune variante,,
Calvin Klein,PVH,aucune variante,,
Estee Lauder,Estee Lauder,14 marques rattachees en base mais ELC absente,,
Coty,Coty,aucune variante (5 lignes retirees en D28),,
Shiseido,Shiseido,aucune variante,,
"Beiersdorf (Nivea, La Prairie)",Beiersdorf,aucune variante,,
Rolex,Rolex,aucune variante,,
Swatch Group,Swatch,aucune variante,,
Swarovski,Swarovski,aucune variante,,
Pandora,Pandora,0 offre en base,,
Kering Eyewear,Kering,careers.keringeyewear.com = NXDOMAIN,,
EssilorLuxottica,EssilorLuxottica,7 offres seulement pour un groupe de cette taille,,
Safilo,Safilo,aucune variante,,
Marcolin,Marcolin,aucune variante,,
Carrefour,Carrefour,aucune variante - gros employeur retail,,
Auchan,Auchan,aucune variante,,
E.Leclerc,Leclerc,aucune variante,,
Casino,Casino,aucune variante,,
Monoprix,Groupe Monoprix,present mais 0 offre,,
Fnac Darty,Fnac Darty,aucune variante,,
BHV Marais,Galeries Lafayette,"TalentSoft trouve par Loic - RSS vide, listing a corriger",,
Marionnaud,AS Watson,aucune variante,,
Nocibe,Douglas,aucune variante,,
Douglas,Douglas,aucune variante,,
Yves Rocher,Groupe Rocher,VALIDE: 30 offres via careers.groupe-rocher.com,,
Zalando,Zalando,aucune variante - gros recruteur tech+retail,,
Vinted,Vinted,aucune variante,,
La Redoute,La Redoute,aucune variante,,
Veepee,Veepee,aucune variante,,
C&A,C&A,0 offre en base,,
Gemo,Eram,0 offre,,
La Halle,Beaumanoir,0 offre,,
Jennyfer,Jennyfer,0 offre,,
Cache Cache,Beaumanoir,0 offre,,
Bonobo,Beaumanoir,0 offre,,
Pimkie,Pimkie,aucune variante,,
Camaieu,Camaieu,aucune variante,,
Naf Naf,Naf Naf,aucune variante,,
Brice,Brice,aucune variante,,
Devred,Devred,aucune variante,,
Go Sport,Go Sport,aucune variante,,
Okaidi,IDKids,aucune variante,,
Sergent Major,Sergent Major,aucune variante,,
Vertbaudet,Vertbaudet,aucune variante,,
Bonpoint,Bonpoint,aucune variante,,
Snipes,Snipes,aucune variante,,
Urban Outfitters,URBN,aucune variante,,
Anthropologie,URBN,aucune variante,,
Free People,URBN,aucune variante,,
Tous,Tous,aucune variante,,
Bimba y Lola,Bimba y Lola,piste Loic: byl.studio/en/people/opportunities,,
Ba&sh,Ba&sh,0 offre en base,,
Sezane,Sezane,3 offres seulement,,
Isabel Marant,Isabel Marant,1 offre seulement,,
Claudie Pierlot,SMCP,"couvert par SMCP (539 offres validees, a promouvoir)",,
Fursac,SMCP,idem SMCP,,
