Maison	Offres actives	Secteur	Groupe	Site officiel	URL source	Statut	Note
H&M Group	1624	RETAIL		hmgroup.com	https://hmgroup.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Tapestry	1620	RETAIL		tapestry.com	https://tapestry.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Levi's	1311	RETAIL		levi.com	https://levi.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Parfums Chanel	1094	BEAUTY		chanel.com	https://chanel.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
SAKS	726	RETAIL		saks.com	https://saks.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
La casa de las Carca	720	RETAIL		lacasadelascarcasas.com	https://lacasadelascarcasas.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Sandro	541	FASHION	SMCP	sandro-paris.com	https://sandro-paris.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
MANGO MNG	551	FASHION		mango.com	https://mango.com/	RATTACHÉ	Entité juridique / pays rattachée à Mango.
Champs Sports	482	RETAIL		champssports.com	https://champssports.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Luxe Talent	478	RECRUITER		luxetalent.fr	https://luxetalent.fr/	IDENTIFIÉ	Domaine officiel de la marque / société.
Groupe Courir	423	RETAIL		courir.com	https://courir.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Kids Foot Locker	429	RETAIL		footlocker.com	https://footlocker.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Michael Kors	270	RETAIL		michaelkors.com	https://michaelkors.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Madewell Stores Madewell	233	RETAIL		madewell.com	https://madewell.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Coach	223	RETAIL		coach.com	https://coach.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Gucci	222	FASHION	Kering	gucci.com	https://gucci.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Pierre Fabre	221	BEAUTY	Pierre Fabre	pierre-fabre.com	https://pierre-fabre.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Aritzia LP	206	RETAIL		aritzia.com	https://aritzia.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Saint Laurent	200	FASHION	Kering	ysl.com	https://ysl.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
MARELLA	196	FASHION		marella.com	https://marella.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Golf & Tennis Pro Shop, Inc. d/b/a PGA TOUR Superstore	190	RETAIL		pgatoursuperstore.com	https://pgatoursuperstore.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
MECCA Brands	161	RETAIL		mecca.com	https://mecca.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Clarkson Eyecare	148	RETAIL		clarksoneyecare.com	https://clarksoneyecare.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Drunk Elephant	155	BEAUTY	Shiseido Group	drunkelephant.com	https://drunkelephant.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Bottega Veneta	142	FASHION	Kering	bottegaveneta.com	https://bottegaveneta.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Reformation	139	RETAIL		thereformation.com	https://thereformation.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Mejuri	141	RETAIL		mejuri.com	https://mejuri.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Quince	133	RETAIL		quince.com	https://quince.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Balenciaga	136	FASHION	Kering	balenciaga.com	https://balenciaga.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Escada Parfums	126	BEAUTY	Coty	escada-fragrances.com	https://escada-fragrances.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Chalhoub Group	132	RETAIL		chalhoubgroup.com	https://chalhoubgroup.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Estée Lauder	122	BEAUTY	Estee Lauder	esteelauder.com	https://esteelauder.com/	RATTACHÉ	Entité juridique / pays rattachée à Estée Lauder.
