nom	site	vendor
'47	https://www.47brand.com/	workforcenow.adp.com
american eagle outfitters	https://www.ae.com/	oraclecloud.com/hcmUI
100 thieves	https://100thieves.com/	workforcenow.adp.com
american eagle	https://www.ae.com/	oraclecloud.com/hcmUI
7 for all mankind	https://www.7forallmankind.com/	paylocity.com
american giant	https://www.american-giant.com/	bamboohr.com
angus & coote	https://www.anguscoote.com.au/	dayforcehcm.com
assembly label	https://assemblylabel.com/	bamboohr.com
boot barn	https://www.bootbarn.com/	myjobs.adp.com
brixton	https://www.brixton.com/	workforcenow.adp.com
christopher & banks	https://www.christopherandbanks.com/	workforcenow.adp.com
buffalo david bitton	http://www.buffalojeans.com/	icims.com
angus & coote	https://www.anguscoote.com.au/	dayforcehcm.com
