name,canonical_slug,segment,group,source,confidence
24S.com,24s-com,RETAIL,LVMH,api:https://www.lvmh.com/proxyApi/v1/jobhub/criteria?lang=fr,HIGH
2e Bureau,2e-bureau,MEDIA_AGENCY,,https://www.2e-bureau.com/,LOW
3.Paradis,3-paradis,FASHION,,"api:https://prize.cdn.prismic.io/api/v2/documents/search?q=[[at(document.type,""designer_profile"")]] | https://andam.fr/laureats-andam/",HIGH
3CE,3ce,BEAUTY,L'Oreal,https://www.loreal.com/en/brands/,HIGH
A-Derma,a-derma,BEAUTY,Pierre Fabre,https://www.pierre-fabre.com/fr-fr/notre-entreprise/nos-marques,HIGH
A. Lange & Söhne,a-lange-sohne,JEWELRY_WATCHES,Richemont,https://www.richemont.com/en/home/brands/,HIGH
Acne Studios,acne-studios,FASHION,,https://fhcm.paris/fr/maisons?status=1,HIGH
Acqua Di Parma,acqua-di-parma,BEAUTY,LVMH,api:https://www.lvmh.com/proxyApi/v1/jobhub/criteria?lang=fr | https://catwalks.io/sitemap-maisons.xml,HIGH
AD Confection,ad-confection,SUPPLIER,,https://www.gff-groupement.fr/les-ateliers-engages/,HIGH
Adeline André,adeline-andre,FASHION,,https://fhcm.paris/fr/maisons?status=1,HIGH
Adolfo Dominguez,adolfo-dominguez,BEAUTY,Puig,https://careers.puig.com/love-brands,HIGH
Aelis,aelis,FASHION,,https://fhcm.paris/fr/paris-fashion-week/maisons | https://fhcm.paris/fr/haute-couture-week/maisons | https://fhcm.paris/fr/haute-joaillerie/maisons,HIGH
AERIN Beauty,aerin-beauty,BEAUTY,Estee Lauder,https://www.elcompanies.com/en/our-brands,HIGH
Aesop,aesop,BEAUTY,L'Oreal,https://catwalks.io/sitemap-maisons.xml | https://www.loreal.com/en/brands/,HIGH
Agatha,agatha,JEWELRY_WATCHES,THOM Group,https://thomgroup.com/,HIGH
agnès b.,agnes-b,FASHION,,https://fhcm.paris/fr/maisons?status=1,HIGH
Aigle,aigle,FASHION,,https://www.aigle.com/fr/fr,HIGH
Aime,aime,BEAUTY,,https://aime.co/,HIGH
Akris,akris,FASHION,,https://fhcm.paris/fr/maisons?status=1,HIGH
Alaïa,alaia,FASHION,Richemont,https://www.maison-alaia.com/ | https://www.richemont.com/en/home/brands/,HIGH
Alainpaul,alainpaul,FASHION,,"api:https://prize.cdn.prismic.io/api/v2/documents/search?q=[[at(document.type,""designer_profile"")]] | https://andam.fr/laureats-andam/ | https://fhcm.paris/fr/paris-fashion-week/maisons | https://fhcm.paris/fr/haute-couture-week/maisons | https://fhcm.paris/fr/haute-joaillerie/maisons",HIGH
Alexander Hughes,alexander-hughes,RECRUITER,,https://www.alexanderhughes.com/industry/consumer/,LOW
Alexander McQueen,alexander-mcqueen,FASHION,Kering,https://fhcm.paris/fr/maisons?status=1 | https://www.kering.com/fr/maisons/,HIGH
Alexandra Golovanoff,alexandra-golovanoff,FASHION,,https://fhcm.paris/fr/paris-fashion-week/maisons | https://fhcm.paris/fr/haute-couture-week/maisons | https://fhcm.paris/fr/haute-joaillerie/maisons,HIGH
Alexis Mabille,alexis-mabille,FASHION,,https://fhcm.paris/fr/maisons?status=1,HIGH
Alled-Martinez,alled-martinez,FASHION,,"api:https://prize.cdn.prismic.io/api/v2/documents/search?q=[[at(document.type,""designer_profile"")]]",HIGH
Alran,alran,SUPPLIER,,https://www.alran.fr,HIGH
Altuzarra,altuzarra,FASHION,,https://fhcm.paris/fr/maisons?status=1,HIGH
American Vintage,american-vintage,FASHION,,https://catwalks.io/sitemap-maisons.xml,HIGH
AMI Paris,ami-paris,FASHION,,https://catwalks.io/sitemap-maisons.xml | https://fhcm.paris/fr/maisons?status=1,HIGH
AMIRI,amiri,FASHION,,https://fhcm.paris/fr/maisons?status=1,HIGH
Ann Demeulemeester,ann-demeulemeester,FASHION,,https://fhcm.paris/fr/maisons?status=1,HIGH
Anrealage,anrealage,FASHION,,https://fhcm.paris/fr/paris-fashion-week/maisons | https://fhcm.paris/fr/haute-couture-week/maisons | https://fhcm.paris/fr/haute-joaillerie/maisons,HIGH
Antik Batik,antik-batik,FASHION,,https://www.antikbatik.com/,LOW
Apivita,apivita,BEAUTY,Puig,https://careers.puig.com/love-brands,HIGH
APM Monaco,apm-monaco,JEWELRY_WATCHES,,https://www.apm.mc,HIGH
Approach People Recruitment,approach-people-recruitment,RECRUITER,,https://www.approachpeople.com/,LOW
Aptar Beauty,aptar-beauty,SUPPLIER,,https://www.aptar.com,MEDIUM
Aramis,aramis,BEAUTY,Estee Lauder,https://www.elcompanies.com/en/our-brands,HIGH
Arbonne,arbonne,BEAUTY,Groupe Rocher,https://www.groupe-rocher.com/marques,HIGH
Ardazaei,ardazaei,FASHION,,https://fhcm.paris/fr/paris-fashion-week/maisons | https://fhcm.paris/fr/haute-couture-week/maisons | https://fhcm.paris/fr/haute-joaillerie/maisons,HIGH
Armand Thiery,armand-thiery,FASHION,,https://www.armandthiery.fr/,HIGH
Armani Beauty,armani-beauty,BEAUTY,L'Oreal,https://www.loreal.com/en/brands/,HIGH
Armor-lux,armor-lux,FASHION,,https://www.armorlux.com/,HIGH
Asphalte,asphalte,FASHION,,https://www.asphalte.com/,HIGH
Atelier Cologne,atelier-cologne,BEAUTY,L'Oreal,https://www.loreal.com/en/brands/,HIGH
Atelier d'Ariane,atelier-d-ariane,SUPPLIER,,https://www.gff-groupement.fr/les-ateliers-engages/,HIGH
Atelier Leopoldine,atelier-leopoldine,SUPPLIER,,https://www.gff-groupement.fr/les-ateliers-engages/,HIGH
Atelier Made in Romans,atelier-made-in-romans,SUPPLIER,Groupe ARCHER,https://www.atelier-madeinromans.fr/nos-marques.html,HIGH
Atelier Manoukian,atelier-manoukian,SUPPLIER,,https://www.gff-groupement.fr/les-ateliers-engages/,HIGH
Atlein,atlein,FASHION,,"api:https://prize.cdn.prismic.io/api/v2/documents/search?q=[[at(document.type,""designer_profile"")]] | https://fhcm.paris/fr/maisons?status=1",HIGH
Atto,atto,FASHION,,"api:https://prize.cdn.prismic.io/api/v2/documents/search?q=[[at(document.type,""designer_profile"")]]",HIGH
Aubade,aubade,FASHION,,https://aubade.com/,HIGH
Audemars Piguet,audemars-piguet,JEWELRY_WATCHES,,https://www.audemarspiguet.com/fr,HIGH
August Barron,august-barron,FASHION,,"api:https://prize.cdn.prismic.io/api/v2/documents/search?q=[[at(document.type,""designer_profile"")]]",HIGH
Aveda,aveda,BEAUTY,Estee Lauder,https://www.elcompanies.com/en/our-brands,HIGH
Avril,avril,BEAUTY,,https://www.avril-beaute.fr/,HIGH
Azzaro,azzaro,BEAUTY,L'Oreal,https://www.loreal.com/en/brands/,HIGH
ba&sh,ba-sh,FASHION,,https://ba-sh.com/fr/en/,HIGH
Baccarat,baccarat,LUXURY,,https://www.comitecolbert.com/member-sitemap.xml,HIGH
Balenciaga,balenciaga,FASHION,Kering,https://catwalks.io/sitemap-maisons.xml | https://fhcm.paris/fr/maisons?status=1 | https://www.kering.com/fr/maisons/,HIGH
Balmain,balmain,FASHION,,https://fhcm.paris/fr/maisons?status=1,HIGH
Balmain Beauty,balmain-beauty,BEAUTY,Estee Lauder,https://www.elcompanies.com/en/our-brands,HIGH
Baltic Watches,baltic-watches,JEWELRY_WATCHES,,https://www.baltic-watches.com,HIGH
Banderas Perfumes,banderas-perfumes,BEAUTY,Puig,https://careers.puig.com/love-brands,HIGH
Barbara Bui,barbara-bui,FASHION,,https://fhcm.paris/fr/maisons?status=1,HIGH
Be Maad,be-maad,JEWELRY_WATCHES,THOM Group,https://thomgroup.com/,HIGH
Beauty Success,beauty-success,RETAIL,,https://catwalks.io/sitemap-maisons.xml,HIGH
Bell & Ross,bell-ross,JEWELRY_WATCHES,,https://bellross.com/fr,HIGH
Bellerose,bellerose,FASHION,,https://bellerose.com/,LOW
BeneFit Cosmetics,benefit-cosmetics,BEAUTY,LVMH,api:https://www.lvmh.com/proxyApi/v1/jobhub/criteria?lang=fr | https://catwalks.io/sitemap-maisons.xml,HIGH
Berluti,berluti,FASHION,LVMH,api:https://www.lvmh.com/proxyApi/v1/jobhub/criteria?lang=fr | https://fhcm.paris/fr/maisons?status=1 | https://www.comitecolbert.com/member-sitemap.xml,HIGH
Bernardaud,bernardaud,LUXURY,,https://www.comitecolbert.com/member-sitemap.xml,HIGH
Bexley,bexley,FASHION,,https://www.bexley.fr/,HIGH
