maison	kind	config	board_name	jobs	sample_titles	sample_url	reason
Amazon	personio	{"subdomain":"amazon","host":"amazon.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://amazon.jobs.personio.de/job/1680079	no board name to compare
Angela Caglia Skincare	personio	{"subdomain":"angela","host":"angela.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://angela.jobs.personio.de/job/1995714	no board name to compare
Angela Kim Couture	personio	{"subdomain":"angela","host":"angela.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://angela.jobs.personio.de/job/1995714	no board name to compare
Angela Pinto	personio	{"subdomain":"angela","host":"angela.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://angela.jobs.personio.de/job/1995714	no board name to compare
ART	personio	{"subdomain":"art","host":"art.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://art.jobs.personio.de/job/403330	no board name to compare
Art & Create	personio	{"subdomain":"art","host":"art.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://art.jobs.personio.de/job/403330	no board name to compare
Art Disco	personio	{"subdomain":"art","host":"art.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://art.jobs.personio.de/job/403330	no board name to compare
Art of Vedas	personio	{"subdomain":"art","host":"art.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://art.jobs.personio.de/job/403330	no board name to compare
Art-93	personio	{"subdomain":"art","host":"art.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://art.jobs.personio.de/job/403330	no board name to compare
Art'Abaska	personio	{"subdomain":"art","host":"art.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://art.jobs.personio.de/job/403330	no board name to compare
Bentley	personio	{"subdomain":"bentley","host":"bentley.jobs.personio.de"}		10	Ausbildung zum Industriekaufmann (m/w/d) | Ausbildung zum Industriemechaniker (m/w/d) | Gruppenleiter Produktion -  Stent Production (m/w/d)	https://bentley.jobs.personio.de/job/916224	no board name to compare
Best Company	personio	{"subdomain":"best","host":"best.jobs.personio.de"}		6	Bewerberpool | Fahrer/in | Initiativbewerbung (Festanstellung)	https://best.jobs.personio.de/job/2771501	no board name to compare
Best&Less	personio	{"subdomain":"best","host":"best.jobs.personio.de"}		6	Bewerberpool | Fahrer/in | Initiativbewerbung (Festanstellung)	https://best.jobs.personio.de/job/2771501	no board name to compare
Best Earth Goods	personio	{"subdomain":"best","host":"best.jobs.personio.de"}		6	Bewerberpool | Fahrer/in | Initiativbewerbung (Festanstellung)	https://best.jobs.personio.de/job/2771501	no board name to compare
Birch Babe	personio	{"subdomain":"birch","host":"birch.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://birch.jobs.personio.de/job/1533068	no board name to compare
Birch Beauty	personio	{"subdomain":"birch","host":"birch.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://birch.jobs.personio.de/job/1533068	no board name to compare
Apm	personio	{"subdomain":"apm","host":"apm.jobs.personio.de"}		2	Initiativbewerbung (Festanstellung) | SEO Marketing Manager	https://apm.jobs.personio.de/job/141407	no board name to compare
Cala de la Cruz	personio	{"subdomain":"cala","host":"cala.jobs.personio.de"}		2	SEO Marketing Manager | Social Media (Estudiante en practicas)	https://cala.jobs.personio.de/job/2746807	no board name to compare
Betty & Co	personio	{"subdomain":"betty","host":"betty.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://betty.jobs.personio.de/job/1319543	no board name to compare
Betty and Biddy	personio	{"subdomain":"betty","host":"betty.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://betty.jobs.personio.de/job/1319543	no board name to compare
Betty Barclay	personio	{"subdomain":"betty","host":"betty.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://betty.jobs.personio.de/job/1319543	no board name to compare
Dyad Fragrance	personio	{"subdomain":"dyad","host":"dyad.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://dyad.jobs.personio.de/job/2733093	no board name to compare
