maison	kind	config	board_name	jobs	sample_titles	sample_url	reason
Alma	wttj	{"slug":"alma"}		0			fetch failed
Alma Milano	wttj	{"slug":"alma"}		0			fetch failed
Alma & Lovis	wttj	{"slug":"alma"}		0			fetch failed
Alma & Pena	wttj	{"slug":"alma"}		0			fetch failed
Alpaca Loca	greenhouse	{"board":"alpaca"}		0			fetch failed
361 degrees	wttj	{"slug":"361"}		0			fetch failed
361˚	wttj	{"slug":"361"}		0			fetch failed
361°	wttj	{"slug":"361"}		0			fetch failed
361° Europe	wttj	{"slug":"361"}		0			fetch failed
Amanda Barden	wttj	{"slug":"amanda"}		0			fetch failed
Amanda Wakeley	wttj	{"slug":"amanda"}		0			fetch failed
Âme Antwerp	greenhouse	{"board":"ame"}		0			fetch failed
Ame Balance	greenhouse	{"board":"ame"}		0			fetch failed
ANINE BING	greenhouse	{"board":"aninebing"}		0			fetch failed
ABC Schuh-Center	greenhouse	{"board":"abc"}		0			fetch failed
ABC-Mart	greenhouse	{"board":"abc"}		0			fetch failed
ABLE	greenhouse	{"board":"able"}		0			fetch failed
ABLE C&C CO.LTD	greenhouse	{"board":"able"}		0			fetch failed
Apm	wttj	{"slug":"apm"}		0			fetch failed
ARMEDANGELS	personio	{"subdomain":"armedangels","host":"armedangels.jobs.personio.de"}		0			fetch failed
Arnie Says	greenhouse	{"board":"arnie"}		0			fetch failed
Arpege story Original	wttj	{"slug":"arpege"}		0			fetch failed
Arte Italica	wttj	{"slug":"arte"}		0			fetch failed
Aubade Paris	wttj	{"slug":"aubade"}		0			fetch failed
Aura 7 Activewear	greenhouse	{"board":"aura"}		0			fetch failed
Aura Hair + Body Mist™ in Lychee Baby	greenhouse	{"board":"aura"}		0			fetch failed
Aura Hair + Body Mist™ Toasted Sugar	greenhouse	{"board":"aura"}		0			fetch failed
BAM	wttj	{"slug":"bam"}		0			no jobs and no board metadata
Bam Loves Boo	wttj	{"slug":"bam"}		0			no jobs and no board metadata
Batch 1 UK	wttj	{"slug":"batch"}		0			no jobs and no board metadata
Birchbox	wttj	{"slug":"birchbox"}		0			no jobs and no board metadata
Bobbies	wttj	{"slug":"bobbies"}		0			no jobs and no board metadata
Body Minute	wttj	{"slug":"body-minute"}		0			no jobs and no board metadata
Burnt Soul	greenhouse	{"board":"burnt"}		0			fetch failed
Arthus Bertrand	wttj	{"slug":"arthus-bertrand"}		0			no jobs and no board metadata
Cast Iron	wttj	{"slug":"cast"}		0			no jobs and no board metadata
Caval	wttj	{"slug":"caval"}		0			no jobs and no board metadata
Clan de Banlieue	wttj	{"slug":"clan"}		0			no jobs and no board metadata
Coach	wttj	{"slug":"coach"}		0			no jobs and no board metadata
Decathlon	wttj	{"slug":"decathlon"}		0			WTTJ refused the query (you can only fetch the 1000 hits for this query. You can extend the number of hits returned via the paginationLimite
DFNS	wttj	{"slug":"dfns"}		0			no jobs and no board metadata
Eden Park	wttj	{"slug":"eden-park"}		0			no jobs and no board metadata
Essilor	wttj	{"slug":"essilor"}		0			no jobs and no board metadata
ESteem Group	wttj	{"slug":"esteem"}		0			no jobs and no board metadata
Euro Bijoux	recruitee	{"subdomain":"euro"}		0			fetch failed
Fashion Nova	greenhouse	{"board":"fashionnova"}		0			fetch failed
Florence	wttj	{"slug":"florence"}		0			no jobs and no board metadata
Florence Given	wttj	{"slug":"florence"}		0			no jobs and no board metadata
Florence Leather Market	wttj	{"slug":"florence"}		0			no jobs and no board metadata
Footasylum	teamtailor	{"origin":"https://footasylum.teamtailor.com"}		0			fetch failed
FRANZ GUSTAV	personio	{"subdomain":"franz","host":"franz.jobs.personio.de"}		0			fetch failed
Fred Perry	teamtailor	{"origin":"https://fredperry.teamtailor.com"}		0			fetch failed
Future of Cool	greenhouse	{"board":"future"}		0			fetch failed
Future Society	greenhouse	{"board":"future"}		0			fetch failed
Hero Seven	wttj	{"slug":"hero"}		0			no jobs and no board metadata
Humanoid	wttj	{"slug":"humanoid"}		0			no jobs and no board metadata
ICE WATCH	wttj	{"slug":"ice-watch"}		0			no jobs and no board metadata
Lion Of Porches	wttj	{"slug":"lion"}		0			no jobs and no board metadata
M. Moustache	wttj	{"slug":"m-moustache"}		0			no jobs and no board metadata
near.nippon	wttj	{"slug":"near"}		0			no jobs and no board metadata
Nelson	wttj	{"slug":"nelson"}		0			no jobs and no board metadata
Nelson Schoenen	wttj	{"slug":"nelson"}		0			no jobs and no board metadata
Shiseido	wttj	{"slug":"shiseido"}		0			no jobs and no board metadata
Sista Glam	wttj	{"slug":"sista"}		0			no jobs and no board metadata
Uma Parker	wttj	{"slug":"uma"}		0			no jobs and no board metadata
URGO Beauty	wttj	{"slug":"urgo"}		0			no jobs and no board metadata
