maison,careers_domain,kind,entry_url,job_url_pattern,robots_verdict,job_count,verified
"[ p H 7 ]","jobs.smartrecruiters.com","smartrecruiters-whitelabel","{""company"":""ph7""}","","Resolved by direct SMARTRECRUITERS slug probe (""ph7""); no search API used.","","no"
"Alma","www.welcometothejungle.com","wttj","{""slug"":""alma""}","","Resolved by direct WTTJ slug probe (""alma""); no search API used.","","no"
"Alma Milano","www.welcometothejungle.com","wttj","{""slug"":""alma""}","","Resolved by direct WTTJ slug probe (""alma""); no search API used.","","no"
"Alma & Lovis","www.welcometothejungle.com","wttj","{""slug"":""alma""}","","Resolved by direct WTTJ slug probe (""alma""); no search API used.","","no"
"Alma & Pena","www.welcometothejungle.com","wttj","{""slug"":""alma""}","","Resolved by direct WTTJ slug probe (""alma""); no search API used.","","no"
"Alpaca Loca","boards.greenhouse.io","greenhouse","{""board"":""alpaca""}","","Resolved by direct GREENHOUSE slug probe (""alpaca""); no search API used.","","no"
"Alpha Company for Cosmetics LTD","alpha.recruitee.com","recruitee","{""subdomain"":""alpha""}","","Resolved by direct RECRUITEE slug probe (""alpha""); no search API used.","","no"
"Alpha Industries","alpha.recruitee.com","recruitee","{""subdomain"":""alpha""}","","Resolved by direct RECRUITEE slug probe (""alpha""); no search API used.","","no"
"alpha industries","alpha.recruitee.com","recruitee","{""subdomain"":""alpha""}","","Resolved by direct RECRUITEE slug probe (""alpha""); no search API used.","","no"
"ALPHA OG","alpha.recruitee.com","recruitee","{""subdomain"":""alpha""}","","Resolved by direct RECRUITEE slug probe (""alpha""); no search API used.","","no"
"1979 Swimwear","jobs.smartrecruiters.com","smartrecruiters-whitelabel","{""company"":""1979""}","","Resolved by direct SMARTRECRUITERS slug probe (""1979""); no search API used.","","no"
"361 degrees","www.welcometothejungle.com","wttj","{""slug"":""361""}","","Resolved by direct WTTJ slug probe (""361""); no search API used.","","no"
"361˚","www.welcometothejungle.com","wttj","{""slug"":""361""}","","Resolved by direct WTTJ slug probe (""361""); no search API used.","","no"
"361°","www.welcometothejungle.com","wttj","{""slug"":""361""}","","Resolved by direct WTTJ slug probe (""361""); no search API used.","","no"
"361° Europe","www.welcometothejungle.com","wttj","{""slug"":""361""}","","Resolved by direct WTTJ slug probe (""361""); no search API used.","","no"
"Amanda Barden","www.welcometothejungle.com","wttj","{""slug"":""amanda""}","","Resolved by direct WTTJ slug probe (""amanda""); no search API used.","","no"
"Amanda Wakeley","www.welcometothejungle.com","wttj","{""slug"":""amanda""}","","Resolved by direct WTTJ slug probe (""amanda""); no search API used.","","no"
