maison,careers_domain,kind,entry_url,job_url_pattern,robots_verdict,job_count,verified
"A Happy Brand","career.babyshop.com","generic-listing","{""startUrl"":""https://career.babyshop.com/jobs/317245-senior-pricing-and-campaign-specialist""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"A Wear","careers.awear.com","generic-listing","{""startUrl"":""https://careers.awear.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"A Part OF THE ART","apartoftheart.com","generic-listing","{""startUrl"":""https://apartoftheart.com/career/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"a.p.c","apc.fr","wttj","{""slug"":""a-p-c""}","","ATS link discovered on https://apc.fr/pages/nous-rejoindre","","anchored"
"Ackermans","careers.ackermans.co.za","teamtailor","{""origin"":""https://careers.ackermans.co.za""}","","Tech-scan: careers.ackermans.co.za CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Acne Studios","careers.acnestudios.com","generic-listing","{""startUrl"":""https://careers.acnestudios.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"AC&co","www.accofashion.de","generic-listing","{""startUrl"":""https://www.accofashion.de/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Adamas","www.adamas.ru","generic-listing","{""startUrl"":""https://www.adamas.ru/about/career/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Adanola","careers.adanola.com","generic-listing","{""startUrl"":""https://careers.adanola.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Adika","careers.adika.com","generic-listing","{""startUrl"":""https://careers.adika.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Adastria","recruit.adastria.co.jp","generic-listing","{""startUrl"":""https://recruit.adastria.co.jp/information/career-plan.html""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"aeyde","www.aeyde.com","personio","{""subdomain"":""aeyde"",""host"":""aeyde.jobs.personio.de""}","","ATS link discovered on https://www.aeyde.com/pages/careers","","anchored"
"Afnan Perfumes","careers.afnan.com","generic-listing","{""startUrl"":""https://careers.afnan.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Aigle","careers.aigle.com","digitalrecruiters","{""domainName"":""careers.aigle.com""}","","Tech-scan: careers.aigle.com CNAMEs to DIGITALRECRUITERS; no page read.","","anchored"
"Aim'n","career.aimn.com","teamtailor","{""origin"":""https://career.aimn.com""}","","TEAMTAILOR widget detected on career.aimn.com","","anchored"
"AKIRA","careers.shopakira.com","teamtailor","{""origin"":""https://careers.shopakira.com""}","","Tech-scan: careers.shopakira.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Aje","ajeworld.com.au","generic-listing","{""startUrl"":""https://ajeworld.com.au/pages/aje-careers-head-office-and-retail-vacancies""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Al Haramain","ahp.alharamainperfumes.com","generic-listing","{""startUrl"":""https://ahp.alharamainperfumes.com/careers/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Alberto","www.alberto-pants.com","generic-listing","{""startUrl"":""https://www.alberto-pants.com/jobs-and-careers""}","","JobPosting data present; generic career crawler (verify adapter).","","anchored"
"Alfarisi Perfumes","careers.alfarisiperfumes.com","generic-listing","{""startUrl"":""https://careers.alfarisiperfumes.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Alia N Tanjay","careers.nygard.com","generic-listing","{""startUrl"":""https://careers.nygard.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"ALIX the label","www.alixthelabel.com","generic-listing","{""startUrl"":""https://www.alixthelabel.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"All About Feet","uppercanadasoap.com","generic-listing","{""startUrl"":""http://uppercanadasoap.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"All About Men","uppercanadasoap.com","generic-listing","{""startUrl"":""http://uppercanadasoap.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"alohas","careers.alohas.io","teamtailor","{""origin"":""https://careers.alohas.io""}","","Tech-scan: careers.alohas.io CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Allkinds","www.allkinds.com","generic-listing","{""startUrl"":""https://www.allkinds.com/au/careers/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"ALLSAINTS","careers.allsaints.com","generic-listing","{""startUrl"":""https://careers.allsaints.com/job-search""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"alpha industries","www.alphaindustries.eu","personio","{""subdomain"":""alpha-industries-gmbh-co-kg"",""host"":""alpha-industries-gmbh-co-kg.jobs.personio.de""}","","ATS link discovered on https://www.alphaindustries.eu/jobs/","","anchored"
"America Today","jobs.america-today.com","generic-listing","{""startUrl"":""https://jobs.america-today.com""}","","Tech-scan: jobs.america-today.com CNAMEs to RECRUITEE; no page read. (needs slug — review)","","anchored"
"Amazing Lash Studio","www.amazinglashstudio.com","generic-listing","{""startUrl"":""https://www.amazinglashstudio.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Amway","jobs.amway.com","successfactors","{""origin"":""https://jobs.amway.com""}","","Tech-scan: jobs.amway.com CNAMEs to SUCCESSFACTORS; no page read.","","anchored"
"AMPHI","jobs.amphi.com","teamtailor","{""origin"":""https://jobs.amphi.com""}","","Tech-scan: jobs.amphi.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Amelie & Amelie","www.amelieamelie.be","generic-listing","{""startUrl"":""https://www.amelieamelie.be/fr/jobs""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Ana Luisa","www.analuisa.com","generic-listing","{""startUrl"":""https://www.analuisa.com/career/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"André Opticas","andreopticas.com","generic-listing","{""startUrl"":""https://andreopticas.com/careers/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Anger 1","www.anger1erfurt.de","generic-listing","{""startUrl"":""https://www.anger1erfurt.de/jobs/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Annoushka","careers.annoushka.com","teamtailor","{""origin"":""https://careers.annoushka.com""}","","Tech-scan: careers.annoushka.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
