maison,kind,config_json,jobs,with_description
"Foot Locker France",phenom,"{""origin"":""https://careers.footlocker.com""}",2794,2794
"L’Oréal Professionnel",avature,"{""listingUrl"":""https://careers.loreal.com/en_US/jobs/SearchJobs/?jobOffset=0"",""origin"":""https://careers.loreal.com""}",1722,1715
"Dr. Jart+",eightfold,"{""origin"":""https://careers.elcompanies.com"",""domain"":""elcompanies.com""}",1386,0
"Editions de Parfums Frédéric Malle",eightfold,"{""origin"":""https://careers.elcompanies.com"",""domain"":""elcompanies.com""}",1386,0
"Estée Lauder",eightfold,"{""origin"":""https://careers.elcompanies.com"",""domain"":""elcompanies.com""}",1386,0
"GLAMGLOW",eightfold,"{""origin"":""https://careers.elcompanies.com"",""domain"":""elcompanies.com""}",1386,0
"Jo Malone London",eightfold,"{""origin"":""https://careers.elcompanies.com"",""domain"":""elcompanies.com""}",1386,0
"LVMH (toutes Maisons)",lvmh_algolia,"{""country"":""France""}",1200,1200
"Hermès",wttj,"{""slug"":""hermes""}",581,0
"IWC Schaffhausen",workday,"{""tenant"":""richemont"",""site"":""broadbean_external"",""origin"":""https://richemont.wd3.myworkdayjobs.com""}",423,423
"Jaeger-LeCoultre",workday,"{""tenant"":""richemont"",""site"":""broadbean_external"",""origin"":""https://richemont.wd3.myworkdayjobs.com""}",423,399
"Element",magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com""}",408,408
"Jean Paul Gaultier",successfactors,"{""origin"":""https://jobs.puig.com""}",226,226
"Kama Ayurveda",successfactors,"{""origin"":""https://jobs.puig.com""}",226,226
"L'Artisan Parfumeur",successfactors,"{""origin"":""https://jobs.puig.com""}",226,226
"Maje",smartrecruiters-whitelabel,"{""company"":""SMCP"",""account"":""SMCP""}",534,534
"A-Derma",workday,"{""tenant"":""pierrefabre"",""site"":""External_Career_Site"",""origin"":""https://pierrefabre.wd3.myworkdayjobs.com""}",210,210
"Ducray",workday,"{""tenant"":""pierrefabre"",""site"":""External_Career_Site"",""origin"":""https://pierrefabre.wd3.myworkdayjobs.com""}",210,206
"Eau Thermale Avene",workday,"{""tenant"":""pierrefabre"",""site"":""External_Career_Site"",""origin"":""https://pierrefabre.wd3.myworkdayjobs.com""}",210,204
"Klorane",workday,"{""tenant"":""pierrefabre"",""site"":""External_Career_Site"",""origin"":""https://pierrefabre.wd3.myworkdayjobs.com""}",210,203
"Aptar Beauty",successfactors,"{""origin"":""https://jobs.aptar.com""}",208,206
"Etam",teamtailor,"{""origin"":""https://career.groupeetam.com""}",188,188
"Galeries Lafayette",teamtailor,"{""origin"":""https://carrieres.groupegalerieslafayette.com""}",157,157
"GQ France",workday,"{""tenant"":""condenast"",""site"":""CondeCareers"",""origin"":""https://condenast.wd115.myworkdayjobs.com""}",139,139
"Drunk Elephant",successfactors,"{""origin"":""https://careers.shiseido.com""}",134,134
"IPSA",successfactors,"{""origin"":""https://careers.shiseido.com""}",134,134
"Sandro",smartrecruiters-whitelabel,"{""vendor"":""SmartRecruiters"",""company"":""SMCP"",""api"":""https://api.smartrecruiters.com/v1/companies/SMCP/postings?limit=100"",""brandFacet"":""customField fieldLabel=Brands"",""account"":""SMCP""}",534,534
"Escada Parfums",successfactors,"{""origin"":""https://careers.coty.com""}",116,115
"Gucci Beauty",successfactors,"{""origin"":""https://careers.coty.com""}",116,116
"Hugo Boss Fragrances",successfactors,"{""origin"":""https://careers.coty.com""}",116,116
"Infiniment Coty Paris",successfactors,"{""origin"":""https://careers.coty.com""}",116,116
"Jil Sander Parfums",successfactors,"{""origin"":""https://careers.coty.com""}",116,116
"Joop!",successfactors,"{""origin"":""https://careers.coty.com""}",116,116
"Kylie Cosmetics",successfactors,"{""origin"":""https://careers.coty.com""}",116,116
"Lancaster",successfactors,"{""origin"":""https://careers.coty.com""}",116,116
"Claudie Pierlot",smartrecruiters-whitelabel,"{""company"":""SMCP"",""account"":""SMCP""}",534,534
"Canada Goose",workday,"{""tenant"":""canadagoose"",""site"":""CanadaGooseCareers"",""origin"":""https://canadagoose.wd3.myworkdayjobs.com""}",104,103
"De Beers London",smartrecruiters-whitelabel,"{""company"":""AngloAmericanDeBeersGroup"",""account"":""AngloAmericanDeBeersGroup""}",96,96
"APM Monaco",workable,"{""account"":""apm-monaco""}",97,97
"Clarins",successfactors,"{""origin"":""https://careers.groupeclarins.com""}",40,40
"Eram",magnet,"{""siteKey"":""61ffe84ad14ba0fdbb448d2d388ac4e3"",""origin"":""https://recrutement.groupe-eram.com""}",89,89
"Polène",ashby,"{""vendor"":""ashby"",""slug"":""polene-paris"",""board_url"":""https://jobs.ashbyhq.com/polene-paris"",""api_url"":""https://api.ashbyhq.com/posting-api/job-board/polene-paris"",""method"":""GET"",""response_path"":""jobs[]"",""id_field"":""id"",""discovered_via"":""https://www.polene-paris.com/blogs/rh/careers"",""origin"":""https://jobs.ashbyhq.com/polene-paris""}",81,81
"Jules",talentview,"{""slug"":""jules-recrutement""}",10,10
"Dr Pierre Ricaud",successfactors,"{""origin"":""https://careers.groupe-rocher.com""}",30,30
"Helena Rubinstein",wttj,"{""slug"":""l-oreal""}",62,40
"IT Cosmetics",wttj,"{""slug"":""l-oreal""}",62,40
"Jacquemus Beauty",wttj,"{""slug"":""l-oreal""}",62,40
"Kérastase",wttj,"{""slug"":""l-oreal""}",62,40
"Kiehl's",wttj,"{""slug"":""l-oreal""}",62,40
"L'Oréal",wttj,"{""slug"":""l-oreal""}",62,40
"L'Oréal Paris",wttj,"{""slug"":""l-oreal""}",62,40
"La Roche-Posay",wttj,"{""slug"":""l-oreal""}",62,40
"Lancôme",wttj,"{""slug"":""l-oreal""}",62,40
"Cache Cache",magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com""}",408,408
"Valentino",successfactors,"{""vendor"":""successfactors_rmk"",""origin"":""https://jobs.valentino.com"",""path"":""/search/"",""pagination"":""startrow"",""page_size"":10,""job_url"":""/job/{slug}/{id}/""}",29,29
"Egon Zehnder",workable,"{""account"":""ezrecruiting""}",55,55
"Promod",talentview,"{""vendor"":""talentview"",""slug"":""promodjob"",""company_website_id"":2498,""career_site"":""https://promodjob.talentview.io/"",""api_url"":""https://api.talentview.io/funnel/v2/companies/promodjob/campaigns"",""query"":{""company_website_id"":2498,""display_mode"":""list"",""offset_start"":1},""pagination"":{""param"":""offset_start"",""type"":""page_number"",""start"":1,""page_size"":10},""id_field"":""id"",""detail_url_template"":""https://promodjob.talentview.io/fr/campaigns/{slug}"",""origin"":""https://promodjob.talentview.io/""}",10,10
"Maison 123",teamtailor,"{""origin"":""https://career.maison123.com""}",52,52
"Soeur",teamtailor,"{""vendor"":""teamtailor"",""subdomain"":""soeur-1711354805"",""careers_url"":""https://soeur-1711354805.teamtailor.com/"",""jobs_url"":""https://soeur-1711354805.teamtailor.com/jobs"",""origin"":""https://soeur-1711354805.teamtailor.com/"",""account"":""soeur-1711354805"",""listingUrl"":""https://soeur-1711354805.teamtailor.com/jobs""}",52,52
"Bonobo",magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com""}",408,408
"Maison Margiela",successfactors,"{""origin"":""https://careers.otb.net""}",60,60
"Gemo",magnet,"{""siteKey"":""61ffe84ad14ba0fdbb448d2d388ac4e3"",""origin"":""https://recrutement.groupe-eram.com""}",89,89
"AMIRI",lever,"{""site"":""AMIRI""}",42,38
"Morgan",magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com"",""api"":""https://api.magnet.work/v2/job-offers""}",408,408
"Caroll",magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com""}",408,408
