nom	site	cause	detail
0&1	https://en.0and1.de/	http-dead	404
allen schwartz	https://www.allenschwartz.com/	tls-error	CERT_HAS_EXPIRED
allthingsfi	https://www.allthingsfi.com.au/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
allkind	https://allkind.co.uk/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
allylikes	https://www.allylikes.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
05 studio	https://www.the05studio.com/	http-dead	404
1017 alyx 9sm	https://www.alyxstudio.com/	http-dead	404
alpenglow	https://shopalpenglowapparel.com/	http-dead	402
alternative apparel	https://www.alternativeapparel.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
27kids	https://27kids.com.vn/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
altered apparel	https://www.alteredapparelltd.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
alpe women shoes	https://www.alpeteam.com/	http-dead	402
alternative	https://www.alternativeapparel.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
alster vandel	https://alstervandel.com/	http-dead	409
amari amari	https://amariamari.co.uk/	http-dead	402
281z	https://281z.store/	dns-dead	no A/AAAA @1.1.1.1
amávia	https://www.amavia.com.br/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
am jewelry	https://angelomoretti.be/	http-dead	404
ammehoela	https://www.ammehoela-kids.nl/	http-dead	404
99podshop	https://99podshop.co/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
amirante antica sartoria napoletana	https://www.anticasartorianapoletana.it/sell-online	http-dead	404
andreādamo	https://andreaadamo.it/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
a better mistake	https://shop.abettermistake.com/collections/shop-collection	http-dead	402
amber goes green	http://ambergoesgreen.ca/accessories-collection/	http-dead	404
5lakes&mt	https://5lakesmt.com/	dns-dead	no A/AAAA @1.1.1.1
88 rue du rhone	http://88rdr.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
anita bilardi	https://www.anitabilardi.com/en/	http-dead	404
angel's paris	https://www.angels-paris.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
a.d.s.r	https://www.adsrfoundation.com/top/	http-dead	404
and less	https://www.shopandless.com/	tls-error	CERT_HAS_EXPIRED
ank	https://www.ankjewellery.art/	http-dead	404
4you	https://www.4you.de/	net-error	ENETUNREACH
a perfect jane	https://aperfectjane.com/	dns-dead	no A/AAAA @1.1.1.1
à la garçonne	https://alagarconne.com.br/en	http-dead	404
aaron esh	https://aaronesh.com/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
3i	https://3i-store.com/	net-error	UND_ERR_CONNECT_TIMEOUT
andrea lucy designs	https://andrealucydesigns.com.au/	tls-error	CERT_HAS_EXPIRED
anchors-n-asteroids	https://www.anchors-n-asteroids.com/	http-dead	404
a2z beauty	https://www.michaelgiordanointl.com/home	http-dead	404
a.b.c.l.	https://www.abclgarments.com/	tls-error	CERT_HAS_EXPIRED
anse	https://anselinen.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
anaconda	https://www.anacondastores.com/	net-error	redirect count exceeded
