nom	site	bucket	detail
a perfect jane	https://aperfectjane.com/	dns-dead	no A/AAAA @1.1.1.1
281z	https://281z.store/	dns-dead	no A/AAAA @1.1.1.1
andreādamo	https://andreaadamo.it/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
allkind	https://allkind.co.uk/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
0&1	https://en.0and1.de/	http-dead	404
amari amari	https://amariamari.co.uk/	http-dead	402
a better mistake	https://shop.abettermistake.com/collections/shop-collection	http-dead	402
alpenglow	https://shopalpenglowapparel.com/	http-dead	402
a.b.c.l.	https://www.abclgarments.com/	tls-error	CERT_HAS_EXPIRED
05 studio	https://www.the05studio.com/	http-dead	404
allen schwartz	https://www.allenschwartz.com/	tls-error	CERT_HAS_EXPIRED
1017 alyx 9sm	https://www.alyxstudio.com/	http-dead	404
alster vandel	https://alstervandel.com/	http-dead	409
alternative	https://www.alternativeapparel.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
alternative apparel	https://www.alternativeapparel.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
alpe women shoes	https://www.alpeteam.com/	http-dead	402
anita bilardi	https://www.anitabilardi.com/en/	http-dead	404
artelusa	https://artelusa.pt/	tls-error	CERT_HAS_EXPIRED
articles of society	https://articlesofsociety.com/	http-dead	404
ammehoela	https://www.ammehoela-kids.nl/	http-dead	404
am jewelry	https://angelomoretti.be/	http-dead	404
aznar innova s.a.	https://www.aznarinnova.com/en/	alive	200
aaron esh	https://aaronesh.com/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
audelia's collection	http://audeliascollection.com/	alive	200
auli skin	https://www.auliskin.com/	alive	200
aiste anaite	https://www.aisteanaite.com/en/	alive	200
a.d.s.r	https://www.adsrfoundation.com/top/	http-dead	404
ballantyne cashmere spa	https://www.ballantyne.it/	blocked	403
au vieux campeur	https://www.auvieuxcampeur.fr/	alive	200
atm	https://atmcollection.com/	alive	200
awave awake	https://www.awaveawake.com/	alive	200
anchors-n-asteroids	https://www.anchors-n-asteroids.com/	http-dead	404
american golf	https://www.americangolf.co.uk/	alive	200
absolutely bear	https://www.absolutelybear.com/	tls-error	CERT_HAS_EXPIRED
backstage make-up	https://backstage-makeup.de/	alive	200
age of innocence	https://www.age-of-innocence.com/	alive	200
a2z beauty	https://www.michaelgiordanointl.com/home	http-dead	404
ascention parfums	http://ascentionbeautyco.com/	alive	200
aro	https://aroshoes.com/	alive	200
aizea	https://www.aizea-paris.com/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
azure	http://www.azureskincare.com/	alive	200
arcopedico	https://arcopedico.com/en/spring-2021/	http-dead	404
accessoire diffusion	https://www.accessoire-diffusion.com/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
agolde	https://agolde.com/	alive	200
aob products	http://www.aobproducts.ca/	http-dead	404
andrea lucy designs	https://andrealucydesigns.com.au/	tls-error	CERT_HAS_EXPIRED
adya designs	https://adyadesigns.in/	tls-error	CERT_HAS_EXPIRED
aethera	https://www.aethera.com.au/	alive	200
aisle5	http://www.aisle5skin.com/	alive	200
babymel	http://www.babymel.com/	alive	200
agua bendita	https://www.aguabendita.com.co/	alive	200
auralee	https://auralee.jp/	alive	200
armani jeans	https://www.armani.com/ru/armanijeans	http-dead	404
atelier rebul	https://www.atelierrebul.com.tr/	alive	200
autumn adeigbo	https://autumnadeigbo.com/	http-dead	402
abyl	https://aybl.com/	alive	200
airpaq	https://www.airpaq.de/	alive	200
backes & strauss	https://www.backesandstrauss.com/	alive	200
adidas	https://www.adidas.com/	blocked	403
astley clarke	https://www.astleyclarke.com/	alive	200
artlove	https://www.artlove.fr/	alive	200
aemmi	https://www.ae-mmi.com/	alive	200
beiersdorf	https://www.beiersdorf.com/	alive	200
à la garçonne	https://alagarconne.com.br/en	http-dead	404
aurelia	https://shopforaurelia.com/	alive	200
ayurveda sutra co	https://www.ayurvedasutra.co/	alive	200
avesso	https://www.avesso.com/	alive	200
ahlvar gallery	https://ahlvar.com/	alive	200
5lakes&mt	https://5lakesmt.com/	dns-dead	no A/AAAA @1.1.1.1
alcott	https://www.alcott.eu/	alive	200
arquiste	https://arquiste.com/	alive	200
athari wear	https://athariwear.com/	alive	200
arivastreetwear	https://arivastreetwear.com/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
balm baby	http://www.taylorsnatural.com/	alive	200
arzukara	https://www.arzukara.com/	alive	200
arctic bay	https://arctic-bay.ca/	alive	200
bape	https://int.bape.com/	alive	200
artichoke	https://artichokebags.com/	alive	200
aktivoptik	https://www.aktivoptik.de/	alive	200
base london	https://www.baselondon.com/	alive	200
amber goes green	http://ambergoesgreen.ca/accessories-collection/	http-dead	404
akola	https://akola.co/	alive	200
against all odds	https://www.againstallodds.shop/	alive	200
billykirk	https://www.billykirk.com/	alive	200
akris	http://www.akris.ch/	alive	200
aspesi	https://www.aspesi.com/	alive	200
afflecks	https://www.afflecks.com/	alive	200
aroma prodigy	http://www.aromaprodigy.com/	alive	200
avia	http://www.avia.com/	alive	200
azizi	https://www.soraya-azizi.com/	alive	200
basile	https://www.basileitalia.com/fashion/il-marchio-basile/	http-dead	404
aventura	https://aventuraclothing.com/	alive	200
al ambra	https://alambraperfumes.com/	alive	200
agave healing oil	http://www.agaveoil.com/	alive	200
barbarossa moratti	https://www.barbarossamoratti.com/	alive	200
agella beauty	https://www.agellabeauty.com/	alive	200
beatrice valenzuela	https://beatricevalenzuela.com/	alive	200
barney cools	https://barneycools.com/	alive	200
bathsheba	https://bathshebarituals.com/	alive	200
barbella co.	http://barbellaco.com/	alive	200
bcf	https://www.bcf.com.au/	blocked	403
abbot kinney apothecary	https://abbotkinneyapothecary.com/	alive	200
bali lash	http://www.balilash.com/	http-dead	404
becci boo's custom shoes	https://beccibooscustomshoes.com/	alive	200
bassike	https://intl.bassike.com/	alive	200
authentic	http://www.authentichemp.com/	alive	200
auricoste	http://www.auricoste.fr/	alive	200
batsheva	https://www.batsheva.com/	alive	200
balm n calm	https://balmncalm.com/	alive	200
barocco tribal	https://www.baroccotribal.com/	alive	200
alder	https://www.alderapparel.com/	alive	200
adia	https://www.adiafashion.dk/	alive	200
ayten gasson	https://www.aytengasson.com/	alive	200
beams	https://www.beams.co.jp/	alive	200
banks journal	https://banksjournal.com/	alive	200
babyone	https://www.babyone.de/	alive	200
baby phat	https://babyphat.com/	alive	200
atunas	https://www.atunas.com.tw/	alive	200
belair	https://www.belair-paris.fr/	alive	200
aevi wellness	http://aeviwellness.com/	alive	200
article22	https://article22.com/?oid=52&affid=1&source_id=GoY-rating&sub1=brandpage	alive	200
anaconda	https://www.anacondastores.com/	net-error	redirect count exceeded
bethany williams	http://www.bethany-williams.com/	alive	200
bannedla	https://ruinmylife.la/	http-dead	402
billini	https://www.billini.com/	alive	200
adriana degreas	https://shop.adrianadegreas.com/	http-dead	404
be pure dutch	https://bepure-dutch.com/	http-dead	404
après studio	https://apresstudio.com.au/	alive	200
aware hair	https://awarehair.com/	alive	200
beaumont organic	https://beaumontorganic.com/	alive	200
aimer	https://aimeronline.com/	alive	200
bellfield	https://www.bellfieldclothing.com/	http-dead	423
benfica official store	https://www.slbenfica.pt/	alive	200
alejandra alonso rojas	https://www.alejandraalonsorojas.com/	alive	200
alexandria professional	http://www.alexandriaprofessional.com/	alive	200
bandi vamos	https://www.bandi.cz/	alive	200
bearpaw	https://www.bearpaw.com/	alive	200
alighieri	https://www.alighieri.com/	alive	200
bela beauty college	https://belabeautycollege.com/	alive	200
big lots	https://www.biglots.com/	alive	200
aristocrazy	https://www.aristocrazy.com/	alive	200
bata	https://www.bata.in/	alive	200
4you	https://www.4you.de/	net-error	ENETUNREACH
alcina	https://www.alcina.de/	alive	200
aveda	https://www.aveda.ca/	alive	200
berner kühl	https://bernerkuhl.com/	alive	200
bergstein	https://www.bergsteinfootwear.com/	alive	200
behno	https://behno.com/	alive	200
bav tailor	https://bavtailor.com/	alive	200
bambu earth	https://bambuearth.com/	alive	200
bb sheep	https://www.bbsheep.com/	alive	200
blukey	https://www.blukey.it/	alive	200
bernie mev new york	https://www.berniemev.eu/	alive	200
az factory	https://www.azfactory.com/	http-dead	404
belt fashion	https://beltfashion.nl/	alive	200
black pepper clothing	https://www.blackpepper.com.au/	alive	200
blood brother	https://www.blood-brother.com/	server-error	500
bossini	https://www.bossini.com/	alive	200
arthur knight	https://arthurknight.com/	net-error	redirect count exceeded
bimba y lola	https://www.bimbaylola.com/	alive	200
babybear	https://babybear.lk/	alive	200
bella freud	https://bellafreud.com/	alive	200
