nom	site	bucket	detail
acbc	https://acbc.com/	alive	200
mavi step	https://mavistep.com/	alive	200
forthefly customs	https://www.fortheflycustoms.com/	alive	200
shabbies amsterdam	https://www.shabbiesamsterdam.com/	alive	200
aldola	http://www.aldola.com/	alive	200
flynow	https://flynowofficial.com/main/about.php	net-error	ECONNRESET
yume	https://yumelabel.com/	net-error	UNABLE_TO_GET_ISSUER_CERT_LOCALLY
rapanui	https://click.linksynergy.com/deeplink?id=Fluhu2U*BdY&mid=50425&murl=https%3A%2F%2Frapanuiclothing.com	alive	200
napo gloves	https://napogloves.com/	alive	200
cider	https://shopcider.com/	alive	200
corks and bubbles	http://corksandbubbles.ca/	alive	200
stacy adams	http://www.stacyadams.com/shop/index.html	http-dead	404
mineral options	http://www.mineraloptions.com/	alive	200
the store	https://www.tstore.com.my/	alive	200
caibai	https://www.bjcaibai.com.cn/	alive	200
yasania	https://yasania.com/	alive	200
cbd daily	http://www.cbddailyproducts.com/	alive	200
mario doni	https://www.mariodoni.it/en/	alive	200
sunheroes	https://www.sunheroes.com/	alive	200
primigi	https://www.primigi.it/	alive	200
bee good do good	http://www.vetiversolutions.org/	alive	200
3i	https://3i-store.com/	net-error	UND_ERR_CONNECT_TIMEOUT
amendi	https://www.amendi.com/	net-error	UND_ERR_CONNECT_TIMEOUT
recman	https://www.recman.pl/	net-error	UND_ERR_CONNECT_TIMEOUT
siena d	https://www.siena-d.com/	net-error	UND_ERR_CONNECT_TIMEOUT
ten cate	https://ltencate.com/nl/	net-error	UND_ERR_CONNECT_TIMEOUT
sparkz copenhagen	https://www.sparkz.dk/	net-error	UND_ERR_CONNECT_TIMEOUT
saint ape	https://shop.saint-ape.com/	net-error	UND_ERR_CONNECT_TIMEOUT
marks & spencer	https://marksandspencer.ru/	net-error	UND_ERR_CONNECT_TIMEOUT
o.c.t. mami	http://www.octmami.com/	net-error	UND_ERR_CONNECT_TIMEOUT
vera mont	https://www.veramont.com/	net-error	UND_ERR_CONNECT_TIMEOUT
june79	https://june79nyc.com/	net-error	UND_ERR_CONNECT_TIMEOUT
paperthinks	https://paperthinks.us/	net-error	UND_ERR_CONNECT_TIMEOUT
with sense	https://merci-saga.com/c/all_brand/WITHSENSE	net-error	UND_ERR_CONNECT_TIMEOUT
krystall-soamas	https://www.krystall-soamas.com/	net-error	UND_ERR_CONNECT_TIMEOUT
touch body works	http://www.evoketouch.com/	net-error	UND_ERR_CONNECT_TIMEOUT
little hedonist	https://www.littlehedonist.nl/	net-error	UND_ERR_CONNECT_TIMEOUT
metissier	https://www.metissier.com/	net-error	UND_ERR_CONNECT_TIMEOUT
kalina	http://www.kalina.org/	net-error	UND_ERR_CONNECT_TIMEOUT
