id	url	verdict	detail	entites
CELINE	https://career.celine.com/fr-fr/	BOT_WALL	HTTP 403 for https://career.celine.com/fr-fr/	Celine
COS	https://career.cos.com/content/coscareer/en_gb/findjob.html?category=&type=&country=coscareer%3Alocation%2Fus	BOT_WALL	HTTP 403 for https://career.cos.com/content/coscar	COS
LUXEXPERIENCE	https://career.luxexperience.com/	GENERIC	{"startUrl":"https://career.luxexperience.com/"}	LuxExperience, MR PORTER, NET-A-PORTER, YOOX
MYTHERESA	https://career.mytheresa.com/en/open-positions	GENERIC	{"startUrl":"https://career.mytheresa.com/en/open-positions"}	Mytheresa
ACNE	https://careers.acnestudios.com/open-positions/	GENERIC	{"feedUrl":"https://careers.acnestudios.com/feed/"}	Acne Studios
AUDEMARS	https://careers.audemarspiguet.com/fr/job-listing	GENERIC	{"startUrl":"https://careers.audemarspiguet.com/fr/job-listing"}	Audemars Piguet
BREITLING	https://careers.breitling.com/	READY:SUCCESSFACTORS	{"origin":"https://careers.breitling.com"}	Breitling
CHALHOUB	https://careers.chalhoubgroup.com/jobs	READY:TEAMTAILOR	{"origin":"https://www.teamtailor.com"}	Chalhoub Group
DAMIANI	https://careers.damianigroup.com/job/	READY:SUCCESSFACTORS	{"origin":"https://careers.damianigroup.com"}	Damiani, Damiani Group
DOUGLAS	https://careers.douglas.group/fr/jobs/	GENERIC	{"startUrl":"https://careers.douglas.group/fr/jobs/"}	Douglas
END	https://careers.endclothing.com/	GENERIC	{"startUrl":"https://careers.endclothing.com/"}	END.
FENDI	https://careers.fendi.com/job-search-page/job-results-page/	UNREACHABLE	fetch failed	Fendi
HUGO_BOSS	https://careers.hugoboss.com/fr/fr/search-results	READY:PHENOM	{"origin":"https://careers.hugoboss.com"}	HUGO BOSS
LULULEMON	https://careers.lululemon.com/en_US/careers/SearchCareer/	UNREACHABLE	This operation was aborted	lululemon
NIKE	https://careers.nike.com/jobs	READY:AVATURE	{"origin":"https://nikeats.avature.net","listingUrl":"https://nikeats.avature.ne	Converse, Jordan Brand, Nike
NORDSTROM	https://careers.nordstrom.com/jobs	READY:WORKDAY	{"tenant":"nordstrom","site":"nordstrom_careers","origin":"https://nordstrom.wd5	Nordstrom, Nordstrom Rack
OUNASS	https://careers.ounass.com/jobs	READY:TEAMTAILOR	{"origin":"https://app.teamtailor.com"}	Ounass
PVH	https://careers.pvh.com/jobs/search	GENERIC	{"feedUrl":"https://careers.pvh.com/blogs/first-blog-draft"}	Calvin Klein, PVH, Tommy Hilfiger
RALPH_LAUREN	https://careers.ralphlauren.com/en_US/CareersCorporate/SearchJobsCorporate/?listFilterMode=1&jobRecordsPerPage=6&	GENERIC	{"startUrl":"https://careers.ralphlauren.com/en_US/CareersCorporate/SearchJobsCo	Ralph Lauren
SAKS_GLOBAL	https://careers.saksglobal.com/us/en	READY:PHENOM	{"origin":"https://careers.saksglobal.com"}	Bergdorf Goodman, Neiman Marcus, Saks OFF 5TH
SAKS	https://careers.saksglobal.com/us/en/saks-fifth-avenue	READY:WORKDAY	{"tenant":"saks","site":"careers_at_saks","origin":"https://saks.wd1.myworkdayjo	Saks Fifth Avenue
