"nom_fashionjobs","offres_annuaire","fiche_fashionjobs","statut_couverture","type_acteur","methode_rapprochement","company_ids","companies","ambiguite_plusieurs_fiches","offres_base_monde","offres_base_france","offres_base_source_directe_france","offres_directes_sans_pays","ecart_base_direct_fr_moins_annuaire","comparaison_certifiee","domaines_base","sources_catalogue","sources_directes_actives","portails_groupe","statut_recherche","liens_carriere_candidats_non_certifies","sites_candidats_lus","portail_revu","preuve_identite_ou_portail","qualification_documentee","ats_revu","prochaine_action"
"INTERSPORT","577","https://fr.fashionjobs.com/recrutement/intersport.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","ENSEIGNE","NOM_ALIAS_ET_DECISION_DOCUMENTEE","cmtlyfvaf016cqf5k6yvon72v","INTERSPORT","NON","5","0","0","0","-577","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","intersport.com","intersport:ACTIVE","intersport","","WEBSITE_UNREADABLE","","","https://recrutement.intersport.fr/","https://recrutement.intersport.fr/","PORTAIL_FRANCE_OFFICIEL_IDENTIFIE","Site carrière France; moteur à qualifier","La source Teamtailor existante ne couvre aucune offre France dans la base; auditer le portail France séparément sans supposer un seul portail mondial."
"NOCIBÉ","289","https://fr.fashionjobs.com/recrutement/nocibe.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtpj22dg131zpf5lm4whphbj","Nocibé","NON","313","267","267","45","-22","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","nocibe.fr","nocibe-eqwa:ACTIVE","nocibe-eqwa","","WEBSITE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"CHRISTIAN DIOR COUTURE","271","https://fr.fashionjobs.com/recrutement/christian-dior-couture.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtk48e6r1bu9ny2bxbq8un50","Christian Dior Couture","NON","485","282","279","0","8","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","dior.com","","lvmh","","WEBSITE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"COURIR","192","https://fr.fashionjobs.com/recrutement/courir.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtjvn7mp0000ld2bc3dm4w94","Groupe Courir","NON","425","302","279","0","87","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","courir.com","courir:ACTIVE","courir","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","https://jobs.courir.com/","https://www.courir.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"LTD INTERNATIONAL","120","https://fr.fashionjobs.com/recrutement/ltd-international.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvvnl1s56nf2b4wguve1b | cmtrup1pw4mnupg5mp5zf8mds","LTD INTERNATIONAL | LTD","OUI","17","17","0","0","-120","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"PANDORA","102","https://fr.fashionjobs.com/recrutement/pandora.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtjwf6ge08pfo72b7oqm8q3c","Pandora","NON","1937","119","104","52","2","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","pandoragroup.com","pandora-talenthub:ACTIVE","pandora-talenthub","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","https://careers.pandoragroup.com/ | https://careers.pandoragroup.com/career-areas | https://careers.pandoragroup.com/seasonal-jobs | https://careers.pandoragroup.com/jobs | https://careers.pandoragroup.com/jobs?filter%5Bcategory%5D%5B0%5D=Corporate | https://careers.pandoragroup.com/jobs?filter%5Bcategory%5D%5B0%5D=Distribution | https://careers.pandoragroup.com/career-areas#retail-career | https://careers.pandoragroup.com/career-areas#crafting-supply-career | https://careers.pandoragroup.com/career-areas#corporate-career | https://careers.pandoragroup.com/career-areas#distribution-career | https://careers.pandoragroup.com/career-areas#digital-tech-career | https://careers.pandoragroup.com/jobs?filter%5Bcategory%5D%5B0%5D=Retail | https://careers.pandoragroup.com/jobs?filter%5Bcategory%5D%5B0%5D=Manufacturing | https://careers.pandoragroup.com/jobs?filter%5Bcategory%5D%5B0%5D=Digital&filter%5Bcategory%5D%5B1%5D=Product%20Development | https://sapcareerssite.pandoragroup.com/content/Join-our-Talent-Community-en_US/?locale=en_US | https://careers.pandoragroup.com/fr/seasonal-jobs | https://careers.pandoragroup.com/fr/career-areas | https://careers.pandoragroup.com/fr/jobs | https://careers.pandoragroup.com/fr/jobs?filter%5Bcategory%5D%5B0%5D=Corporate | https://careers.pandoragroup.com/fr/jobs?filter%5Bcategory%5D%5B0%5D=Distribution | https://careers.pandoragroup.com/fr/jobs?filter%5Bcategory%5D%5B0%5D=Retail | https://careers.pandoragroup.com/fr/jobs?filter%5Bcategory%5D%5B0%5D=Manufacturing | https://careers.pandoragroup.com/fr/jobs?filter%5Bcategory%5D%5B0%5D=Digital&filter%5Bcategory%5D%5B1%5D=Product%20Development","https://pandoragroup.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"PARFUMS CHRISTIAN DIOR","100","https://fr.fashionjobs.com/recrutement/parfums-christian-dior.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtk48ead1bvtny2br5o6wk5j","Parfums Christian Dior","NON","253","120","106","0","6","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","dior.com","","lvmh","","WEBSITE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"SINTEL","99","https://fr.fashionjobs.com/recrutement/sintel.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvumu1rr2nf2bqcmyma7r","SINTEL","NON","19","19","0","0","-99","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","sintel-recrutement.fr","","","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","https://sintel-recrutement.fr/ | https://sintel-recrutement.fr/entreprises/ | https://sintel-recrutement.fr/nos-metiers/ | https://sintel-recrutement.fr/expertises/ | https://sintel-recrutement.fr/map-access/ | https://sintel-recrutement.fr/about/ | https://sintel-recrutement.fr/rse/ | https://sintel-recrutement.fr/wp-content/uploads/2023/07/RH-SINTEL.pdf | https://sintel-recrutement.fr/zh-hans/ | https://sintel-recrutement.fr/en/ | https://sintel-recrutement.fr/sintel-connect/?action=register | https://sintel-recrutement.fr/joindre-cv/ | https://sintel-recrutement.fr/nos-annonces/ | https://sintel-recrutement.fr/services/ | https://twitter.com/Sintel_Recrute | https://sintel-recrutement.fr/mentions-legales/ | https://sintel-recrutement.fr/map-access/?section=form | https://sintel-recrutement.fr/faq/","https://sintel-recrutement.fr/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"PVH","91","https://fr.fashionjobs.com/recrutement/pvh.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtpjsp7t2oscpf5llnw44g9z","PVH","NON","1379","90","90","14","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","pvh.com","pvh:ACTIVE","pvh","","WEBSITE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"ARMOR LUX","83","https://fr.fashionjobs.com/recrutement/armor-lux.html","AUCUN_RAPPROCHEMENT_ETABLI","MAISON","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","https://careers.werecruit.io/fr/armor-lux","https://www.armorlux.com/","https://careers.werecruit.io/fr/armor-lux","https://www.armorlux.com/ | https://careers.werecruit.io/fr/armor-lux","LIEN_OFFICIEL_VERS_PORTAIL_CONFIRME","WeRecruit","Créer le dossier Armor-lux; valider le flux WeRecruit et son exhaustivité avant activation. Ne pas confondre avec Armor Group industriel."
