normalized_label,labels,editions,candidate_company_ids,catalogue_sources,existing_ats,configured_portals,existing_world_jobs,existing_france_jobs,profiles,identity_status
"","国际名品运用于","cn","","","","","","","https://cn.fashionjobs.com/%E6%8B%9B%E8%81%98/%E5%9B%BD%E9%99%85%E5%90%8D%E5%93%81%E8%BF%90%E7%94%A8%E4%BA%8E.html","CANDIDATE_NOT_CERTIFIED"
"032C","032C","de","","","","","","","https://de.fashionjobs.com/karriere-arbeitspl%C3%A4tze/032c.html","CANDIDATE_NOT_CERTIFIED"
"100 SISTERS","100% SISTERS","be","","","","","","","https://be.fashionjobs.com/recrutement/100-sisters.html","CANDIDATE_NOT_CERTIFIED"
"16PARIS","16PARIS","fr","","","","","","","https://fr.fashionjobs.com/recrutement/16paris.html","CANDIDATE_NOT_CERTIFIED"
"19TH STREET","19TH STREET","it","","","","","","","https://it.fashionjobs.com/lavora-con-noi/19th-street.html","CANDIDATE_NOT_CERTIFIED"
"2 MAI PARIS","2 MAI PARIS","fr","cmtkdw2sg1u8znf2bjpd9lgvr","","","","","","https://fr.fashionjobs.com/recrutement/2-mai-paris.html","CANDIDATE_NOT_CERTIFIED"
"23 MAI PARIS","23 MAI PARIS","fr","cmtkdvxpe1sronf2b4pgv8aru","","","","","","https://fr.fashionjobs.com/recrutement/23-mai-paris.html","CANDIDATE_NOT_CERTIFIED"
"24BOTTLES","24BOTTLES","it","","","","","","","https://it.fashionjobs.com/lavora-con-noi/24bottles.html","CANDIDATE_NOT_CERTIFIED"
"360 TALENT LONDON","360 TALENT LONDON","ca | de | dk | fr | it | mc | uk | us","cmtkdw0aw1tgrnf2bke9mhl7g","fashionjobs:PAUSED","fashionjobs","","2","2","https://ca.fashionjobs.com/careers/360-talent-london.html | https://de.fashionjobs.com/karriere-arbeitspl%C3%A4tze/360-talent-london.html | https://dk.fashionjobs.com/careers/360-talent-london.html | https://fr.fashionjobs.com/recrutement/360-talent-london.html | https://it.fashionjobs.com/lavora-con-noi/360-talent-london.html | https://mc.fashionjobs.com/recrutement/360-talent-london.html | https://uk.fashionjobs.com/careers/360-talent-london.html | https://us.fashionjobs.com/careers/360-talent-london.html","CANDIDATE_NOT_CERTIFIED"
"3D TRADE","3D TRADE","fr","cmtlq3uh81lzzpg2bs51mn11d","","","","","","https://fr.fashionjobs.com/recrutement/3d-trade.html","CANDIDATE_NOT_CERTIFIED"
"58 FACETTES","58 FACETTES","fr","cmtkdvzx21td0nf2bpm258lmx","fashionjobs:PAUSED","fashionjobs","","1","1","https://fr.fashionjobs.com/recrutement/58-facettes.html","CANDIDATE_NOT_CERTIFIED"
