cluster,verdict,id,company,title,country,city,url,externalId,description_hash
1,MEME_PAGE_ANNONCE_CONFIRMEE,cmtlyfrz100yiqf5k4etbwqns,Lumentee,D2C Growth Marketer,IN,Mumbai,https://lumentee.com/careers/,4bb39a95a4db7f9e4f033dfbd84837be3c656368,fe0598ba25cdb4c19eb27c411294952e
1,MEME_PAGE_ANNONCE_CONFIRMEE,cmtlyfrzf00ymqf5k9jwe5acr,Lumentee,D2C Growth Marketer,IN,Mumbai,https://lumentee.com/careers/#main,bc18fad8db6b36656e93448376668c3317f51383,fe0598ba25cdb4c19eb27c411294952e
1,MEME_PAGE_ANNONCE_CONFIRMEE,cmtlyfrzr00yqqf5k3o77dfju,Lumentee,D2C Growth Marketer,IN,Mumbai,https://lumentee.com/careers/#roles,30537fc4234d87c3e5f5417fd588c64dc4c742ff,fe0598ba25cdb4c19eb27c411294952e
1,MEME_PAGE_ANNONCE_CONFIRMEE,cmtlyfrzz00yuqf5k0zxx0a4y,Lumentee,D2C Growth Marketer,IN,Mumbai,https://lumentee.com/careers/#culture,fd0b453cab703ac8ed8bee4c17ee78eaf7fda4dc,fe0598ba25cdb4c19eb27c411294952e
1,MEME_PAGE_ANNONCE_CONFIRMEE,cmtlyfs0700yyqf5k7fu4pcxn,Lumentee,D2C Growth Marketer,IN,Mumbai,https://lumentee.com/careers/#,1e6ac6dd6773402d1d19b1a068fec05281a92818,fe0598ba25cdb4c19eb27c411294952e
2,MEME_PAGE_ANNONCE_CONFIRMEE,cmtlyg9rd01mwqf5kw1kz83tz,Alberto,MITARBEITER/IN VERSAND UND LAGER M/W/D - FACHLAGERIST/IN,DE,Mönchengladbach,https://www.alberto-pants.com/jobs-and-careers/mitarbeiter-versand-lager/,cd838403d6e51b770d7271443ff97555403fb4bb,ba0274ede68e7a878d6a8f6031bf74bf
2,MEME_PAGE_ANNONCE_CONFIRMEE,cmtlyg9s001n4qf5k1417q545,Alberto,MITARBEITER/IN VERSAND UND LAGER M/W/D - FACHLAGERIST/IN,DE,Mönchengladbach,https://www.alberto-pants.com/jobs-and-careers/mitarbeiter-versand-lager/,3f1ea4bef772191484575deb822ddaa511fec915,ba0274ede68e7a878d6a8f6031bf74bf
2,MEME_PAGE_ANNONCE_CONFIRMEE,cmtlyg9su01ngqf5kic8p70zy,Alberto,MITARBEITER/IN VERSAND UND LAGER M/W/D - FACHLAGERIST/IN,DE,Mönchengladbach,https://www.alberto-pants.com/jobs-and-careers/mitarbeiter-versand-lager/,f19e680c4b0e4d0231960aea6e79ec33ce4adff1,ba0274ede68e7a878d6a8f6031bf74bf
2,MEME_PAGE_ANNONCE_CONFIRMEE,cmtlyg9t601nkqf5km7pgt1vv,Alberto,MITARBEITER/IN VERSAND UND LAGER M/W/D - FACHLAGERIST/IN,DE,Mönchengladbach,https://www.alberto-pants.com/jobs-and-careers/mitarbeiter-versand-lager/,030c5186ec1a3439a0573e8f32db189b96c367c5,ba0274ede68e7a878d6a8f6031bf74bf
3,MEME_PAGE_ANNONCE_CONFIRMEE,cmtlyf6zt00f6qf5kl40inqyh,Kastner & Öhler,"Backoffice Mitarbeiter*in, Graz, Teilzeit",AT,Graz,https://www.kastner-oehler.at/job-karriere/angebot/backoffice-mitarbeiterin-graz-teilzeit/,2198325d7da2e73ace96931ea4acb31106e2bd16,bbd047532556be5314b10c5b06997b29
