fr,id,jobs,kind,name,active,domain,sector,aliases,atsType,careersUrl,parentGroup,canonicalKey,domainSource,lastJobSyncAt,discoveryStatus
0,cmtpuyimv3pbul35m36fwuuzo,10051,UNKNOWN,Ulta Beauty,10051,ulta.com,BEAUTY,,UNKNOWN,,,ULTA_BEAUTY,source-careers,,PENDING
171,cmtk48dz71brqny2bsyv4ml8m,2405,UNKNOWN,Sephora,2299,sephora.com,RETAIL,,UNKNOWN,,LVMH,SEPHORA,source-careers,,PENDING
119,cmtjwf6ge08pfo72b7oqm8q3c,1937,UNKNOWN,Pandora,1937,pandoragroup.com,JEWELRY_WATCHES,,UNKNOWN,,,PANDORA,source-careers,,PENDING
149,cmtjzhlnt0000oe2b1pugscrp,1925,UNKNOWN,Foot Locker,1914,footlocker.com,RETAIL,,UNKNOWN,,Foot Locker Inc.,FOOT_LOCKER,source-careers,,PENDING
5,cmtpwvij600giql5m8iiplvov,1773,UNKNOWN,L’Oréal Professionnel,1773,loreal.com,BEAUTY,,UNKNOWN,,L'Oreal,L_OREAL_PROFESSIONNEL,source-careers,,PENDING
52,cmtp46ok11vbvqq4zlowazudi,1761,UNKNOWN,H&M Group,1761,hmgroup.com,RETAIL,,UNKNOWN,,,H_AND_M_GROUP,manual,,PENDING
0,cmtp6p1s52xnlqq4zm1zqljup,1660,UNKNOWN,Tapestry,1660,tapestry.com,RETAIL,,UNKNOWN,,,TAPESTRY,manual,,PENDING
1,cmtpjx4nv2wqjpf5ljaaqw1jm,1506,UNKNOWN,Boots,1506,boots.jobs,RETAIL,,UNKNOWN,,,BOOTS,source-careers,,PENDING
90,cmtpjsp7t2oscpf5llnw44g9z,1379,UNKNOWN,PVH,1379,pvh.com,FASHION,,UNKNOWN,,PVH,PVH,wikidata,,PENDING
6,cmtpkx0dp59qspf5lz9252szw,1365,UNKNOWN,URBN,1365,urbn.com,RETAIL,,UNKNOWN,,,URBN,manual,,PENDING
34,cmtn7s1lr1rosqq5liqmue7z6,1338,UNKNOWN,Levi's,1321,levi.com,RETAIL,,UNKNOWN,,,LEVI_S,manual,,PENDING
0,cmtpjpt4j2hoypf5lusxkuh9m,1302,UNKNOWN,Nordstrom,1302,nordstrom.com,RETAIL,,UNKNOWN,,,NORDSTROM,wikidata,,PENDING
254,cmtpjk6s927a5pf5la87dwntz,1145,UNKNOWN,Rituals,1145,rituals.com,BEAUTY,,UNKNOWN,,,RITUALS,source-careers,,PENDING
430,cmtk3fqsl0q3vny2brbrpo8tx,1134,UNKNOWN,Parfums Chanel,1117,chanel.com,BEAUTY,,UNKNOWN,,,PARFUMS_CHANEL,manual,,PENDING
52,cmtkdvv771rzinf2b3bt9vqu4,1107,UNKNOWN,adidas,1106,adidas-group.com,RETAIL,,UNKNOWN,,,ADIDAS,source-careers,,PENDING
26,cmtkdvy3z1swwnf2bo3y8vb22,1099,UNKNOWN,RALPH LAUREN,1097,ralphlauren.com,FASHION,,UNKNOWN,,,RALPH_LAUREN,source-careers,,PENDING
67,cmtn76cbr1guhqq5lw7243y4e,964,UNKNOWN,Primark,929,primark.com,FASHION,,UNKNOWN,,,PRIMARK,source-careers,,PENDING
87,cmtpubijn1lqrl35mlzn8kffd,838,UNKNOWN,Lovi,838,lovisa.com,RETAIL,,UNKNOWN,,,LOVI,source-careers,,PENDING
45,cmtn69siz11vgqq5lojru10az,812,UNKNOWN,Richemont,812,richemont.com,LUXURY,,UNKNOWN,,Richemont,RICHEMONT,wikidata,,PENDING
0,cmtpjdc6z1tmzpf5l6zgfjkse,777,UNKNOWN,Bloomingdale's,777,bloomingdales.com,RETAIL,,UNKNOWN,,,BLOOMINGDALE_S,wikidata,,PENDING
0,cmtpuc6031nlel35mf3c1vtkn,756,UNKNOWN,SAKS,756,saks.com,RETAIL,,UNKNOWN,,,SAKS,manual,,PENDING
55,cmtm8oy381hbdpv5jzsp4t1a8,785,UNKNOWN,NIKE,749,nike.com,RETAIL,,UNKNOWN,,,NIKE,source-careers,,PENDING
120,cmtpua9s11g7wl35mbbp7fhvk,735,UNKNOWN,La casa de las Carca,735,lacasadelascarcasas.com,RETAIL,,UNKNOWN,,,LA_CASA_DE_LAS_CARCA,manual,,PENDING
439,cmtjwf5mi0a6rld2b52mvdmlg,665,UNKNOWN,Hermès,650,hermes.com,FASHION,,UNKNOWN,,Hermes,HERMES,wikidata,,PENDING
120,cmtk48ee91bx9ny2bt1bil52u,631,UNKNOWN,Louis Vuitton,616,louisvuitton.com,FASHION,,UNKNOWN,,LVMH,LOUIS_VUITTON,wikidata,,PENDING
316,cmtn89596205lqq5l0deggb1g,623,UNKNOWN,Mango,604,mango.com,FASHION,,UNKNOWN,,,MANGO,wikidata,,PENDING
248,cmtk29nb80m1dnv2bg5xl385h,569,UNKNOWN,Sandro,557,sandro-paris.com,FASHION,,UNKNOWN,,SMCP,SANDRO,manual,,PENDING
0,cmtrt7ar82tvhpg5md2ogtmho,545,UNKNOWN,MANGO MNG,545,,FASHION,,UNKNOWN,,,MANGO_MNG,,,PENDING
107,cmtk26ge70hulnv2b0qav4amw,523,UNKNOWN,Normal,487,normal.eu,RETAIL,,UNKNOWN,,,NORMAL,source-careers,,PENDING
11,cmtm7ezsb0xitpv5jwefmjxlg,512,UNKNOWN,Crocs,486,crocs.com,RETAIL,,UNKNOWN,,,CROCS,source-careers,,PENDING
282,cmtk48e6r1bu9ny2bxbq8un50,495,UNKNOWN,Christian Dior Couture,485,dior.com,FASHION,,UNKNOWN,,LVMH,DIOR,manual,,PENDING
0,cmtpxurht00063nxck320zx3t,483,UNKNOWN,Champs Sports,483,champssports.com,RETAIL,,UNKNOWN,,,CHAMPS_SPORTS,manual,,PENDING
0,cmtk273yh0j80nv2bcgx4xvzg,478,UNKNOWN,Luxe Talent,478,luxetalent.fr,RECRUITER,,UNKNOWN,,,LUXE_TALENT,manual,,PENDING
95,cmtk4xpoe1ryyny2b4n2dj391,479,UNKNOWN,Lacoste,460,lacoste.com,FASHION,,UNKNOWN,,,LACOSTE,source-careers,,PENDING
10,cmtk48dyr1brmny2bmqymom3o,441,UNKNOWN,Tiffany & Co.,436,tiffany.com,JEWELRY_WATCHES,,UNKNOWN,,LVMH,TIFFANY,wikidata,,PENDING
0,cmtpxur2b00003nxcmcnc6054,429,UNKNOWN,Kids Foot Locker,429,footlocker.com,RETAIL,,UNKNOWN,,,KIDS_FOOT_LOCKER,manual,,PENDING
302,cmtjvn7mp0000ld2bc3dm4w94,460,UNKNOWN,Groupe Courir,425,courir.com,RETAIL,,UNKNOWN,,,COURIR,manual,,PENDING
