id,title,countryCode,isFrance,city,location,url,externalId,source,postedAt,firstSeenAt,lastSeenAt,validThrough,jobFunction,seniority,canonicalSourceKey,description_hash,description_length,company
cmtk1x7ep00mynv2b1el1hv8l,Gestionnaire Systèmes d'Informations (H/F),CH,False,Saint-Imier,"Saint-Imier, CH",https://careers.patek.com/job/Saint-Imier-Gestionnaire-Syst%C3%A8mes-d&amp;apos;Informations-%28HF%29/1358617755/,1358617755,SUCCESSFACTORS,2026-08-23T02:00:00,2026-09-02T12:07:30.242,2026-09-06T13:12:14.124,2026-09-06T22:00:00,hr-talent,MID,,15d81cd244c3b246e19fa58a42075c57,2358,Patek Philippe
cmtk1x7jh00ninv2b33p7wx18,Responsable d'Atelier Assemblage Séquentiel (H/F),CH,False,Plan-les-Ouates,"Plan-Les-Ouates, CH",https://careers.patek.com/job/Plan-Les-Ouates-Responsable-d&amp;apos;Atelier-Assemblage-S%C3%A9quentiel-%28HF%29/1360288355/,1360288355,SUCCESSFACTORS,2026-08-11T02:00:00,2026-09-02T12:07:30.413,2026-09-06T13:12:14.168,2026-09-06T22:00:00,atelier-craft,MANAGER,,83ebee103e3538c730bb4886aeca9ca1,1537,Patek Philippe
cmtk20ok107vonv2bdxgagbz1,"Engineer I, Security Operations",IN,False,Dlf,"DLF Downtown1, Chennai, IN",https://condenast.wd115.myworkdayjobs.com/CondeCareers/job/DLF-Downtown1-Chennai-IN/Engineer-I--Security-Operations_R-24576,Engineer-I--Security-Operations_R-24576,WORKDAY,2026-08-13T00:00:00,2026-09-02T12:10:12.434,2026-09-06T13:15:21.414,2026-09-08T00:00:00,it-data,MID,,c7e64cab85ac3dd6a65045657ae5e252,4721,Condé Nast
cmtk22ssf0bqznv2bn7j7d6ei,Coach de ventas Interzonas Multimarca,ES,False,Espagne - Reseau,Spain - Networks,https://pierrefabre.wd3.myworkdayjobs.com/External_Career_Site/job/Spain---Networks/Coach-de-ventas-Interzonas-Multimarca_JR113741,Coach-de-ventas-Interzonas-Multimarca_JR113741,WORKDAY,2026-08-24T00:00:00,2026-09-02T12:11:51.231,2026-09-06T13:16:31.08,2026-09-07T00:00:00,retail-client-advisor,MID,,51e3b8298a18e35317500b1ada278927,2718,Pierre Fabre
cmtk239v30cpknv2bto4mcy8s,Stage - Développement Produit Prêt-À-Porter (H/F) - Octobre 2026,FR,True,Paris,"Paris, FR",https://jobs.puig.com/job/Paris-Stage-D%C3%A9veloppement-Produit-Pr%C3%AAt-%C3%80-Porter-%28HF%29-Octobre-2026/1402537933/,1402537933,SUCCESSFACTORS,2026-09-04T02:00:00,2026-09-02T12:12:13.359,2026-09-06T13:16:39.954,2026-09-06T22:00:00,product-development-rd,,,75c2613c3ad2e165f2463e779823e38b,1618,JEAN PAUL GAULTIER
cmtk2abeb0p10nv2b0nq0e1pj,CDD - Charge(e) de Recouvrement Des Ijss H/F,FR,True,Pantin,"PANTIN, 93500",https://www.welcometothejungle.com/fr/companies/hermes/jobs/cdd-charge-e-de-recouvrement-des-ijss-h-f_pantin,3168a930-8092-437d-8cf3-ece2b0d83707,WTTJ,2026-09-04T12:22:50,2026-09-02T12:17:41.939,2026-09-06T15:32:53.743,2026-09-06T22:00:00,finance,MID,,38e2a18068393ab1deb53265b7f5e789,19235,Hermès
cmtk3fqyx0q77ny2bk516s69p,Beauty confidant ECI,ES,False,Valencia,Valencia,https://cc.wd3.myworkdayjobs.com/ChanelCareers/job/Valencia/Beauty-confidant-ECI_JOBREQ00116491-1,Beauty-confidant-ECI_JOBREQ00116491-1,WORKDAY,2026-09-01T00:00:00,2026-09-02T12:49:55.018,2026-09-06T13:27:13.044,2026-09-08T00:00:00,beauty-advisor,MID,,6cafaf97c4b066368a45c5f31d79105f,2700,Parfums Chanel
cmtk3fr0s0q87ny2bu4q3td6r,Beauty confidant ECI,ES,False,Granada,Granada,https://cc.wd3.myworkdayjobs.com/ChanelCareers/job/Granada/Beauty-confidant-ECI_JOBREQ00116492,Beauty-confidant-ECI_JOBREQ00116492,WORKDAY,2026-09-01T00:00:00,2026-09-02T12:49:55.085,2026-09-06T13:27:13.102,2026-09-08T00:00:00,beauty-advisor,MID,,6cafaf97c4b066368a45c5f31d79105f,2700,Parfums Chanel
cmtk3fsc10qp6ny2beunk5rix,Boutique Seasonal Support,AU,False,Sydney,SYDNEY,https://cc.wd3.myworkdayjobs.com/ChanelCareers/job/SYDNEY/Fashion-Advisor_JOBREQ00115826,Fashion-Advisor_JOBREQ00115826,WORKDAY,2026-08-24T00:00:00,2026-09-02T12:49:56.786,2026-09-06T13:27:14.313,2026-09-08T00:00:00,,MID,,f1fe46d03115608dd9a847fc7a2b7e8d,2817,Parfums Chanel
cmtk3fsgx0qreny2b9013xr8e,Accounts Payable Specialist (Maternity Cover),ES,False,Madrid,Madrid,https://cc.wd3.myworkdayjobs.com/ChanelCareers/job/Madrid/Accounts-Payable-Specialist--Maternity-Cover-_JOBREQ00116187,Accounts-Payable-Specialist--Maternity-Cover-_JOBREQ00116187,WORKDAY,2026-08-21T00:00:00,2026-09-02T12:49:56.962,2026-09-06T13:27:14.402,2026-09-07T00:00:00,finance,MID,,aea2b28377c8eb1d1272700dcf34044c,5888,Parfums Chanel
cmtkoe3km01dcmr2b59mwzga3,IT Financial Analyst,IT,False,Milan,"Milano, IT",https://jobs.valentino.com/job/Milano-IT-Financial-Analyst/1412986033/,1412986033,SUCCESSFACTORS,2026-09-04T02:00:00,2026-09-02T22:36:29.974,2026-09-07T22:02:36.691,2026-09-07T22:00:00,finance,MID,,74fb52af31885d9406935454a2c43673,4400,Valentino
cmtlv81rc06m53nk5mcjmfpa6,Senior Client Advisor,SG,False,Singapour,"Singapore, SG",https://jobs.valentino.com/job/Singapore-Senior-Client-Advisor/1424157133/,1424157133,SUCCESSFACTORS,2026-09-05T02:00:00,2026-09-03T08:38:30.064,2026-09-06T13:12:56.602,2026-09-06T16:00:00,retail-client-advisor,SENIOR,,45e6ce472f9368a5213db340162bb2b0,3674,Valentino
cmtlvcm7508sj3nk5bhkeu8ag,Beauty Advisor,AU,False,Western Australia,Western Australia,https://cc.wd3.myworkdayjobs.com/ChanelCareers/job/Western-Australia/Skincare-Specialist_JOBREQ00108897-1,Skincare-Specialist_JOBREQ00108897-1,WORKDAY,2026-08-21T00:00:00,2026-09-02T12:49:57.043,2026-09-06T13:27:14.473,2026-09-08T00:00:00,beauty-advisor,MID,,7b4d83df17ba13624ec486569dc701a3,5010,Parfums Chanel
