nom,preuve_reference,rapprochement,entites_base,ids_base,offres_sous_ces_identites
ACNE STUDIOS,https://www.fhcm.paris/fr/maison/acne-studios,EXACT_NORMALISE,Acne Studios,cmtpivor3076wpf5l7m081zui,30
ADELINE ANDRÉ,https://www.fhcm.paris/fr/maison/adeline-andre,NON_RETROUVE,,,0
AGNES B.,https://www.fhcm.paris/fr/maison/agnes-b,EXACT_NORMALISE,AGNÈS B.,cmtkdvuel1rnnnf2ba6k0ky9j,1
AKRIS,https://www.fhcm.paris/fr/maison/akris,NON_RETROUVE,,,0
ALEXIS MABILLE,https://www.fhcm.paris/fr/maison/alexis-mabille,NON_RETROUVE,,,0
ALTUZARRA,https://www.fhcm.paris/fr/maison/altuzarra,NON_RETROUVE,,,0
Ami Paris,https://www.fhcm.paris/fr/maison/ami-paris,EXACT_NORMALISE,AMI PARIS,cmtk1xawc00zknv2b2dybtlb7,21
AMIRI,https://www.fhcm.paris/fr/maison/amiri,EXACT_NORMALISE,AMIRI,cmtk1xpzv01vonv2bzmxjc610,41
ANN DEMEULEMEESTER,https://www.fhcm.paris/fr/maison/ann-demeulemeester,NON_RETROUVE,,,0
ATLEIN,https://www.fhcm.paris/fr/maison/atlein,NON_RETROUVE,,,0
BALENCIAGA,https://www.fhcm.paris/fr/maison/balenciaga,EXACT_NORMALISE,Balenciaga,cmtpukur529bgl35m0lsirz9b,139
BALMAIN,https://www.fhcm.paris/fr/maison/balmain,EXACT_NORMALISE,BALMAIN,cmtkdvumn1rqynf2bxg2eyo0q,30
BARBARA BUI,https://www.fhcm.paris/fr/maison/barbara-bui,EXACT_NORMALISE,BARBARA BUI,cmtkdw20z1tzdnf2brufdm9gd,0
BERLUTI,https://www.fhcm.paris/fr/maison/berluti,EXACT_NORMALISE,Berluti,cmtk48ek71bzkny2b9rs9hzev,34
CARVEN,https://www.fhcm.paris/fr/maison/carven,EXACT_NORMALISE,CARVEN,cmtpw96hg4k4dl35mhmmk4slt,1
CELINE,https://www.fhcm.paris/fr/maison/celine,EXACT_NORMALISE,Celine,cmtk48eib1bytny2b0aeiqprm,143
CERRUTI 1881,https://www.fhcm.paris/fr/maison/cerruti-1881,NON_RETROUVE,,,0
CHANEL,https://www.fhcm.paris/fr/maison/chanel,POSSIBLE_A_REVOIR,Parfums Chanel,cmtk3fqsl0q3vny2brbrpo8tx,1117
CHLOÉ,https://www.fhcm.paris/fr/maison/chloe,EXACT_NORMALISE,Chloe,cmtkdvutp1ru9nf2bbqeq9stw,25
CHRISTIAN DIOR,https://www.fhcm.paris/fr/maison/christian-dior,POSSIBLE_A_REVOIR,Christian Dior Couture | Parfums Christian Dior,cmtk48e6r1bu9ny2bxbq8un50 | cmtk48ead1bvtny2br5o6wk5j,738
CHRISTIAN WIJNANTS,https://www.fhcm.paris/fr/maison/christian-wijnants,NON_RETROUVE,,,0
COURREGES,https://www.fhcm.paris/fr/maison/courreges,POSSIBLE_A_REVOIR,COURREGES DISTRIBUTION,cmtkdw2b81u3bnf2bzkhmrt75,0
DICE KAYEK,https://www.fhcm.paris/fr/maison/dice-kayek,NON_RETROUVE,,,0
DRIES VAN NOTEN,https://www.fhcm.paris/fr/maison/dries-van-noten,NON_RETROUVE,,,0
ELIE SAAB,https://www.fhcm.paris/fr/maison/elie-saab,NON_RETROUVE,,,0
EMANUEL UNGARO,https://www.fhcm.paris/fr/maison/emanuel-ungaro,NON_RETROUVE,,,0
ÉTUDES STUDIO,https://www.fhcm.paris/fr/maison/etudes-studio,NON_RETROUVE,,,0
FENDI,https://www.fhcm.paris/fr/maison/fendi,EXACT_NORMALISE,Fendi,cmtk48gbl1cqxny2basnh2vl5,93
FRANCESCO SMALTO,https://www.fhcm.paris/fr/maison/francesco-smalto,NON_RETROUVE,,,0
FRANCK SORBIER,https://www.fhcm.paris/fr/maison/franck-sorbier,NON_RETROUVE,,,0
GAUCHERE,https://www.fhcm.paris/fr/maison/gauchere,NON_RETROUVE,,,0
GIAMBATTISTA VALLI,https://www.fhcm.paris/fr/maison/giambattista-valli,NON_RETROUVE,,,0
GIORGIO ARMANI PRIVÉ,https://www.fhcm.paris/fr/maison/giorgio-armani-prive,NON_RETROUVE,,,0
GIVENCHY,https://www.fhcm.paris/fr/maison/givenchy,EXACT_NORMALISE,Givenchy,cmtk48iq11dpqny2bwfo36lp2,24
GRÈS,https://www.fhcm.paris/fr/maison/gres,NON_RETROUVE,,,0
GUY LAROCHE,https://www.fhcm.paris/fr/maison/guy-laroche,NON_RETROUVE,,,0
