jobId,titre_canonique,pays_canonique,url_canonique,sources
cmtk48pde1fqxny2b25hrrukm,Client Advisor - St. Louis (Plaza Frontenac),US,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/62441,"[{""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/62441"", ""jobId"": ""cmtk48pde1fqxny2b25hrrukm"", ""title"": ""Client Advisor - St. Louis (Plaza Frontenac)"", ""isActive"": true, ""postedAt"": null, ""sourceKey"": ""lvmh"", ""externalId"": ""62441"", ""lastSeenAt"": ""2026-09-07T22:28:07.935"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-02T13:12:25.971""}, {""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63460"", ""jobId"": ""cmtk48pde1fqxny2b25hrrukm"", ""title"": ""Client Advisor, Temporary - St. Louis (Plaza Frontenac)"", ""isActive"": true, ""postedAt"": ""2026-07-22T19:55:09"", ""sourceKey"": ""tiffany-oracle"", ""externalId"": ""63460"", ""lastSeenAt"": ""2026-09-07T22:08:30.391"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-06T08:08:03.241""}]"
cmtk48j4e1dw6ny2bdchietsk,"Client Advisor, Contact Center - Seasonal",US,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63713,"[{""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63713"", ""jobId"": ""cmtk48j4e1dw6ny2bdchietsk"", ""title"": ""Client Advisor, Contact Center - Seasonal"", ""isActive"": true, ""postedAt"": null, ""sourceKey"": ""lvmh"", ""externalId"": ""63713"", ""lastSeenAt"": ""2026-09-07T22:28:02.398"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-02T13:12:17.871""}, {""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/61893"", ""jobId"": ""cmtk48j4e1dw6ny2bdchietsk"", ""title"": ""Client Advisor, Contact Center Night Shift (Temp to Perm)"", ""isActive"": true, ""postedAt"": ""2025-09-11T18:51:43"", ""sourceKey"": ""tiffany-oracle"", ""externalId"": ""61893"", ""lastSeenAt"": ""2026-09-07T22:08:28.443"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-06T08:07:58.81""}]"
cmtk495nl1j2wny2b62johe4v,Banco de Talentos | Client Advisor Cidade Jardim,BR,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63545,"[{""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63545"", ""jobId"": ""cmtk495nl1j2wny2b62johe4v"", ""title"": ""Banco de Talentos | Client Advisor Cidade Jardim"", ""isActive"": true, ""postedAt"": null, ""sourceKey"": ""lvmh"", ""externalId"": ""63545"", ""lastSeenAt"": ""2026-09-07T22:28:21.096"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-02T13:12:47.073""}, {""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/62761"", ""jobId"": ""cmtk495nl1j2wny2b62johe4v"", ""title"": ""Banco de Talentos | Client Advisor São Paulo"", ""isActive"": true, ""postedAt"": ""2026-03-10T19:17:30"", ""sourceKey"": ""tiffany-oracle"", ""externalId"": ""62761"", ""lastSeenAt"": ""2026-09-07T22:08:29.031"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-06T08:07:59.966""}]"
cmtlvfkmh0adb3nk509l811lq,Client Advisor - Wailea,US,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63681,"[{""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63681"", ""jobId"": ""cmtlvfkmh0adb3nk509l811lq"", ""title"": ""Client Advisor - Wailea"", ""isActive"": true, ""postedAt"": null, ""sourceKey"": ""lvmh"", ""externalId"": ""63681"", ""lastSeenAt"": ""2026-09-07T22:28:06.543"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-02T13:12:23.834""}, {""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63683"", ""jobId"": ""cmtlvfkmh0adb3nk509l811lq"", ""title"": ""Client Advisor - Wailea"", ""isActive"": true, ""postedAt"": ""2026-08-25T20:20:56"", ""sourceKey"": ""tiffany-oracle"", ""externalId"": ""63683"", ""lastSeenAt"": ""2026-09-07T22:08:27.64"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-06T08:07:57.12""}]"
cmtope7h62n3yqq4zku1rs2gt,Client Advisor - Fort Worth,US,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63749,"[{""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63749"", ""jobId"": ""cmtope7h62n3yqq4zku1rs2gt"", ""title"": ""Client Advisor - Fort Worth"", ""isActive"": true, ""postedAt"": ""2026-09-05T17:18:21"", ""sourceKey"": ""lvmh"", ""externalId"": ""63749"", ""lastSeenAt"": ""2026-09-07T22:27:50.277"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-05T18:15:39.354""}, {""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63592"", ""jobId"": ""cmtope7h62n3yqq4zku1rs2gt"", ""title"": ""Client Advisor - Fort Worth"", ""isActive"": true, ""postedAt"": ""2026-08-18T20:31:13"", ""sourceKey"": ""tiffany-oracle"", ""externalId"": ""63592"", ""lastSeenAt"": ""2026-09-07T22:08:31.117"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-06T08:08:05.025""}]"
cmtlvgh1g0au53nk5t1xkgf26,"Client Advisor - La Jolla, UTC (Mandarin Speaker)",US,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63444,"[{""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63444"", ""jobId"": ""cmtlvgh1g0au53nk5t1xkgf26"", ""title"": ""Client Advisor - La Jolla, UTC (Mandarin Speaker)"", ""isActive"": true, ""postedAt"": null, ""sourceKey"": ""lvmh"", ""externalId"": ""63444"", ""lastSeenAt"": ""2026-09-07T22:28:31.719"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-02T13:13:04.816""}, {""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/61360"", ""jobId"": ""cmtlvgh1g0au53nk5t1xkgf26"", ""title"": ""Client Advisor- La Jolla, UTC"", ""isActive"": true, ""postedAt"": ""2025-11-18T15:10:17"", ""sourceKey"": ""tiffany-oracle"", ""externalId"": ""61360"", ""lastSeenAt"": ""2026-09-07T22:08:28.247"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-06T08:07:58.481""}]"
cmtk48s5j1gj1ny2b5cxpxoc3,"Client Advisor, Full-Time, Yorkdale",CA,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/62928,"[{""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/62928"", ""jobId"": ""cmtk48s5j1gj1ny2b5cxpxoc3"", ""title"": ""Client Advisor, Full-Time, Yorkdale"", ""isActive"": true, ""postedAt"": null, ""sourceKey"": ""lvmh"", ""externalId"": ""62928"", ""lastSeenAt"": ""2026-09-07T22:28:10.397"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-02T13:12:29.575""}, {""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63537"", ""jobId"": ""cmtk48s5j1gj1ny2b5cxpxoc3"", ""title"": ""Client Advisor Contact Centre, Full-Time, Toronto Bloor Street"", ""isActive"": true, ""postedAt"": ""2026-08-06T19:22:38"", ""sourceKey"": ""tiffany-oracle"", ""externalId"": ""63537"", ""lastSeenAt"": ""2026-09-07T22:08:30.76"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-06T08:08:04.087""}]"
cmtk48p8o1fozny2by5hxwepm,Store Manager - Istanbul,TR,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63646,"[{""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63646"", ""jobId"": ""cmtk48p8o1fozny2by5hxwepm"", ""title"": ""Store Manager - Istanbul"", ""isActive"": true, ""postedAt"": null, ""sourceKey"": ""lvmh"", ""externalId"": ""63646"", ""lastSeenAt"": ""2026-09-07T22:28:07.792"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-02T13:12:25.801""}, {""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63254"", ""jobId"": ""cmtk48p8o1fozny2by5hxwepm"", ""title"": ""Team Manager (Assistant Store Manager) | Istanbul Istinye Park"", ""isActive"": true, ""postedAt"": ""2026-06-16T09:53:55"", ""sourceKey"": ""tiffany-oracle"", ""externalId"": ""63254"", ""lastSeenAt"": ""2026-09-07T22:08:29.747"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-06T08:08:01.771""}]"
cmtlvfnim0aer3nk5gzq9cltj,Team Manager (Assistant Store Manager) | Istanbul Istinye Park,TR,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63254,"[{""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63254"", ""jobId"": ""cmtlvfnim0aer3nk5gzq9cltj"", ""title"": ""Team Manager (Assistant Store Manager) | Istanbul Istinye Park"", ""isActive"": true, ""postedAt"": null, ""sourceKey"": ""lvmh"", ""externalId"": ""63254"", ""lastSeenAt"": ""2026-09-07T22:28:37.813"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-02T13:13:18.821""}, {""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63646"", ""jobId"": ""cmtlvfnim0aer3nk5gzq9cltj"", ""title"": ""Store Manager - Istanbul"", ""isActive"": true, ""postedAt"": ""2026-08-24T18:36:51"", ""sourceKey"": ""tiffany-oracle"", ""externalId"": ""63646"", ""lastSeenAt"": ""2026-09-07T22:08:27.319"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-06T08:07:56.532""}]"
cmtlvh5t30b853nk5g8xgjgjy,Client Advisor-Rockefeller Center (Mandarin Speaker),US,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/60969,"[{""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/60969"", ""jobId"": ""cmtlvh5t30b853nk5g8xgjgjy"", ""title"": ""Client Advisor-Rockefeller Center (Mandarin Speaker)"", ""isActive"": true, ""postedAt"": null, ""sourceKey"": ""lvmh"", ""externalId"": ""60969"", ""lastSeenAt"": ""2026-09-07T22:28:39.44"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-02T13:13:21.307""}, {""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/59606"", ""jobId"": ""cmtlvh5t30b853nk5g8xgjgjy"", ""title"": ""Client Advisor-Manhasset"", ""isActive"": true, ""postedAt"": ""2026-06-02T13:37:03"", ""sourceKey"": ""tiffany-oracle"", ""externalId"": ""59606"", ""lastSeenAt"": ""2026-09-07T22:08:28.037"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-06T08:07:58.017""}]"
