id,title,countryCode,isFrance,city,location,url,externalId,source,postedAt,firstSeenAt,lastSeenAt,validThrough,jobFunction,seniority,canonicalSourceKey,description_hash,description_length,company,raw
cmtk1x4i600fynv2b6ag3uwxx,CDI - Sales Developer / Delegado Comercial - Canal Farmacias - Erborian,ES,False,Paris,"Paris, Île-, ES",https://careers-group.loccitane.com/job/Paris-CDI-Sales-Developer-Delegado-Comercial-Canal-Farmacias-Erborian-%C3%8Ele/1419103933/,1419103933,SUCCESSFACTORS,2026-08-25T02:00:00,2026-09-02T12:07:26.479,2026-09-07T22:02:00.719,,retail-client-advisor,MID,,17cf50f0c6b97b9df08827f782968247,3847,L’Occitane en Provence,"{'country': None, 'location': None, 'locations': None, 'datePosted': None, 'postedDate': None, 'countryCode': None, 'jobLocation': None}"
cmtk235200c9fnv2bzqf3clxv,Key Account Manager Beauty Intern (M/W),BE,False,Paris,"Paris, BE",https://jobs.puig.com/job/Paris-Key-Account-Manager-Beauty-Intern-%28MW%29/1431176833/,1431176833,SUCCESSFACTORS,2026-08-27T00:00:00,2026-09-02T12:12:07.129,2026-09-07T22:06:10.784,2026-12-23T23:00:00,wholesale-b2b,,,08ac655a0023fe12dc2d302d393cf1a4,2094,JEAN PAUL GAULTIER,"{'country': None, 'location': None, 'locations': None, 'datePosted': None, 'postedDate': None, 'countryCode': None, 'jobLocation': None}"
cmtke30h300uplp2bnjst00d4,2026-936 - CDD - Conseiller.e de Vente 14h - La Vallée Village H/F,,False,Serris,"CDD Part Time Sales, Serris",https://balmain-career.talent-soft.com/Pages/Offre/detailoffre.aspx?idOffre=936&idOrigine=502&LCID=1036,936,TALENTSOFT,2026-08-27T22:16:00,2026-09-02T17:47:56.583,2026-09-07T22:02:14.177,,retail-client-advisor,MID,,69b18906cce609d34dde272c280e2190,1751,BALMAIN,"{'country': None, 'location': None, 'locations': None, 'datePosted': None, 'postedDate': None, 'countryCode': None, 'jobLocation': None}"
cmtke31md00wklp2bdmaejzv7,2026-2810 - Directeur Adjoint - Boutique Marne-la-Vallée H/F,,False,Serris,SERRIS,https://longchamp-career.talent-soft.com/Pages/Offre/detailoffre.aspx?idOffre=2810&idOrigine=502&LCID=1036,2810,TALENTSOFT,2026-09-01T22:00:47,2026-09-02T17:47:58.07,2026-09-07T22:02:16.625,,retail-store-management,DIRECTOR,,e12d87a41c42782a0eb211166011bec7,4813,Longchamp,"{'country': None, 'location': None, 'locations': None, 'datePosted': None, 'postedDate': None, 'countryCode': None, 'jobLocation': None}"
cmtke336f011zlp2bjqs9500d,2026-2513 - Vendeur(se) / Conseiller(ère) de vente - CHANTELLE Val d'Europe - CDI 35H H/F,,False,Serris,serris,https://groupechantelle-recrute.talent-soft.com/Pages/Offre/detailoffre.aspx?idOffre=2513&idOrigine=502&LCID=1036&offerReference=2026-2513,2513,TALENTSOFT,2026-08-27T09:18:29,2026-09-02T17:48:00.087,2026-09-07T22:02:15.516,,retail-client-advisor,MID,,060fb783ae773d2da8a8450ebf205219,1848,Groupe Chantelle,"{'country': None, 'location': None, 'locations': None, 'datePosted': None, 'postedDate': None, 'countryCode': None, 'jobLocation': None}"
cmtlykpbw0awmqf5kszwt211x,CONSEILLER(E) DE VENTE H/F ROUBAIX - TPS PARTIEL 8h,,False,Roubaix,ROUBAIX,https://job-boards.greenhouse.io/dim/jobs/8055414,8055414,GREENHOUSE,2026-07-10T15:48:37,2026-09-03T20:09:20.444,2026-09-07T22:02:48.303,,retail-client-advisor,MID,,123ca0e1c1fb10acc4b4286be594f3e7,2674,Dim,"{'country': None, 'location': {'name': 'ROUBAIX'}, 'locations': None, 'datePosted': None, 'postedDate': None, 'countryCode': None, 'jobLocation': None}"
cmtm77zpb0kzmpv5jwdcjrii9,Commercial Lead (Dutch-Speaking),,False,Amsterdam,Amsterdam; Paris; London,https://job-boards.greenhouse.io/via/jobs/8498025002,8498025002,GREENHOUSE,2026-04-10T12:59:30,2026-09-04T00:11:23.904,2026-09-07T22:05:04.372,,wholesale-b2b,SENIOR,,a40a07b9d01c6c432d86b1e9bb3ca91b,3835,VIA,"{'country': None, 'location': {'name': 'Amsterdam; Paris; London'}, 'locations': None, 'datePosted': None, 'postedDate': None, 'countryCode': None, 'jobLocation': None}"
cmtmwuqnb0fbyso4zf7upcckh,Application Security Expert,CH,False,Vd,"Route de France 16, VD, ch",https://jobs.smartrecruiters.com/audemarspiguet/744000147489127,744000147489127,SMARTRECRUITERS,2026-09-04T11:44:58.821,2026-09-04T12:08:55.655,2026-09-07T22:03:58.656,,,MID,,a3d9670b8a9e26e6b589e640cba470d5,3956,Audemars Piguet,"{'country': None, 'location': {'city': 'Route de France 16', 'hybrid': True, 'region': 'VD', 'remote': False, 'country': 'ch', 'postalCode': '1348', 'fullLocation': 'Route de France 16, VD, Switzerland'}, 'locations': None, 'datePosted': None, 'postedDate': None, 'countryCode': None, 'jobLocation': None}"
cmtpj23y513evpf5l58p2vq61,Estheticien F/H,,False,Brice-sous-Foret,"ST-BRICE-SOUS-FORET, 95350, Île-de-France",https://recrutement-nocibe.fr/front-jobs-detail.html?id_job=5764&id_origin=0,5764,EQWA,2026-06-29T00:00:00,2026-09-06T08:06:03.39,2026-09-07T22:06:45.587,,beauty-advisor,MID,,bfd5b70f885bf1f238270aa6a741fd5f,2914,Nocibé,"{'country': None, 'location': None, 'locations': None, 'datePosted': None, 'postedDate': None, 'countryCode': None, 'jobLocation': None}"
cmtpj23yp13ezpf5lljcum8zt,Estheticien F/H,,False,Brice-sous-Foret,"ST-BRICE-SOUS-FORET, 95350, Île-de-France",https://recrutement-nocibe.fr/front-jobs-detail.html?id_job=5765&id_origin=0,5765,EQWA,2026-06-29T00:00:00,2026-09-06T08:06:03.41,2026-09-07T22:06:45.596,,beauty-advisor,MID,,07ac4c9b8451c81f5e1df9d1c13cd534,2921,Nocibé,"{'country': None, 'location': None, 'locations': None, 'datePosted': None, 'postedDate': None, 'countryCode': None, 'jobLocation': None}"
