n,flag_fr,stale48h,countryCode,function_present
30423,0,408,US,29623
9639,9636,697,FR,9208
4754,0,182,,3631
2808,0,161,GB,2639
2683,0,132,DE,2487
2655,0,110,CA,2493
2335,0,114,IT,2122
2022,0,79,ES,1805
1679,0,51,NL,1516
1171,0,28,CN,1024
1163,0,50,AU,1093
1061,0,24,CH,819
575,0,20,BE,520
524,0,24,IN,495
519,0,12,JP,380
496,0,29,KR,463
433,0,26,PT,412
414,0,35,MX,363
388,0,16,SG,380
352,0,21,DK,292
334,0,9,HK,311
322,0,12,PL,280
305,0,23,SE,260
305,0,19,AT,288
263,0,18,TH,237
254,0,8,TR,201
252,0,23,IE,236
247,0,21,MY,235
232,0,3,AE,222
217,0,8,BR,153
196,0,5,NO,188
179,0,1,CL,164
169,0,2,GR,130
163,0,6,TW,149
153,0,11,ZA,120
138,0,2,NZ,128
130,0,2,VN,114
115,0,16,CZ,67
111,0,2,CO,87
110,0,5,SA,99
98,0,4,RO,83
94,0,2,HU,53
86,0,2,IL,79
75,0,0,MO,65
63,0,0,PR,63
57,0,1,PE,56
53,0,1,MA,51
51,0,1,ID,47
48,0,0,PH,48
47,0,0,LU,43
37,0,2,AR,35
36,0,1,MC,33
36,0,5,FI,18
34,0,2,EG,25
34,0,1,HR,22
31,0,0,PA,29
31,0,4,BG,7
27,0,0,VA,23
22,0,6,SK,7
22,0,2,LT,9
20,0,0,UK,18
20,0,0,GA,19
20,0,1,KY,13
20,0,0,AZ,20
18,0,1,TN,17
18,0,0,MD,16
16,0,0,MN,12
15,0,0,SC,15
15,0,1,BH,13
15,0,0,AL,14
15,0,0,NC,15
10,0,0,QA,10
9,0,0,SI,6
8,0,0,KH,7
8,0,0,PK,7
8,0,0,UA,2
7,0,0,SD,7
7,0,0,RU,6
6,0,0,LV,1
6,0,0,NE,6
6,0,0,VI,6
6,0,0,RS,0
6,0,0,GG,5
5,0,0,LA,5
5,0,0,MV,5
5,0,0,KZ,2
5,0,0,AD,5
4,0,0,LS,3
4,0,0,JO,4
3,0,0,XK,0
3,0,0,LB,3
3,0,0,JE,2
3,0,0,SZ,3
3,0,0,YU,2
3,0,0,NH,3
3,0,0,BD,1
2,0,0,BS,1
2,0,0,NA,2
2,0,0,GE,1
2,0,0,OM,1
2,0,0,EE,1
2,0,0,DO,2
2,0,1,BA,1
2,0,1,UY,2
2,0,0,KW,1
2,0,0,MT,2
1,0,0,ST,1
1,0,0,CY,1
1,0,0,EC,1
1,0,0,AM,0
1,0,0,MF,1
1,0,0,IM,1
1,0,0,KE,1
1,0,1,MK,1
1,0,0,GD,0
1,0,0,GU,1
1,0,0,MU,1
1,0,0,NG,0
1,0,0,AW,1
1,0,1,BL,1
1,0,0,JM,1
1,0,0,CR,1
1,0,0,ME,1
