sourceKey,label_catalogue,status_catalogue,adaptateur,tier_declare,tenantKey,domaine_carriere,config_publique,offres_actives,offres_FR_canonique,a_revoir_union_sans_double_compte,sans_pays,sans_reobservation_48h,validThrough_passe,fusions_oracle,mauvaise_marque_SMCP,homonymes_hors_secteur,copies_meme_page,dernier_run,statut_run,run_complet,peut_attester_absence,jobs_run,total_declare,robots_verdict,note_run
boots,Boots,ACTIVE,generic-listing,EMPLOYER_DIRECT,generic-listing:www.boots.jobs/sitemap_index.xml,www.boots.jobs,"{""sitemapUrl"": ""https://www.boots.jobs/sitemap_index.xml""}",1506,1,1499,1499,87,0,0,0,0,0,2026-09-07T22:24:11.86,OK,,,1419,,ALLOWED,desc 100% date 100% pays 0% url 100%
l-oreal-professionnel,L’Oréal Professionnel,ACTIVE,avature,EMPLOYER_DIRECT,avature:careers.loreal.com,careers.loreal.com,"{""origin"": ""https://careers.loreal.com"", ""listingUrl"": ""https://careers.loreal.com/en_US/jobs/SearchJobs/?jobOffset=0""}",1804,5,1237,1227,71,0,0,0,0,0,2026-09-08T05:54:40.788,OK,,,1733,,ALLOWED,desc 100% date 100% pays 0% url 100%
luxe-talent,Luxe Talent,ACTIVE,wordpress,SPECIALIST_JOBBOARD,wordpress:www.luxetalent.net,www.luxetalent.net,"{""origin"": ""https://www.luxetalent.net""}",478,0,478,478,0,0,0,0,0,0,2026-09-07T22:08:45.542,OK,,,478,,"ALLOWED (Disallow /wp-admin/ only) — standard WP REST, x-wp-total 478",desc 100% date 100% pays 0% url 100%
fashionjobs,FashionJobs,ACTIVE,fashionjobs,SPECIALIST_JOBBOARD,fashionjobs:fr.fashionjobs.com,fr.fashionjobs.com,null,757,755,364,0,364,1,0,0,0,1,2026-09-07T23:07:25.102,OK,,,286,,"ALLOWED (/emploi/ and /s/ not disallowed) — Cloudflare WAF, browser route",desc 100% date 100% pays 100% url 100%
sandro,Sandro,ACTIVE,smartrecruiters-whitelabel,EMPLOYER_DIRECT,smartrecruiters-whitelabel:smcp,,"{""company"": ""SMCP""}",557,248,275,0,3,0,0,275,0,0,2026-09-07T22:09:27.99,OK,,,554,,ALLOWED,desc 100% date 100% pays 100% url 100%
lvmh,LVMH (toutes Maisons),ACTIVE,lvmh_algolia,EMPLOYER_DIRECT,lvmh_algolia:www.lvmh.com,www.lvmh.com,null,5712,1318,167,0,129,0,38,0,0,0,2026-09-07T22:28:47.289,OK,,,5583,,ALLOWED,desc 100% date 100% pays 100% url 100%
urbn-hub,"URBN (Urban Outfitters, Anthropologie, Free People)",ACTIVE,icims,GROUP_OFFICIAL,icims:hub-urbn.icims.com,hub-urbn.icims.com,"{""origin"": ""https://hub-urbn.icims.com""}",1365,6,164,143,25,0,0,0,0,0,2026-09-07T22:18:57.937,OK,,,1340,,"ALLOWED (autorisation propriétaire — URBN (autorisation obtenue par Loïc), 2026-09-05)",desc 73% date 0% pays 0% url 100%
via,VIA,ACTIVE,greenhouse,ATS_OFFICIAL,greenhouse:via,boards.greenhouse.io,"{""board"": ""via""}",155,2,155,83,1,0,0,0,155,0,2026-09-07T22:05:05.929,OK,,,154,,ALLOWED,desc 100% date 100% pays 0% url 100%
hm-group,H&M Group,ACTIVE,smartrecruiters-whitelabel,GROUP_OFFICIAL,smartrecruiters-whitelabel:hmgroup,careers.smartrecruiters.com,"{""company"": ""HMGroup""}",1761,52,130,0,130,0,0,0,0,0,2026-09-07T22:14:21.497,OK,,,1631,,ALLOWED,desc 100% date 100% pays 100% url 100%
pandora-talenthub,Pandora,ACTIVE,generic-listing,EMPLOYER_DIRECT,generic-listing:careers.pandoragroup.com/fr/jobs/page/{page},careers.pandoragroup.com,"{""listingUrl"": ""https://careers.pandoragroup.com/fr/jobs/page/{page}""}",1922,104,113,52,63,0,0,0,0,0,2026-09-07T22:34:10.537,OK,,,1859,,ALLOWED,desc 100% date 100% pays 92% url 100%
mejuri,Mejuri,ACTIVE,greenhouse,ATS_OFFICIAL,greenhouse:mejuri,boards.greenhouse.io,"{""board"": ""mejuri""}",141,0,109,109,0,0,0,0,0,0,2026-09-07T22:04:42.225,OK,,,141,,ALLOWED,desc 100% date 100% pays 0% url 100%
wttj-sector,Welcome to the Jungle (Mode · Luxe · Beauté),ACTIVE,wttj-sector,SPECIALIST_JOBBOARD,wttj-sector:www.welcometothejungle.com,www.welcometothejungle.com,null,1975,1622,108,0,86,1,0,0,0,22,2026-09-07T22:27:02.925,OK,,,1887,,ALLOWED,desc 100% date 100% pays 100% url 100%
crocs,Crocs,ACTIVE,successfactors,EMPLOYER_DIRECT,successfactors:careers.crocs.com,careers.crocs.com,"{""origin"": ""https://careers.crocs.com""}",486,11,102,8,102,0,0,0,0,0,2026-09-07T22:07:39.683,OK,,,384,,ALLOWED,desc 100% date 100% pays 100% url 100%
ulta-jibe,Ulta Beauty,ACTIVE,jibe,EMPLOYER_DIRECT,jibe:careers.ulta.com,careers.ulta.com,"{""origin"": ""https://careers.ulta.com""}",10052,0,97,0,90,10,0,0,0,0,2026-09-07T22:32:45.196,OK,,,9962,,ALLOWED,desc 100% date 100% pays 100% url 100%
brown-thomas-taleo,Brown Thomas Arnotts,ACTIVE,taleo,ATS_OFFICIAL,taleo:lde.tbe.taleo.net/lde02,lde.tbe.taleo.net,"{""origin"": ""https://lde.tbe.taleo.net/lde02""}",72,0,72,72,5,0,0,0,0,0,2026-09-07T22:03:38.424,OK,,,67,,ALLOWED (no robots.txt reachable),desc 100% date 78% pays 0% url 100%
primark,Primark,ACTIVE,smartrecruiters-whitelabel,ATS_OFFICIAL,smartrecruiters-whitelabel:primark,careers.primark.com,"{""company"": ""Primark""}",929,67,68,0,68,0,0,0,0,0,2026-09-07T22:12:28.746,OK,,,861,,ALLOWED,desc 100% date 100% pays 100% url 100%
