identite,lot,identite_documentee,preuve_identite,groupe_parent,domaine,presence_company,fiches_company,offres_actives,collecte_nouvelle_validee,nouvelle_source_activee,commentaire
Jacquemus,EXTENSION_OU_COUVERTURE,OUI,https://jobs.eu.lever.co/jacquemus,NON_ETABLI,jacquemus.com,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Identité documentée ; validation du connecteur indépendante.
Saint James,EXTENSION_OU_COUVERTURE,OUI,https://fr.saint-james.com/pages/08-notre-equipe,NON_ETABLI,saint-james.com,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Identité documentée ; validation du connecteur indépendante.
Armor-lux,EXTENSION_OU_COUVERTURE,OUI,https://www.armorlux.com/,NON_ETABLI,armorlux.com,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Identité documentée ; validation du connecteur indépendante.
Aesop,EXTENSION_OU_COUVERTURE,OUI,https://www.aesop.fr/careers.html,L’Oréal,aesop.fr,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Identité documentée ; validation du connecteur indépendante.
Rouje,EXTENSION_OU_COUVERTURE,OUI,https://www.rouje.com/pages/marque-employeur,NON_ETABLI,rouje.com,PRESENTE,ROUJE,0,NON,NON,Identité documentée ; validation du connecteur indépendante.
Groupe NOVI,EXTENSION_OU_COUVERTURE,OUI,https://groupe-novi.com/nous-rejoindre/,NON_ETABLI,groupe-novi.com,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Identité documentée ; validation du connecteur indépendante.
L’Atelier du Sourcil,EXTENSION_OU_COUVERTURE,OUI,https://ievagroup.com/atelier-du-sourcil-boudoir-du-regard/,IEVA Group,atelierdusourcil.com,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Identité et groupe confirmés par IEVA et atelierdusourcil.com/pages/notre-univers. La piste NOVI du premier inventaire est rejetée ; portail carrière à qualifier.
Messika,EXTENSION_OU_COUVERTURE,OUI,https://fr.linkedin.com/posts/messika_hiring-messika-activity-7433088582057185280-u-8D,NON_ETABLI,messika.com,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Identité documentée ; validation du connecteur indépendante.
Bon Parfumeur,EXTENSION_OU_COUVERTURE,OUI,https://www.bonparfumeur.com/fr,NON_ETABLI,bonparfumeur.com,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Identité documentée ; validation du connecteur indépendante.
Essential Parfums,EXTENSION_OU_COUVERTURE,OUI,https://us.essentialparfums.com/,NON_ETABLI,essentialparfums.com,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Identité documentée ; validation du connecteur indépendante.
Ex Nihilo,EXTENSION_OU_COUVERTURE,OUI,https://www.ex-nihilo-paris.com/fr/la-maison,NON_ETABLI,ex-nihilo-paris.com,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Identité documentée ; validation du connecteur indépendante.
Maison Crivelli,EXTENSION_OU_COUVERTURE,OUI,https://maisoncrivelli.com/fr-fr/collections,NON_ETABLI,maisoncrivelli.com,NON_RETROUVEE_NOM_CLE_ALIAS,,0,NON,NON,Identité documentée ; validation du connecteur indépendante.
