source,identite_catalogue,employeur_du_portail,offres_actives,preuve_officielle,verifie_le,statut_prod,reparation_prod,trace_gate
via,VIA,"Via, plateforme de mobilité",155,https://job-boards.greenhouse.io/via/jobs/8700271002,2026-09-08,ACTIVE,NON_EFFECTUEE_A_CET_INSTANT,validated-name
ashoka,ASHOKA,"Ashoka, entrepreneuriat social",6,https://jobs.lever.co/ashoka/45d1d066-b9e7-4452-9733-dbe4faf90ba5,2026-09-08,ACTIVE,NON_EFFECTUEE_A_CET_INSTANT,validated-name
coast,Coast,"Coast, cartes de paiement pour flottes",17,https://job-boards.greenhouse.io/coast/jobs/4645584004,2026-09-08,ACTIVE,NON_EFFECTUEE_A_CET_INSTANT,validated-name
blend,Blend,"Blend Labs, logiciels bancaires",9,https://job-boards.greenhouse.io/blend/jobs/6148697004,2026-09-08,ACTIVE,NON_EFFECTUEE_A_CET_INSTANT,validated-name
tala,TALA,"Tala, infrastructure de crédit",8,https://jobs.lever.co/tala/a538a1ca-0b76-46d1-a933-d43dbe7f5c83,2026-09-08,ACTIVE,NON_EFFECTUEE_A_CET_INSTANT,validated-name
ion,ION,"ION Group, logiciels financiers",83,https://jobs.lever.co/ion/82c48e10-8f67-4227-a68c-3fbe3f181389,2026-09-08,ACTIVE,NON_EFFECTUEE_A_CET_INSTANT,validated-name
gate,Gate,"Gate, plateforme de cryptomonnaies",19,https://jobs.lever.co/gate/432e213a-7f09-4a16-9dc0-7bcdf0ffc362,2026-09-08,ACTIVE,NON_EFFECTUEE_A_CET_INSTANT,validated-name
didi,DIDI,"DiDi, conduite autonome",9,https://job-boards.greenhouse.io/didi/jobs/8131863,2026-09-08,ACTIVE,NON_EFFECTUEE_A_CET_INSTANT,validated-name
fay,Fay,"Fay, plateforme de nutrition et santé",2,https://job-boards.greenhouse.io/fay/jobs/5238250008,2026-09-08,ACTIVE,NON_EFFECTUEE_A_CET_INSTANT,validated-name
honor,Honor,"Honor Technology, aide à domicile",15,https://job-boards.greenhouse.io/honor/jobs/8777116002,2026-09-08,ACTIVE,NON_EFFECTUEE_A_CET_INSTANT,validated-name
hone,HONE,"Hone, formation professionnelle",2,https://job-boards.greenhouse.io/hone/jobs/4110121009,2026-09-08,ACTIVE,NON_EFFECTUEE_A_CET_INSTANT,validated-name
cleo,Cleo,"Cleo Communications, intégration logicielle",5,https://job-boards.greenhouse.io/cleo/jobs/4725537005,2026-09-08,ACTIVE,NON_EFFECTUEE_A_CET_INSTANT,validated-name
gridline,Gridline,"Gridline, investissements privés",4,https://jobs.lever.co/gridline/60d566e4-aa74-4b93-a98d-6f5ebe11c98d,2026-09-08,ACTIVE,NON_EFFECTUEE_A_CET_INSTANT,validated-name
novara,Novara,"Novara, logiciels EHS et gestion des risques",6,https://jobs.lever.co/novara/1faa23a2-ce3f-46b2-8714-4f5ccc4c2fa6,2026-09-08,ACTIVE,NON_EFFECTUEE_A_CET_INSTANT,validated-name
sep,SEP,"SEP, ingénierie logicielle",5,https://jobs.lever.co/sep/7b96b0c6-8429-4861-bf69-a00956e42a8d,2026-09-08,ACTIVE,NON_EFFECTUEE_A_CET_INSTANT,validated-name
public,Public,"Public, plateforme d’investissement",4,https://job-boards.greenhouse.io/public/jobs/7982150003,2026-09-08,ACTIVE,NON_EFFECTUEE_A_CET_INSTANT,validated-name
galileo,Galileo,"Galileo, soins médicaux",13,https://job-boards.greenhouse.io/galileo/jobs/8703228002,2026-09-08,ACTIVE,NON_EFFECTUEE_A_CET_INSTANT,validated-name
eclipse,éclipse,"Eclipse Laboratories, blockchain",1,https://job-boards.greenhouse.io/eclipse/jobs/4981191008,2026-09-08,ACTIVE,NON_EFFECTUEE_A_CET_INSTANT,validated-name
seer,Seer,"Seer, protéomique et biotechnologies",3,https://seer.bio/,2026-09-08,ACTIVE,NON_EFFECTUEE_A_CET_INSTANT,validated-name
yes,YES,"YES LLC, installations électriques industrielles",5,https://cjyes.com/,2026-09-08,ACTIVE,NON_EFFECTUEE_A_CET_INSTANT,validated-name
