source,nom_catalogue,tenant,offres_actives,employeurs,trace_gate,nom_archive,note_activation,certification_identite
585-gold,585 Gold,smartrecruiters-whitelabel:585gold,3,1,validated-name,585 Gold,"promu par validation-volume (3 offres, 3 avec lieu)",NON_DEDUITE_DU_STATUT_ACTIVE
abercrombie,Abercrombie & Fitch,smartrecruiters-whitelabel:abercrombieandfitchco,8,1,ARCHIVE_GATE_ABSENTE,,"trouvé manuellement (Loïc, 2026-09-04) — validé 8 offres, 8 avec lieu",NON_DEDUITE_DU_STATUT_ACTIVE
ackermans,Ackermans,teamtailor:careers.ackermans.co.za,3,1,anchored,Ackermans,"promu par validation-volume (4 offres, 4 avec lieu)",NON_DEDUITE_DU_STATUT_ACTIVE
acne-studios-jobylon,Acne Studios,jobylon:emp.jobylon.com,30,1,ARCHIVE_GATE_ABSENTE,,"lot GENERIC 2026-09-06 — validé 27 offres, 27 avec lieu",NON_DEDUITE_DU_STATUT_ACTIVE
a-derma-4,A-Derma +4,workday:pierrefabre/external_career_site,255,1,ARCHIVE_GATE_ABSENTE,,,NON_DEDUITE_DU_STATUT_ACTIVE
adidas,adidas,successfactors:jobs.adidas-group.com,1106,1,ARCHIVE_GATE_ABSENTE,,"trouvé manuellement (Loïc, 2026-09-04) — validé 1056 offres, 1056 avec lieu",NON_DEDUITE_DU_STATUT_ACTIVE
aeropostale,Aéropostale,icims:careers-aeropostale.icims.com,18,1,ARCHIVE_GATE_ABSENTE,,"trouvé manuellement (Loïc, 2026-09-04) — validé 17 offres, 17 avec lieu",NON_DEDUITE_DU_STATUT_ACTIVE
aeyde,aeyde,personio:aeyde,10,1,anchored,aeyde,"promu par validation-volume (10 offres, 10 avec lieu)",NON_DEDUITE_DU_STATUT_ACTIVE
agency,Agency,smartrecruiters-whitelabel:agency,4,1,validated-name,Agency,"promu par validation-volume (4 offres, 4 avec lieu)",NON_DEDUITE_DU_STATUT_ACTIVE
aigle,Aigle,digitalrecruiters:careers.aigle.com,107,1,anchored,Aigle,"promu par validation-volume (104 offres, 104 avec lieu)",NON_DEDUITE_DU_STATUT_ACTIVE
