labels,stage,france_directory_count,candidate_companies,sources,official_portals,observed_links
"INTERSPORT","ACTIVE_SOURCE_CANDIDATE","577","Intersport","intersport:ACTIVE | intersport-france:ACTIVE","https://recrutement.intersport.fr/ | https://recrutement.intersport.fr/",""
"NOCIBÉ","ACTIVE_SOURCE_CANDIDATE","289","Nocibé","nocibe-eqwa:ACTIVE","",""
"CHRISTIAN DIOR COUTURE","ACTIVE_SOURCE_CANDIDATE","271","Christian Dior Couture","lvmh:ACTIVE","",""
"COURIR","ACTIVE_SOURCE_CANDIDATE","192","Groupe Courir","courir:ACTIVE","","https://jobs.courir.com/"
"LTD INTERNATIONAL","IDENTITY_MATCH_AMBIGUOUS","120","LTD INTERNATIONAL | LTD","","",""
"PANDORA","ACTIVE_SOURCE_CANDIDATE","102","Pandora","pandora-talenthub:ACTIVE","","https://careers.pandoragroup.com/ | https://careers.pandoragroup.com/career-areas | https://careers.pandoragroup.com/seasonal-jobs | https://careers.pandoragroup.com/jobs | https://careers.pandoragroup.com/jobs?filter%5Bcategory%5D%5B0%5D=Corporate | https://careers.pandoragroup.com/jobs?filter%5Bcategory%5D%5B0%5D=Distribution | https://careers.pandoragroup.com/career-areas#retail-career | https://careers.pandoragroup.com/career-areas#crafting-supply-career | https://careers.pandoragroup.com/career-areas#corporate-career | https://careers.pandoragroup.com/career-areas#distribution-career | https://careers.pandoragroup.com/career-areas#digital-tech-career | https://careers.pandoragroup.com/jobs?filter%5Bcategory%5D%5B0%5D=Retail | https://careers.pandoragroup.com/jobs?filter%5Bcategory%5D%5B0%5D=Manufacturing | https://careers.pandoragroup.com/jobs?filter%5Bcategory%5D%5B0%5D=Digital&filter%5Bcategory%5D%5B1%5D=Product%20Development | https://sapcareerssite.pandoragroup.com/content/Join-our-Talent-Community-en_US/?locale=en_US | https://careers.pandoragroup.com/fr/seasonal-jobs | https://careers.pandoragroup.com/fr/career-areas | https://careers.pandoragroup.com/fr/jobs | https://careers.pandoragroup.com/fr/jobs?filter%5Bcategory%5D%5B0%5D=Corporate | https://careers.pandoragroup.com/fr/jobs?filter%5Bcategory%5D%5B0%5D=Distribution | https://careers.pandoragroup.com/fr/jobs?filter%5Bcategory%5D%5B0%5D=Retail | https://careers.pandoragroup.com/fr/jobs?filter%5Bcategory%5D%5B0%5D=Manufacturing | https://careers.pandoragroup.com/fr/jobs?filter%5Bcategory%5D%5B0%5D=Digital&filter%5Bcategory%5D%5B1%5D=Product%20Development"
"PARFUMS CHRISTIAN DIOR","ACTIVE_SOURCE_CANDIDATE","100","Parfums Christian Dior","lvmh:ACTIVE","",""
"SINTEL","CAREER_LINK_REVIEW_REQUIRED","99","SINTEL","","","https://sintel-recrutement.fr/ | https://sintel-recrutement.fr/entreprises/ | https://sintel-recrutement.fr/nos-metiers/ | https://sintel-recrutement.fr/expertises/ | https://sintel-recrutement.fr/map-access/ | https://sintel-recrutement.fr/about/ | https://sintel-recrutement.fr/rse/ | https://sintel-recrutement.fr/wp-content/uploads/2023/07/RH-SINTEL.pdf | https://sintel-recrutement.fr/zh-hans/ | https://sintel-recrutement.fr/en/ | https://sintel-recrutement.fr/sintel-connect/?action=register | https://sintel-recrutement.fr/joindre-cv/ | https://sintel-recrutement.fr/nos-annonces/ | https://sintel-recrutement.fr/services/ | https://twitter.com/Sintel_Recrute | https://sintel-recrutement.fr/mentions-legales/ | https://sintel-recrutement.fr/map-access/?section=form | https://sintel-recrutement.fr/faq/"
"PVH","ACTIVE_SOURCE_CANDIDATE","91","PVH","pvh:ACTIVE","",""
"ARMOR LUX","OFFICIAL_PORTAL_TECHNICAL_VALIDATION_REQUIRED","83","","","https://careers.werecruit.io/fr/armor-lux","https://careers.werecruit.io/fr/armor-lux"
"CLAUDIE PIERLOT","ACTIVE_SOURCE_CANDIDATE","80","Claudie Pierlot","sandro:ACTIVE","","https://fr.claudiepierlot.com/fr/nous-rejoindre/joinUs.html | https://www.smcp.com/fr/talents/offres-d-emploi/?keywords=&geographicalLocation=&organisation=24&offerFamilyCategory=&contractType=&experienceLevel="
"ETAM","ACTIVE_SOURCE_CANDIDATE","68","Etam","etam:ACTIVE","",""
