id,name,canonicalKey,kind,domain,parentGroup,activeJobs,allJobs
"cmtkdvxpe1sronf2b4pgv8aru","23 MAI PARIS","23_MAI_PARIS","UNKNOWN","","","0","0"
"cmtk4975x1jhbny2bwqudq3pn","24S.com","24S_COM","UNKNOWN","24s.com","LVMH","0","1"
"cmtkdw2sg1u8znf2bjpd9lgvr","2 MAI PARIS","2_MAI_PARIS","UNKNOWN","","","0","1"
"cmtkdw0aw1tgrnf2bke9mhl7g","360 TALENT LONDON","360_TALENT_LONDON","UNKNOWN","360talentlondon.com","","2","4"
"cmtlq3uh81lzzpg2bs51mn11d","3D TRADE","3D_TRADE","UNKNOWN","","","0","0"
"cmtlyf2nu00boqf5kuyuhtkee","585 Gold","585_GOLD","UNKNOWN","zoloto585.ru","","3","3"
"cmtkdvzx21td0nf2bpm258lmx","58 FACETTES","58_FACETTES","UNKNOWN","58facettes.fr","","1","1"
"cmtp1v3vg01b0qq4zderk1xev","Abercrombie & Fitch","ABERCROMBIE_AND_FITCH","UNKNOWN","abercrombie.com","","8","8"
"cmtkdvzgn1t83nf2ba9rhyuip","ABSOLUT CASHMERE","ABSOLUT_CASHMERE","UNKNOWN","absolutcashmere.com","","0","1"
"cmtlyfbvx00jhqf5ktfzhwp6r","Ackermans","ACKERMANS","UNKNOWN","ackermans.co.za","","4","5"
"cmtpivor3076wpf5l7m081zui","Acne Studios","ACNE_STUDIOS","UNKNOWN","acnestudios.com","","31","31"
"cmtk4969e1j8tny2bqz2ta2m1","Acqua Di Parma","ACQUA_DI_PARMA","UNKNOWN","acquadiparma.com","LVMH","11","12"
"cmtke7tkh0ae1lp2b57izhi1r","A-Derma","A_DERMA","UNKNOWN","aderma.fr","Pierre Fabre","0","0"
"cmtkdvv771rzinf2b3bt9vqu4","adidas","ADIDAS","UNKNOWN","adidas-group.com","","1142","1143"
"cmtkdvwk31sfsnf2bq61mln8j","A DISTINCT NOISE","A_DISTINCT_NOISE","UNKNOWN","","","0","0"
"cmtt3jq6q00003nx9kegbxkdh","Adopt Parfums","ADOPT_PARFUMS","MAISON","adopt.com","","121","121"
"cmtrsgp7y0lvupg5mrhp80j1c","Advance Magazine Publishers","ADVANCE_MAGAZINE_PUBLISHERS","UNKNOWN","","","46","46"
"cmtlyqizb0moyqf5ktcsftk5m","Advance Magazine Publishers Inc.","ADVANCE_MAGAZINE_PUBLISHERS_INC","UNKNOWN","","","0","0"
"cmtrsgpdk0lxlpg5mi3xcj5ln","Advance Magazine Publishers Inc. HQ","ADVANCE_MAGAZINE_PUBLISHERS_INC_HQ","UNKNOWN","","","29","29"
"cmtptzvf303fpl35murd5wim1","Aéropostale","AEROPOSTALE","UNKNOWN","aeropostale.com","","19","19"
"cmtlygj550245qf5k1glgn6w6","aeyde","AEYDE","UNKNOWN","aeyde.com","","10","10"
"cmtkdvxmi1sqsnf2bqyk4udiq","AGATHA","AGATHA","UNKNOWN","agatha.fr","THOM Group","2","4"
"cmtkdvv6y1rzenf2bsoxju045","AGENCE DRESSCODE","AGENCE_DRESSCODE","UNKNOWN","","","0","0"
"cmtlyfcc400jyqf5k8ws3kzvm","Agency","AGENCY","UNKNOWN","","","4","4"
"cmtkdvx4x1skonf2bnkxmcbw7","ÂGE PARIS","AGE_PARIS","UNKNOWN","","","0","0"
"cmtkdvuel1rnnnf2ba6k0ky9j","AGNÈS B.","AGNES_B","UNKNOWN","agnesb.com","","1","1"
"cmtlyojxw0k1zqf5k0bdeyvwn","Aigle","AIGLE","UNKNOWN","aigle.com","","107","107"
"cmtk1wz0k003dnv2bwzphy7tt","Aime","AIME","UNKNOWN","aime.co","","8","8"
"cmtlygzbk02ugqf5k8rqf9j6p","Aimé Leon Dore","AIME_LEON_DORE","UNKNOWN","aimeleondore.com","","12","12"
"cmtlyfclj00kfqf5k2x4ws00y","Aim'n","AIM_N","UNKNOWN","aimn.com","","4","4"
"cmtm8oy3h1hbhpv5j1cszq8so","Air MI","AIR_MI","UNKNOWN","nike.com","","13","13"
"cmtp868z33rnzqq4zjy1vwkng","AKHO","AKHO","UNKNOWN","","","1","1"
