externalId;title;department;city;country;verdict;basis;divisionsNamed;siteHint;beautyEvidence;pharmaEvidence;pageUrl
"1432782933";"Accountant II, Record-to-Report EMEA";"";"Ceske Budejovice";"CZ";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Ceske-Budejovice-Accountant-II%2C-Record-to-Report-EMEA-Jiho-37001/1432782933/"
"1405738533";"Account Manager";"";"Congers";"US";"OUT_PHARMA_ONLY";"division Pharma nommée dans le texte";"PHARMA";"PHARMA";"";"Account Manager Improving Health through Science and Technology! At Aptar Pharma , we specialize in Drug Delivery offering Innovative Devices, Services and Solutions focu";"https://jobs.aptar.com/job/Congers-Account-Manager-NY-10920/1405738533/"
"1428453033";"Accounts Payable Analyst";"";"El Marques Queretaro";"MX";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/El-Marques-Queretaro-Accounts-Payable-Analyst-Quer-76246/1428453033/"
"1392659033";"Alternance - Assistant Service Client en Supply Chain (H/F)";"";"Le Vaudreuil";"FR";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"PHARMA";"";"";"https://jobs.aptar.com/job/Le-Vaudreuil-Alternance-Assistant-Service-Client-en-Supply-Chain-%28HF%29-27-27100/1392659033/"
"1395543733";"Alternant(e) - Digital Marketing H/F";"";"Rueil-Malmaison";"FR";"IN_SCOPE_BEAUTY";"division Beauty nommée dans le texte";"BEAUTY";"BEAUTY+PHARMA";"Qui n’a jamais rêvé d’être lié à des marques de luxes ? Aujourd’hui Aptar Beauty vous en donne l’opportunité ! Allez-vous donc la saisir ? Chez Aptar, nous nous app";"";"https://jobs.aptar.com/job/Rueil-Malmaison-Alternant%28e%29-Digital-Marketing-HF-92-92500/1395543733/"
"1399454033";"Alternant(e) - Technicien de Maintenance Moules H/F";"";"Charleval";"FR";"IN_SCOPE_BEAUTY";"division Beauty nommée dans le texte";"BEAUTY";"BEAUTY";"Qui n’a jamais rêvé d’être lié à des marques de luxes ? Aujourd’hui Aptar Beauty vous en donne l’opportunité ! Allez-vous donc la saisir ? Chez Aptar, nous nous app";"";"https://jobs.aptar.com/job/Charleval-Alternant%28e%29-Technicien-de-Maintenance-Moules-HF-27-27380/1399454033/"
"1418751033";"Alternant GEA - Chargé de mission Excellence Opérationnelle";"";"Le Vaudreuil";"FR";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"PHARMA";"";"";"https://jobs.aptar.com/job/Le-Vaudreuil-Alternant-GEA-Charg%C3%A9-de-mission-Excellence-Op%C3%A9rationnelle-27-27100/1418751033/"
"1426628233";"Alternant HSE F/H";"";"Verneuil d'Avre et d'Iton";"FR";"IN_SCOPE_BEAUTY";"division Beauty nommée dans le texte";"BEAUTY";"BEAUTY";"Qui n’a jamais rêvé d’être lié à des marques de luxes ? Aujourd’hui Aptar Beauty vous en donne l’opportunité ! Allez-vous donc la saisir ? Chez Aptar, nous nous app";"";"https://jobs.aptar.com/job/Verneuil-d&amp;apos;Avre-et-d&amp;apos;Iton-Alternant-HSE-FH-27-27130/1426628233/"
"1392847533";"Alternant Technicien Développement Produits";"";"Le Neubourg";"FR";"IN_SCOPE_BEAUTY";"division Beauty nommée dans le texte";"BEAUTY";"BEAUTY";"Qui n’a jamais rêvé d’être lié à des marques de luxes ? Aujourd’hui Aptar Beauty vous en donne l’opportunité ! Allez-vous donc la saisir ? Chez Aptar, nous nous app";"";"https://jobs.aptar.com/job/Le-Neubourg-Alternant-Technicien-D%C3%A9veloppement-Produits-27-27110/1392847533/"
"1418462833";"Applications Development Technician";"";"Auburn";"US";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"PHARMA";"";"";"https://jobs.aptar.com/job/Auburn-Applications-Development-Technician-AL-36832/1418462833/"
"1390458233";"Apprenti Conducteur de Ligne H/F";"";"Le Neubourg";"FR";"IN_SCOPE_BEAUTY";"division Beauty nommée dans le texte";"BEAUTY";"BEAUTY";"Qui n’a jamais rêvé d’être lié à des marques de luxes ? Aujourd’hui Aptar Beauty vous en donne l’opportunité ! Allez-vous donc la saisir ? Chez Aptar, nous nous app";"";"https://jobs.aptar.com/job/Le-Neubourg-Apprenti-Conducteur-de-Ligne-HF-27-27110/1390458233/"
"1398635633";"Apprenti Qualité Injection Plastique H/F";"";"Verneuil d'Avre et d'Iton";"FR";"IN_SCOPE_BEAUTY";"division Beauty nommée dans le texte";"BEAUTY";"BEAUTY";"Qui n’a jamais rêvé d’être lié à des marques de luxes ? Aujourd’hui Aptar Beauty vous en donne l’opportunité ! Allez-vous donc la saisir ? Chez Aptar, nous nous app";"";"https://jobs.aptar.com/job/Verneuil-d&amp;apos;Avre-et-d&amp;apos;Iton-Apprenti-Qualit%C3%A9-Injection-Plastique-HF-27-27130/1398635633/"
"1287935201";"APU Manager EFC";"";"Ckyne";"CZ";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Ckyne-APU-Manager-EFC-Jiho-38481/1287935201/"
"1428498233";"Assembly Lead";"";"Eatontown";"US";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Eatontown-Assembly-Lead-NJ-07724/1428498233/"
"1406137333";"Assistant qualité production";"";"Oyonnax";"FR";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Oyonnax-Assistant-qualit%C3%A9-production-01-01100/1406137333/"
"1434497533";"Associate Coordinator of Material Handling (m/w/d)";"";"Dortmund";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Dortmund-Associate-Coordinator-of-Material-Handling-%28mwd%29-NW-44319/1434497533/"
"1434753133";"Associate III, Procurement";"";"Ceske Budejovice";"CZ";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Ceske-Budejovice-Associate-III%2C-Procurement-Jiho-37001/1434753133/"
