sourceKey,kind,maison,identity,receiptForCurrentConfig,receiptRevision,receiptAt,enumeration,fetched,declaredTotal,rejectedRows,gap,deficit,issues,collection,details,ingestion,activeInDatabase,visibility
585-gold,smartrecruiters-whitelabel,585 Gold,LEGACY_UNCERTIFIED,True,b8c153f3,2026-09-09T11:43:12.964Z,EXHAUSTIVE_PROVEN,3,3,0,0,NONE,,COMPLETE,COMPLETE,RUN_OK;IN_SYNC,3,LIVE_CONTROL_REQUIRED
a-derma-4,workday,A-Derma +4,LEGACY_UNCERTIFIED,True,201e18b9,2026-09-10T05:58:25.808Z,EXHAUSTIVE_PROVEN,243,243,0,0,NONE,,COMPLETE,COMPLETE,RUN_OK;missingInDb=2;absentAtSource=10,251,LIVE_CONTROL_REQUIRED
abercrombie,smartrecruiters-whitelabel,Abercrombie & Fitch,LEGACY_UNCERTIFIED,True,b8c153f3,2026-09-09T11:43:13.341Z,EXHAUSTIVE_PROVEN,8,8,0,0,NONE,,COMPLETE,COMPLETE,RUN_OK;IN_SYNC,8,LIVE_CONTROL_REQUIRED
ackermans,teamtailor,Ackermans,LEGACY_UNCERTIFIED,True,b8c153f3,2026-09-09T11:43:13.352Z,EXHAUSTIVE_PROVEN,4,,0,0,NONE,,COMPLETE,COMPLETE,RUN_DEGRADED;IN_SYNC,4,LIVE_CONTROL_REQUIRED
acne-studios-jobylon,jobylon,Acne Studios,LEGACY_UNCERTIFIED,True,b8c153f3,2026-09-09T11:43:17.195Z,EXHAUSTIVE_PROVEN,30,30,0,0,NONE,,COMPLETE,COMPLETE,RUN_OK;missingInDb=0;absentAtSource=1,31,LIVE_CONTROL_REQUIRED
adidas,successfactors,adidas,LEGACY_UNCERTIFIED,True,a9833ef3,2026-09-09T12:55:46.462Z,EXHAUSTIVE_PROVEN,1093,1093,0,0,NONE,,COMPLETE,"PARTIAL:missingDescription=2,missingLocation=2,missingCountry=2,missingDate=2",RUN_DEGRADED;missingInDb=33;absentAtSource=82,1142,LIVE_CONTROL_REQUIRED
adopt-parfums,flatchr,Adopt Parfums,CERTIFIED_CURRENT,True,b8c153f3,2026-09-09T11:43:59.391Z,EXHAUSTIVE_PROVEN,122,122,0,0,NONE,,COMPLETE,COMPLETE,RUN_OK;missingInDb=1;absentAtSource=0,121,LIVE_CONTROL_REQUIRED
aeropostale,icims,Aéropostale,LEGACY_UNCERTIFIED,True,d825f581,2026-09-09T18:36:00.854Z,EXHAUSTIVE_PROVEN,20,,0,0,NONE,,COMPLETE,COMPLETE,RUN_OK;missingInDb=2;absentAtSource=1,21,LIVE_CONTROL_REQUIRED
aeyde,personio,aeyde,LEGACY_UNCERTIFIED,True,bae127dc,2026-09-09T12:26:07.661Z,EXHAUSTIVE_PROVEN,10,,0,0,NONE,,COMPLETE,COMPLETE,RUN_DEGRADED;IN_SYNC,10,LIVE_CONTROL_REQUIRED
agency,smartrecruiters-whitelabel,Agency,LEGACY_UNCERTIFIED,True,b8c153f3,2026-09-09T11:44:06.968Z,EXHAUSTIVE_PROVEN,4,4,0,0,NONE,,COMPLETE,COMPLETE,RUN_OK;IN_SYNC,4,LIVE_CONTROL_REQUIRED
aigle,digitalrecruiters,Aigle,LEGACY_UNCERTIFIED,True,201e18b9,2026-09-10T05:58:03.042Z,EXHAUSTIVE_PROVEN,109,109,0,0,NONE,DIFFUSIONS_110_FOR_ANNOUNCEMENTS_109_ALL_READ,COMPLETE,COMPLETE,RUN_OK;IN_SYNC,109,LIVE_CONTROL_REQUIRED
aim-n,teamtailor,Aim'n,LEGACY_UNCERTIFIED,True,b8c153f3,2026-09-09T11:44:20.653Z,EXHAUSTIVE_PROVEN,4,,0,0,NONE,,COMPLETE,COMPLETE,RUN_DEGRADED;IN_SYNC,4,LIVE_CONTROL_REQUIRED
aime-leon-dore,greenhouse,Aimé Leon Dore,LEGACY_UNCERTIFIED,True,b8c153f3,2026-09-09T11:44:20.239Z,EXHAUSTIVE_PROVEN,12,,0,0,NONE,,COMPLETE,PARTIAL:missingCountry=12,RUN_OK;IN_SYNC,12,LIVE_CONTROL_REQUIRED
akira,teamtailor,AKIRA,LEGACY_UNCERTIFIED,True,b8c153f3,2026-09-09T11:44:24.543Z,EXHAUSTIVE_PROVEN,181,,0,0,NONE,,COMPLETE,"PARTIAL:missingLocation=1,missingCountry=1",RUN_DEGRADED;missingInDb=0;absentAtSource=6,187,LIVE_CONTROL_REQUIRED
alberto,generic-listing,Alberto,LEGACY_UNCERTIFIED,True,201e18b9,2026-09-10T05:58:09.843Z,EXHAUSTIVE_PROVEN,6,80,74,74,EXPLAINED,,INCOMPLETE_EXPLAINED,COMPLETE,RUN_DEGRADED;missingInDb=0;absentAtSource=3,9,LIVE_CONTROL_REQUIRED
alpha-industries,personio,alpha industries,LEGACY_UNCERTIFIED,True,bae127dc,2026-09-09T12:26:06.959Z,EXHAUSTIVE_PROVEN,2,,0,0,NONE,,COMPLETE,COMPLETE,RUN_DEGRADED;IN_SYNC,2,LIVE_CONTROL_REQUIRED
ami-paris,recruitee,AMI Paris,LEGACY_UNCERTIFIED,True,d12380b2,2026-09-09T12:01:20.921Z,EXHAUSTIVE_PROVEN,22,,0,0,NONE,,COMPLETE,COMPLETE,RUN_DEGRADED;missingInDb=0;absentAtSource=1,23,LIVE_CONTROL_REQUIRED
amiri,lever,AMIRI,LEGACY_UNCERTIFIED,True,b8c153f3,2026-09-09T11:44:28.148Z,EXHAUSTIVE_PROVEN,42,,0,0,NONE,,COMPLETE,"PARTIAL:missingDescription=4,missingCountry=42",RUN_OK;missingInDb=0;absentAtSource=1,43,LIVE_CONTROL_REQUIRED
annoushka,teamtailor,Annoushka,LEGACY_UNCERTIFIED,True,b8c153f3,2026-09-09T11:44:28.549Z,EXHAUSTIVE_PROVEN,3,,0,0,NONE,,COMPLETE,COMPLETE,RUN_DEGRADED;missingInDb=0;absentAtSource=1,4,LIVE_CONTROL_REQUIRED
apivita,workable,Apivita,LEGACY_UNCERTIFIED,True,d12380b2,2026-09-09T12:01:23.896Z,EXHAUSTIVE_PROVEN,10,10,0,0,NONE,,COMPLETE,COMPLETE,RUN_DEGRADED;missingInDb=0;absentAtSource=1,11,LIVE_CONTROL_REQUIRED
apm-monaco,workable,APM Monaco,LEGACY_UNCERTIFIED,True,d12380b2,2026-09-09T12:01:35.784Z,EXHAUSTIVE_PROVEN,102,102,0,0,NONE,,COMPLETE,COMPLETE,RUN_DEGRADED;missingInDb=11;absentAtSource=7,98,LIVE_CONTROL_REQUIRED
aptar-beauty,successfactors,Aptar Group,CERTIFIED_CURRENT,True,46054a71,2026-09-09T12:49:24.849Z,EXHAUSTIVE_PROVEN,212,212,0,0,NONE,,COMPLETE,PARTIAL:missingCountry=2,RUN_OK;missingInDb=3;absentAtSource=8,224,LIVE_CONTROL_REQUIRED
aritzia,workday,Aritzia,LEGACY_UNCERTIFIED,True,201e18b9,2026-09-10T06:00:26.538Z,EXHAUSTIVE_PROVEN,547,547,0,0,NONE,,COMPLETE,"PARTIAL:missingDescription=5,missingCountry=5,missingDate=5",RUN_OK;missingInDb=1;absentAtSource=8,554,LIVE_CONTROL_REQUIRED
army-logic,lever,Army Logic,LEGACY_UNCERTIFIED,True,b8c153f3,2026-09-09T11:44:57.635Z,EXHAUSTIVE_PROVEN,18,,0,0,NONE,,COMPLETE,"PARTIAL:missingDescription=1,missingCountry=18",RUN_OK;missingInDb=0;absentAtSource=3,21,LIVE_CONTROL_REQUIRED
aroma-zone,teamtailor,Aroma-Zone,LEGACY_UNCERTIFIED,True,b8c153f3,2026-09-09T11:44:58.740Z,EXHAUSTIVE_PROVEN,175,,0,0,NONE,,COMPLETE,COMPLETE,RUN_DEGRADED;missingInDb=1;absentAtSource=10,184,LIVE_CONTROL_REQUIRED
asics,smartrecruiters-whitelabel,ASICS,LEGACY_UNCERTIFIED,True,b8c153f3,2026-09-09T11:45:12.552Z,EXHAUSTIVE_PROVEN,46,46,0,0,NONE,,COMPLETE,COMPLETE,RUN_OK;missingInDb=1;absentAtSource=8,53,LIVE_CONTROL_REQUIRED
asket,teamtailor,ASKET,LEGACY_UNCERTIFIED,True,b8c153f3,2026-09-09T11:45:13.232Z,EXHAUSTIVE_PROVEN,2,,0,0,NONE,,COMPLETE,COMPLETE,RUN_DEGRADED;IN_SYNC,2,LIVE_CONTROL_REQUIRED
asos,smartrecruiters-whitelabel,ASOS,LEGACY_UNCERTIFIED,True,b8c153f3,2026-09-09T11:45:18.904Z,EXHAUSTIVE_PROVEN,64,64,0,0,NONE,,COMPLETE,COMPLETE,RUN_OK;missingInDb=5;absentAtSource=7,66,LIVE_CONTROL_REQUIRED
