url_morte	domaine_teste	resultat	detail	marques
https://jobs.groupe-rocher.com	groupe-rocher.com	SUCCESSFACTORS	https://careers.groupe-rocher.com/ conf=0.85 | SUCCESSFACTORS widget detected on careers.groupe-rocher.com	Arbonne | Dr Pierre Ricaud | Sabon
https://careers.boardriders.com	boardriders.com	SUCCESSFACTORS	https://www.boardriders.com/fr-fr/carriere/ conf=0.85 | SUCCESSFACTORS widget detected on www.boardriders.com	Billabong | Quiksilver | Roxy
https://careers.tfgbrands.co.uk	tfgbrands.co.uk	rien		Phase Eight | Whistles
https://careers.abc-mart.net	abc-mart.net	rien		ABC-Mart
https://careers.aeropostale.com	aeropostale.com	GENERIC_JSONLD	https://www.aeropostale.com/aeropostale-careers/stores-corporate.html?content=footer conf=0.4 | ATS identifié: iCIMS — aucun adaptateur, ne 	Aéropostale
https://carrieres.spartoo.com	spartoo.com	rien		André | Spartoo
https://careers.amiparis.com	amiparis.com	RECRUITEE	https://www.amiparis.com conf=0.95 | ATS link discovered on https://www.amiparis.com	Ami Paris
https://careers.keringeyewear.com	keringeyewear.com	rien		Lindberg | Maui Jim
https://careers.aloyoga.com	aloyoga.com	rien		Alo Yoga
https://careers.agnesb.com	agnesb.com	rien		Agnès b.
https://careers.bestseller.com	bestseller.com	GENERIC_JSONLD	https://www.bestseller.com/careers conf=0.45 | Careers page detected (host/links); generic crawler — needs a human check.	Bestseller (Vero Moda, Only, Jack & Jones)
https://careers.authentic.com	authentic.com	rien		Ted Baker
https://careers.bape.com	bape.com	rien		Bape (A Bathing Ape)
https://careers.boggi.com	boggi.com	RECRUITEE	https://www.boggi.com conf=0.95 | ATS link discovered on https://www.boggi.com	Boggi Milano
https://careers.bimbaylola.com	bimbaylola.com	rien		Bimba y Lola
https://careers.boohoogroup.com	boohoogroup.com	rien		Boohoo
https://careers.beams.co.jp	beams.co.jp	rien		Beams
https://careers.boyner.com.tr	boyner.com.tr	rien		Boyner
https://careers.bogner.com	bogner.com	rien		Bogner
https://careers.caleres.com	caleres.com	rien		Stuart Weitzman
https://careers.beymen.com	beymen.com	rien		Beymen
https://careers.brunellocucinelli.com	brunellocucinelli.com	rien		Brunello Cucinelli
https://careers.buckle.com	buckle.com	rien		Buckle
https://careers.christianlouboutin.com	christianlouboutin.com	rien		Christian Louboutin
https://careers.ccc.eu	ccc.eu	rien		CCC
https://careers.clarks.com	clarks.com	rien		Clarks
https://careers.courreges.com	courreges.com	rien		Courrèges
