nom	site	vendor
'47	https://www.47brand.com/	workforcenow.adp.com
american eagle outfitters	https://www.ae.com/	oraclecloud.com/hcmUI
100 thieves	https://100thieves.com/	workforcenow.adp.com
american eagle	https://www.ae.com/	oraclecloud.com/hcmUI
7 for all mankind	https://www.7forallmankind.com/	paylocity.com
american giant	https://www.american-giant.com/	bamboohr.com
angus & coote	https://www.anguscoote.com.au/	dayforcehcm.com
assembly label	https://assemblylabel.com/	bamboohr.com
boot barn	https://www.bootbarn.com/	myjobs.adp.com
brixton	https://www.brixton.com/	workforcenow.adp.com
christopher & banks	https://www.christopherandbanks.com/	workforcenow.adp.com
buffalo david bitton	http://www.buffalojeans.com/	icims.com
angus & coote	https://www.anguscoote.com.au/	dayforcehcm.com
aerie	https://www.ae.com/	oraclecloud.com/hcmUI
bi-mart	http://www.bimart.com/	icims.com
briggs&riley	https://www.briggs-riley.com/	workforcenow.adp.com
bucherer	https://www.bucherer.com/	dayforcehcm.com
bucherer group	https://www.bucherer.com/	dayforcehcm.com
cotton on kids	https://cottonon.com/AU/cottononkids	oraclecloud.com/hcmUI
cotton on body	https://cottonon.com/AU/cottononbody	oraclecloud.com/hcmUI
eyebrow plus	https://www.eyebrowplus.com/	workforcenow.adp.com
dkny	https://www.dkny.com/	myjobs.adp.com
haggar clothing	http://www.haggar.com/	workforcenow.adp.com
earthbound trading company	https://www.earthboundtrading.com/	workforcenow.adp.com
john elliott	https://www.johnelliott.com/	icims.com
j. mclaughlin	https://www.jmclaughlin.com/	workforcenow.adp.com
ina kess	https://www.inakess.com/	bamboohr.com
herve leger	https://www.herveleger.com/	icims.com
home~pourri	https://www.pourri.com/	bamboohr.com
hudson jeans	https://www.hudsonjeans.com/	icims.com
joseph ribkoff	https://www.josephribkoff.com/	dayforcehcm.com
lise watier	https://watier.com/	dayforcehcm.com
maison birks	https://www.birks.com/	workforcenow.adp.com
lowes menswear	http://lowes.com.au/	dayforcehcm.com
lucky brand	https://www.luckybrand.com/	icims.com
loveshackfancy	https://loveshackfancy.com/	bamboohr.com
norvell	http://www.norvelltanning.com/	workforcenow.adp.com
malin+goetz	https://www.malinandgoetz.com/	bamboohr.com
northern reflections	https://www.northernreflections.com/	workforcenow.adp.com
poo~pourri	http://www.poopourri.com/	bamboohr.com
pot~pourri	https://www.pourri.com/	bamboohr.com
nudestix	https://www.nudestix.com/	dayforcehcm.com
pet~pourri	https://www.pourri.com/	bamboohr.com
perfect stranger	https://www.perfectstranger.com.au/	dayforcehcm.com
prouds	https://www.prouds.com.au/	dayforcehcm.com
st. john	https://www.stjohnknits.com/	workforcenow.adp.com
modanisa	http://www.modanisa.com/	jazzhr.com
pelagic	https://pelagicgear.com/	paylocity.com
rumpl	https://www.rumpl.com/	bamboohr.com
ricki's	https://www.rickis.com/	workforcenow.adp.com
splendid	https://www.splendid.com/	paylocity.com
sprouts farmers market	https://www.sprouts.com/	icims.com
sole~pourri	https://www.pourri.com/	bamboohr.com
saalt	https://saalt.com/	bamboohr.com
road runner sports	https://www.roadrunnersports.com/	icims.com
san antonio shoemakers	http://sasshoes.com/	workforcenow.adp.com
tommy john	https://tommyjohn.com/	jazzhr.com
shane company	https://www.shaneco.com/	icims.com
solstice sunglasses	https://solsticesunglasses.com/	paylocity.com
tacori	http://www.tacori.com/	workforcenow.adp.com
the webster	https://thewebster.com/	workforcenow.adp.com
universal store	https://www.universalstore.com/	dayforcehcm.com
ulta beauty	https://www.ulta.com/	icims.com
work world	https://www.workworld.com/	icims.com
vince	https://www.vince.com/	workforcenow.adp.com
vegamour llc	http://www.vegamour.com/	breezy.hr
svs vision	https://www.svsvision.com/	workforcenow.adp.com
zumiez	https://www.zumiez.com/	myjobs.adp.com
angus & coote	https://www.anguscoote.com.au/	dayforcehcm.com
bi-mart	http://www.bimart.com/	icims.com
dkny	https://www.dkny.com/	myjobs.adp.com
haggar clothing	http://www.haggar.com/	workforcenow.adp.com
john elliott	https://www.johnelliott.com/	icims.com
joseph ribkoff	https://www.josephribkoff.com/	dayforcehcm.com
prouds	https://www.prouds.com.au/	dayforcehcm.com
st. john	https://www.stjohnknits.com/	workforcenow.adp.com
modanisa	http://www.modanisa.com/	jazzhr.com
pelagic	https://pelagicgear.com/	paylocity.com
splendid	https://www.splendid.com/	paylocity.com
svs vision	https://www.svsvision.com/	workforcenow.adp.com
