Maison,Offres actives,Secteur,Groupe,Site officiel (à remplir)
"H&M Group",1624,"RETAIL","",""
"Tapestry",1620,"RETAIL","",""
"Levi's",1311,"RETAIL","",""
"Parfums Chanel",1094,"BEAUTY","",""
"SAKS",726,"RETAIL","",""
"La casa de las Carca",720,"RETAIL","",""
"Sandro",541,"FASHION","SMCP",""
"MANGO MNG",551,"FASHION","",""
"Champs Sports",482,"RETAIL","",""
"Luxe Talent",478,"RECRUITER","",""
"Groupe Courir",423,"RETAIL","",""
"Kids Foot Locker",429,"RETAIL","",""
"Michael Kors",270,"RETAIL","",""
"Madewell Stores Madewell",233,"RETAIL","",""
"Coach",223,"RETAIL","",""
"Gucci",222,"FASHION","Kering",""
"Pierre Fabre",221,"BEAUTY","Pierre Fabre",""
"Aritzia LP",206,"RETAIL","",""
"Saint Laurent",200,"FASHION","Kering",""
"MARELLA",196,"FASHION","",""
"Golf & Tennis Pro Shop, Inc. d/b/a PGA TOUR Superstore",190,"RETAIL","",""
"MECCA Brands",161,"RETAIL","",""
"Clarkson Eyecare",148,"RETAIL","",""
"Drunk Elephant",155,"BEAUTY","Shiseido Group",""
"Bottega Veneta",142,"FASHION","Kering",""
"Reformation",139,"RETAIL","",""
"Mejuri",141,"RETAIL","",""
"Quince",133,"RETAIL","",""
"Balenciaga",136,"FASHION","Kering",""
"Escada Parfums",126,"BEAUTY","Coty",""
"Chalhoub Group",132,"RETAIL","",""
"Estée Lauder",122,"BEAUTY","Estee Lauder",""
"De Beers London",109,"JEWELRY_WATCHES","",""
"Swarovski Retail Ventures",117,"JEWELRY_WATCHES","",""
"Kering Corporate",115,"LUXURY","",""
"Moët Hennessy",106,"LUXURY","",""
"MNG-MANGO",107,"FASHION","",""
"ION",76,"RETAIL","",""
"MANGO NY",75,"FASHION","",""
"Silbon",75,"RETAIL","",""
"Movado Retail Group",73,"RETAIL","",""
"MNG MANGO BELGIQUE S.P.R.L",71,"FASHION","",""
"MANGO TR TEKSTIL TICARET LTD.S",70,"FASHION","",""
"Kering Eyewear",69,"LUXURY","Kering",""
