id	url	verdict	config
harvey-nichols	https://careers.harveynichols.com/jobs/	READY:TEAMTAILOR	{"origin":"https://www.teamtailor.com"}
the-kooples	https://careers.thekooples.com/en/annonces	READY:DIGITALRECRUITERS	{"domainName":"careers.thekooples.com"}
ba-sh	https://talents.ba-sh.com/fr-FR/offres	GENERIC	{"startUrl":"https://talents.ba-sh.com/fr-FR/offres"}
gant-fr	https://career.gant.com/fr/annonces	READY:DIGITALRECRUITERS	{"domainName":"career.gant.com"}
aigle	https://careers.aigle.com/en/annonces	READY:DIGITALRECRUITERS	{"domainName":"careers.aigle.com"}
rituals	https://careers.rituals.com/fr-FR/jobs/	GENERIC	{"startUrl":"https://careers.rituals.com/fr-FR/jobs/"}
zalando	https://jobs.zalando.com/en/jobs	GENERIC	{"startUrl":"https://jobs.zalando.com/en/jobs"}
vestiaire	https://careers.vestiairecollective.com/career-openings	READY:LEVER	{"site":"vestiairecollective"}
therealreal	https://careers.therealreal.com/us/en/search-results	READY:WORKDAY	{"tenant":"therealreal","site":"Careers","origin":"https://therealreal.wd1.myworkdayjobs.c
allsaints	https://careers.allsaints.com/	GENERIC	{"startUrl":"https://careers.allsaints.com/"}
reiss	https://careers.reiss.com/	GENERIC	{"startUrl":"https://careers.reiss.com/"}
lindex	https://about.lindex.com/career/open-positions/	GENERIC	{"startUrl":"https://about.lindex.com/career/open-positions/"}
kappahl	https://www.kappahl.com/en-us/about-kappahl-group/work-with-us/current-vacancies	GENERIC	{"startUrl":"https://www.kappahl.com/en-us/about-kappahl-group/work-with-us/current-vacanc
olaplex	https://olaplex.com/pages/careers/1000	READY:GREENHOUSE	{"board":"v1"}
bestseller-fr	https://www.bestsellerfrance.com/nous-rejoindre	GENERIC	{"startUrl":"https://www.bestsellerfrance.com/nous-rejoindre"}
aeffe	https://careers.aeffe.com/default-cards	GENERIC	{"startUrl":"https://careers.aeffe.com/default-cards"}
manolo	https://careers.manoloblahnik.com/	READY:SUCCESSFACTORS	{"origin":"https://careers.manoloblahnik.com"}
abh	https://anastasiabeverlyhills.applytojob.com/apply	NONE	{}
brown-thomas	https://www.brownthomasarnottscareers.com/careers-brown-thomas-arnotts/	NO_ADAPTER:Taleo	{"feedUrl":"https://www.brownthomasarnottscareers.com/feed/"}
bijenkorf	https://www.werkenbijdebijenkorf.nl/	NONE	{}
stockmann	https://careers.stockmann.com/open-jobs/	BOT_WALL	HTTP 403 for https://careers.stockmann.com/open-jo
myer	https://careers.myer.com.au/caw/en/listing/Search/	GENERIC	{"startUrl":"https://careers.myer.com.au/caw/en/listing/Search/"}
wos-uk	https://ukcareers.thewosgroup.com/jobs/vacancy/find/results/	NONE	{}
asos	https://www.asoscareers.com/	NONE	{}
