maison	kind	config	board_name	jobs	sample_titles	sample_url	reason
[ p H 7 ]	smartrecruiters-whitelabel	{"company":"ph7"}	ph7	46	SPARK & SCALA Developers / Lead | Jaa | Jaa	https://jobs.smartrecruiters.com/ph7/102828781	board name "ph7" ≠ maison
Alpha Company for Cosmetics LTD	recruitee	{"subdomain":"alpha"}	Customizable ATS & hiring software Tellent Recruitee	2	Recruiter (Sample) | Senior Marketer (Sample)	https://alpha.recruitee.com/o/recruiter-sample-1	demo/sandbox board (titles look like samples)
Alpha Industries	recruitee	{"subdomain":"alpha"}	Customizable ATS & hiring software Tellent Recruitee	2	Recruiter (Sample) | Senior Marketer (Sample)	https://alpha.recruitee.com/o/recruiter-sample-1	demo/sandbox board (titles look like samples)
alpha industries	recruitee	{"subdomain":"alpha"}	Customizable ATS & hiring software Tellent Recruitee	2	Recruiter (Sample) | Senior Marketer (Sample)	https://alpha.recruitee.com/o/recruiter-sample-1	demo/sandbox board (titles look like samples)
ALPHA OG	recruitee	{"subdomain":"alpha"}	Customizable ATS & hiring software Tellent Recruitee	2	Recruiter (Sample) | Senior Marketer (Sample)	https://alpha.recruitee.com/o/recruiter-sample-1	demo/sandbox board (titles look like samples)
1979 Swimwear	smartrecruiters-whitelabel	{"company":"1979"}	1979	2	Internal Auditor | Compliance Specialist	https://jobs.smartrecruiters.com/1979/743999675580235	board name "1979" ≠ maison
Amanda Ross Skin Care	wttj	{"slug":"amanda"}	Amanda	3	Consultant(e) Animateur(ice) H/F - Secteur Centre-Est | Assistant(e) Commercial(e) (H/F) | Chargé(e) d'Affaires (en téléprospection) H/F	https://www.welcometothejungle.com/fr/companies/amanda/jobs/consultant-animateur-ice-h-f-france_paris	board name "Amanda" ≠ maison
Amazon	personio	{"subdomain":"amazon","host":"amazon.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://amazon.jobs.personio.de/job/1680079	no board name to compare
Ampère	recruitee	{"subdomain":"ampere"}	homepage	11	Team Lead Depot Eindhoven | Allround IT Systems Engineer | Bezorger/Koerier Depot Eindhoven	https://werkenbijampere.nl/o/team-lead-depot-eindhoven-1	INDÉCIDABLE/FAUX POSITIF — werkenbijampere.nl = depot de livraison NL — le domaine matche le NOM mais pas la maison : faux positif (piege de la regle domaine)
Ampere Creations	recruitee	{"subdomain":"ampere"}	homepage	11	Team Lead Depot Eindhoven | Allround IT Systems Engineer | Bezorger/Koerier Depot Eindhoven	https://werkenbijampere.nl/o/team-lead-depot-eindhoven-1	board name "homepage" ≠ maison
Angela Caglia Skincare	personio	{"subdomain":"angela","host":"angela.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://angela.jobs.personio.de/job/1995714	no board name to compare
Angela Kim Couture	personio	{"subdomain":"angela","host":"angela.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://angela.jobs.personio.de/job/1995714	no board name to compare
Angela Pinto	personio	{"subdomain":"angela","host":"angela.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://angela.jobs.personio.de/job/1995714	no board name to compare
Anton & Willem	personio	{"subdomain":"anton","host":"anton.jobs.personio.de"}	ANTON	11	Initiativbewerbung | Internship: Creating Digital Learning Content (UK) | Junior Growth Marketer (w/m/d)	https://anton.jobs.personio.de/job/834888	board name "ANTON" ≠ maison
Anton Heunis	personio	{"subdomain":"anton","host":"anton.jobs.personio.de"}	ANTON	11	Initiativbewerbung | Internship: Creating Digital Learning Content (UK) | Junior Growth Marketer (w/m/d)	https://anton.jobs.personio.de/job/834888	board name "ANTON" ≠ maison
Anton Sport	personio	{"subdomain":"anton","host":"anton.jobs.personio.de"}	ANTON	11	Initiativbewerbung | Internship: Creating Digital Learning Content (UK) | Junior Growth Marketer (w/m/d)	https://anton.jobs.personio.de/job/834888	board name "ANTON" ≠ maison
APL: Athletic Propulsion Labs	teamtailor	{"origin":"https://apl.teamtailor.com"}	APL	5	Farmaceut till Kungens kurva | Vikariat Utvecklingsingenjör Umeå | Analytisk kemist Umeå	https://apl.teamtailor.com/jobs/8292718-farmaceut-till-kungens-kurva	board name "APL" ≠ maison
Arc'teryx	teamtailor	{"origin":"https://arc.teamtailor.com"}	Arc	9	Workshop Apprentice IT - Basildon | Quality & Process Coordinator - Basildon | Senior Network Engineer - Basildon	https://arc.teamtailor.com/jobs/8287130-workshop-apprentice-it-basildon	board name "Arc" ≠ maison
Ariana & Evans	recruitee	{"subdomain":"ariana"}	Customizable ATS & hiring software Tellent Recruitee	1	Senior Marketer (Sample)	https://ariana.recruitee.com/o/senior-marketer-sample-london	demo/sandbox board (titles look like samples)
Ariana Grande	recruitee	{"subdomain":"ariana"}	Customizable ATS & hiring software Tellent Recruitee	1	Senior Marketer (Sample)	https://ariana.recruitee.com/o/senior-marketer-sample-london	demo/sandbox board (titles look like samples)
Ariana Grande Fragrances	recruitee	{"subdomain":"ariana"}	Customizable ATS & hiring software Tellent Recruitee	1	Senior Marketer (Sample)	https://ariana.recruitee.com/o/senior-marketer-sample-london	demo/sandbox board (titles look like samples)
Aristo Shmat	personio	{"subdomain":"aristo","host":"aristo.jobs.personio.de"}	Lenyx Logistik & Service GmbH	10	HR Specialist Personaladministration & Vertragsmanagement (m/w/d) | Recruiter (m/w/d) – Einstieg ins 360° Recruiting | Recruitment Consultant (m/w/d)	https://aristo.jobs.personio.de/job/2554817	board name "Lenyx Logistik & Service GmbH" ≠ maison
ART	personio	{"subdomain":"art","host":"art.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://art.jobs.personio.de/job/403330	no board name to compare
Art & Create	personio	{"subdomain":"art","host":"art.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://art.jobs.personio.de/job/403330	no board name to compare
Art Disco	personio	{"subdomain":"art","host":"art.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://art.jobs.personio.de/job/403330	no board name to compare
Art of Vedas	personio	{"subdomain":"art","host":"art.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://art.jobs.personio.de/job/403330	no board name to compare
Art-93	personio	{"subdomain":"art","host":"art.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://art.jobs.personio.de/job/403330	no board name to compare
Art'Abaska	personio	{"subdomain":"art","host":"art.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://art.jobs.personio.de/job/403330	no board name to compare
ASK SCANDINAVIA	teamtailor	{"origin":"https://ask.teamtailor.com"}	Scientific Group	3	Account Director - Fixed Term Contract | Account Director 1 | Senior Presentation Designer	https://ask.teamtailor.com/jobs/8251374-account-director-fixed-term-contract	board name "Scientific Group" ≠ maison
Aura Hair Mist™	greenhouse	{"board":"aura"}	Aura	5	Director, Growth & Paid Media | Director, Marketplaces & Ecommerce | Senior Product Engineer	https://auraframes.com/careers?gh_jid=8723264002	board name "Aura" ≠ maison
Aura Moda Italiana	greenhouse	{"board":"aura"}	Aura	5	Director, Growth & Paid Media | Director, Marketplaces & Ecommerce | Senior Product Engineer	https://auraframes.com/careers?gh_jid=8723264002	board name "Aura" ≠ maison
Aura Organics	greenhouse	{"board":"aura"}	Aura	5	Director, Growth & Paid Media | Director, Marketplaces & Ecommerce | Senior Product Engineer	https://auraframes.com/careers?gh_jid=8723264002	board name "Aura" ≠ maison
Aura Que	greenhouse	{"board":"aura"}	Aura	5	Director, Growth & Paid Media | Director, Marketplaces & Ecommerce | Senior Product Engineer	https://auraframes.com/careers?gh_jid=8723264002	board name "Aura" ≠ maison
Air Scense	greenhouse	{"board":"air"}	Air	34	Account Executive - DoW | AI Engineer, Internal Enablement & Productivity | Data Analyst	https://job-boards.greenhouse.io/air/jobs/4087693009	board name "Air" ≠ maison
Air~Pourri	greenhouse	{"board":"air"}	Air	34	Account Executive - DoW | AI Engineer, Internal Enablement & Productivity | Data Analyst	https://job-boards.greenhouse.io/air/jobs/4087693009	board name "Air" ≠ maison
AZUL BY MOUSSY	lever	{"site":"azul"}	Azul	17	Account Executive Sweden | Business Development Representative | Channel Account Manager	https://jobs.lever.co/azul/e562ebc4-df65-4497-9a03-23443fb5d89d	board name "Azul" ≠ maison
Air Cosmetik	teamtailor	{"origin":"https://air.teamtailor.com"}	AIR	63	Informatore/trice servizi energia - tempo pieno | Centralinista telefonico per supporto commerciale | Gestore clienti per attività commerciale	https://air.teamtailor.com/jobs/8315945-informatore-trice-servizi-energia-tempo-pieno	board name "AIR" ≠ maison
Bamboo Beauty Lifes	teamtailor	{"origin":"https://bamboo.teamtailor.com"}	Bamboo	3	Senior IT Infrastructure Auditor | Lead Product Designer | Senior Settlement & Treasury Associate - Misan by Bamboo	https://bamboo.teamtailor.com/jobs/7910584-senior-it-infrastructure-auditor	board name "Bamboo" ≠ maison
Bamboo Basics	teamtailor	{"origin":"https://bamboo.teamtailor.com"}	Bamboo	3	Senior IT Infrastructure Auditor | Lead Product Designer | Senior Settlement & Treasury Associate - Misan by Bamboo	https://bamboo.teamtailor.com/jobs/7910584-senior-it-infrastructure-auditor	board name "Bamboo" ≠ maison
Bamboo Cay	teamtailor	{"origin":"https://bamboo.teamtailor.com"}	Bamboo	3	Senior IT Infrastructure Auditor | Lead Product Designer | Senior Settlement & Treasury Associate - Misan by Bamboo	https://bamboo.teamtailor.com/jobs/7910584-senior-it-infrastructure-auditor	board name "Bamboo" ≠ maison
