maison,kind,declared_jobs,reason
"Dr.G",avature,1737,"Avature listingUrl or sitemapUrl required"
"Essie",avature,1737,"Avature listingUrl or sitemapUrl required"
"Garnier",avature,1737,"Avature listingUrl or sitemapUrl required"
"KILIAN PARIS",eightfold,1400,"HTTP 405 for https://careers.elcompanies.com/careers"
"La Mer",eightfold,1400,"HTTP 405 for https://careers.elcompanies.com/careers"
"Lab Series",eightfold,1400,"HTTP 405 for https://careers.elcompanies.com/careers"
"Le Labo",eightfold,1400,"HTTP 405 for https://careers.elcompanies.com/careers"
"Parfums Chanel",workday,1087,"Workday tenant/site/origin missing"
"Kering",eightfold,1007,"HTTP 405 for https://careers.kering.com/careers"
"Filorga",successfactors,501,"returned 0 jobs"
"dsm-firmenich",eightfold,389,"HTTP 405 for https://jobs.dsm-firmenich.com/careers"
"Givaudan",phenom,361,"HTTP 500 for https://careers.givaudan.com/api/jobs?limit=100&page=1"
"Normal",teamtailor,308,"Teamtailor origin missing"
"Gucci",eightfold,211,"HTTP 405 for https://careers.kering.com/careers"
"Saint Laurent",eightfold,206,"HTTP 405 for https://careers.kering.com/careers"
"MAC Cosmetics",eightfold,148,"HTTP 405 for https://elcompanies.eightfold.ai/careers"
"Bottega Veneta",eightfold,135,"HTTP 405 for https://careers.kering.com/careers"
"Shiseido",successfactors,134,"SuccessFactors origin missing"
"Balenciaga",eightfold,127,"HTTP 405 for https://careers.kering.com/careers"
"Groupe Printemps",talentsoft,111,"no adapter for kind ""talentsoft"""
"Lagardère Travel Retail",talentsoft,109,"no adapter for kind ""talentsoft"""
"Cartier",workday,104,"HTTP 429 for https://richemont.wd3.myworkdayjobs.com/wday/cxs/richemont/richemont/jobs"
"Printemps",talentsoft,98,"no adapter for kind ""talentsoft"""
"Clinique",eightfold,96,"HTTP 405 for https://careers.elcompanies.com/careers"
"Yves Saint Laurent Beauté",avature,92,"Avature listingUrl or sitemapUrl required"
"Aesop",avature,77,"Avature listingUrl or sitemapUrl required"
"Kering Eyewear",eightfold,67,"HTTP 405 for https://careers.kering.com/careers"
"La Halle",gestmax,62,"Generic JSON-LD startUrl or sitemapUrl required"
"Boucheron",eightfold,52,"HTTP 405 for https://careers.kering.com/careers"
"Versace",workday,50,"Workday tenant/site/origin missing"
"Bobbi Brown",eightfold,49,"HTTP 405 for https://careers.elcompanies.com/careers"
"TOM FORD Beauty",eightfold,48,"HTTP 405 for https://careers.elcompanies.com/careers"
"Aveda",eightfold,46,"HTTP 405 for https://careers.elcompanies.com/careers"
"ELEMIS",pinpoint,35,"returned 0 jobs"
"Vib's",magnet,33,"Magnet siteKey missing"
"Stella McCartney",workday,31,"Workday tenant/site/origin missing"
"Sisley Paris",smartrecruiters-whitelabel,29,"SmartRecruiters company missing"
"Darjeeling",talentsoft,26,"no adapter for kind ""talentsoft"""
"Longchamp",talentsoft,23,"no adapter for kind ""talentsoft"""
"Pomellato",eightfold,22,"HTTP 405 for https://careers.kering.com/careers"
"Alexander McQueen",eightfold,21,"HTTP 405 for https://careers.kering.com/careers"
"Respire",wttj,20,"WTTJ organization slug missing"
"Oh My Cream",teamtailor,19,"Teamtailor origin missing"
"Brioni",eightfold,17,"HTTP 405 for https://careers.kering.com/careers"
"Patek Philippe",successfactors,17,"SuccessFactors origin missing"
"Ginori 1735",eightfold,16,"HTTP 405 for https://careers.kering.com/careers"
"Passage du Desir",teamtailor,15,"Teamtailor origin missing"
"Yves Rocher",successfactors,13,"SuccessFactors origin missing"
"Valentino Beauty",avature,12,"Avature listingUrl or sitemapUrl required"
"Vivienne Westwood",teamtailor,12,"Teamtailor origin missing"
"Balmain Beauty",eightfold,11,"HTTP 405 for https://careers.elcompanies.com/careers"
"CeraVe",avature,11,"Avature listingUrl or sitemapUrl required"
"Qeelin",eightfold,11,"HTTP 405 for https://careers.kering.com/careers"
"SkinCeuticals",avature,11,"HTTP 406 for https://careers.loreal.com/en_US/jobs/SearchJobs/?search={BRAND}&listFilterMode=1&jobOffset=120"
"Chloé",workday,9,"HTTP 429 for https://richemont.wd3.myworkdayjobs.com/wday/cxs/richemont/richemont/jobs"
"Too Faced",eightfold,9,"HTTP 405 for https://careers.elcompanies.com/careers"
"DECIEM",eightfold,7,"HTTP 405 for https://careers.elcompanies.com/careers"
"Place des Tendances",talentsoft,7,"no adapter for kind ""talentsoft"""
"Redken",avature,7,"HTTP 406 for https://careers.loreal.com/en_US/jobs/SearchJobs/?search={BRAND}&listFilterMode=1&jobOffset=0"
"The Ordinary",eightfold,7,"HTTP 405 for https://careers.elcompanies.com/careers"
"Dodo",eightfold,6,"HTTP 405 for https://careers.kering.com/careers"
"Shu Uemura",avature,5,"HTTP 406 for https://careers.loreal.com/en_US/jobs/SearchJobs/?search={BRAND}&listFilterMode=1&jobOffset=0"
"Rene Furterer",workday,4,"Workday tenant/site/origin missing"
"Takami",avature,4,"HTTP 406 for https://careers.loreal.com/en_US/jobs/SearchJobs/?search={BRAND}&listFilterMode=1&jobOffset=0"
"A. Lange & Söhne",workday,3,"HTTP 429 for https://richemont.wd3.myworkdayjobs.com/wday/cxs/richemont/broadbean_external/jobs"
"Bumble and bumble",eightfold,3,"HTTP 405 for https://careers.elcompanies.com/careers"
"Fursac",smartrecruiters-whitelabel,3,"SmartRecruiters company missing"
"SkinBetter Science",avature,3,"HTTP 406 for https://careers.loreal.com/en_US/jobs/SearchJobs/?search={BRAND}&listFilterMode=1&jobOffset=0"
"WWD",greenhouse,3,"Greenhouse board missing"
"Chantelle",talentsoft,2,"no adapter for kind ""talentsoft"""
"Color Wow",avature,2,"Avature listingUrl or sitemapUrl required"
"Maybelline New York",avature,2,"HTTP 406 for https://careers.loreal.com/en_US/jobs/SearchJobs/?search=Maybelline&listFilterMode=1&jobOffset=0"
"Vichy",avature,2,"Avature listingUrl or sitemapUrl required"
"Darphin",eightfold,1,"HTTP 405 for https://careers.elcompanies.com/careers"
"Loto del Sur",successfactors,1,"HTTP 404 for https://careers.puig.com/search/?createNewAlert=false&q=&locationsearch=&startrow=0"
"Matrix",avature,1,"HTTP 406 for https://careers.loreal.com/en_US/jobs/SearchJobs/?search=Matrix&listFilterMode=1&jobOffset=0"
"Miu Miu Beauty",avature,1,"HTTP 406 for https://careers.loreal.com/en_US/jobs/sitemap.xml"
"Mugler",avature,1,"HTTP 406 for https://careers.loreal.com/en_US/jobs/sitemap.xml"
