nom	site	bucket	detail
altered apparel	https://www.alteredapparelltd.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
allthingsfi	https://www.allthingsfi.com.au/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
27kids	https://27kids.com.vn/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
allylikes	https://www.allylikes.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
amávia	https://www.amavia.com.br/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
alternative apparel	https://www.alternativeapparel.com/	net-error	ENOTFOUND
allkind	https://allkind.co.uk/	net-error	ENOTFOUND
alpenglow	https://shopalpenglowapparel.com/	net-error	ENOTFOUND
0&1	https://en.0and1.de/	net-error	ENOTFOUND
1017 alyx 9sm	https://www.alyxstudio.com/	net-error	ENOTFOUND
05 studio	https://www.the05studio.com/	net-error	ENOTFOUND
a better mistake	https://shop.abettermistake.com/collections/shop-collection	net-error	ENOTFOUND
amari amari	https://amariamari.co.uk/	net-error	ENOTFOUND
allen schwartz	https://www.allenschwartz.com/	net-error	ENOTFOUND
amirante antica sartoria napoletana	https://www.anticasartorianapoletana.it/sell-online	http-dead	404
andreādamo	https://andreaadamo.it/	net-error	ENOTFOUND
alpe women shoes	https://www.alpeteam.com/	net-error	ENOTFOUND
99podshop	https://99podshop.co/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
281z	https://281z.store/	dns-flaky	timeout/servfail on both
a perfect jane	https://aperfectjane.com/	dns-flaky	timeout/servfail on both
angel's paris	https://www.angels-paris.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
ank	https://www.ankjewellery.art/	http-dead	404
annaut	https://annaut.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
a.d.s.r	https://www.adsrfoundation.com/top/	net-error	ENOTFOUND
aatise	https://www.aatise.com/	alive	200
adhoc	https://www.adhocformovingpeople.com/	tls-error	CERT_HAS_EXPIRED
alternative	https://www.alternativeapparel.com/	net-error	ENOTFOUND
am jewelry	https://angelomoretti.be/	net-error	ENOTFOUND
ammehoela	https://www.ammehoela-kids.nl/	net-error	ENOTFOUND
anita bilardi	https://www.anitabilardi.com/en/	net-error	ENOTFOUND
alster vandel	https://alstervandel.com/	net-error	ENOTFOUND
and less	https://www.shopandless.com/	tls-error	CERT_HAS_EXPIRED
88 rue du rhone	http://88rdr.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
anse	https://anselinen.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
à la garçonne	https://alagarconne.com.br/en	net-error	ENOTFOUND
4you	https://www.4you.de/	net-error	ENOTFOUND
arpenteur	https://www.arpenteur.fr/en/	http-dead	404
apple valley natural soap	https://applevalleynaturalsoap.com/	http-dead	404
amber goes green	http://ambergoesgreen.ca/accessories-collection/	net-error	ENOTFOUND
another sunday	https://anothersunday.com/	alive	200
arnsdorf	https://arnsdorf.com.au/	http-dead	404
5lakes&mt	https://5lakesmt.com/	dns-flaky	timeout/servfail on both
american golf	https://www.americangolf.co.uk/	net-error	ENOTFOUND
anecdote	https://www.anecdote.nl/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
ana sousa	https://www.temperaturaanasousa.com/	blocked	503
acure	http://www.acure.com/	alive	200
a.b.c.l.	https://www.abclgarments.com/	net-error	ENOTFOUND
arcopedico	https://arcopedico.com/en/spring-2021/	net-error	ENOTFOUND
audelia's collection	http://audeliascollection.com/	net-error	ENOTFOUND
adelaide c. ecoage	https://store.adelaidecarta.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
aspinal of london	https://www.aspinaloflondon.com/	blocked	403
anyeluz	https://www.anyeluz.com/	alive	200
athison	https://athison.com/en-us	alive	200
aeron	https://aeron.com/	alive	200
adriatica	https://adriaticawatches.ch/	alive	200
asquith london	https://www.asquithlondon.com/	alive	200
a2z beauty	https://www.michaelgiordanointl.com/home	net-error	ENOTFOUND
anchors-n-asteroids	https://www.anchors-n-asteroids.com/	net-error	ENOTFOUND
ayani	https://ayani.co/?oid=375&affid=1&source_id=GoY-rating&sub1=brandpage	alive	200
aure	https://www.aurestudio.com/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
b.l.a.h.	https://www.nomoreblah.com/shop/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
articles of society	https://articlesofsociety.com/	net-error	ENOTFOUND
aaron esh	https://aaronesh.com/	net-error	ENOTFOUND
andrea lucy designs	https://andrealucydesigns.com.au/	net-error	ENOTFOUND
aznar innova s.a.	https://www.aznarinnova.com/en/	net-error	ENOTFOUND
atelier reservé	https://shop.reserveboys.com/	alive	200
artelusa	https://artelusa.pt/	net-error	ENOTFOUND
