id	offres	lieu	desc	ex
LUXEXPERIENCE	6	6	6	Digital Performance Executive
MYTHERESA	9	9	9	Assistant Buyer
ACNE	0	0	0	
AUDEMARS	0	0	0	
DOUGLAS	12	12	12	Senior Developer Shopify
END	0	0	0	
PVH	3	3	3	Seasonal Sales Associate - Tommy Hilfige
RALPH_LAUREN	0	0	0	
ZEGNA	9	9	9	Corporate Visual Merchandiser
DR_MARTENS	0	0	0	
GLOBUS_CH	0	0	0	
LOUIS_VUITTON	10	10	10	CRM &amp; CLIENTELING SPECIALIST
SELFRIDGES	10	10	9	Christmas Temp - Private Host (40 Duke)
BEAUTY_SUCCESS	0	0	0	
BEIERSDORF	10	10	10	Category Manager
FENWICK	0	0	0	
RIVOLI	0	0	0	
SWATCH	10	9	10	Swatch Assistant Store Manager - Green H
